order,seasonal_order,aic,bic,mae,rmse,mape
"(0, 1, 1)","(0, 1, 0, 12)",674.5343063737197,679.3232046830645,5.978047182420763,8.953051620770093,4.7503080267003845
"(1, 1, 1)","(0, 1, 0, 12)",674.7013001232049,681.8846475872222,6.1600443044037805,9.285069849987313,4.889699963783076
"(1, 1, 0)","(0, 1, 0, 12)",683.7311034937459,688.5445419882744,6.612533072808893,9.684907415228961,5.2714627206288
"(0, 1, 0)","(0, 1, 0, 12)",683.3631365584507,685.769855805715,7.9333333333333504,10.77141278260812,6.37978153521032
"(2, 1, 0)","(0, 1, 0, 12)",669.1583380005491,676.3416854645664,8.656961711449073,11.433951991565847,6.976390035699278
"(2, 1, 1)","(0, 1, 0, 12)",666.163500987451,675.7412976061407,9.02684496673604,11.509010799408415,7.284132758960281
"(0, 1, 2)","(0, 1, 0, 12)",661.4522195489067,668.5982994529284,9.39449107071153,11.836394533476858,7.604034835413113
"(1, 1, 0)","(1, 1, 0, 12)",574.5404954837971,581.2859812099452,9.533943611913267,13.3294123964024,7.568544397487314
"(0, 1, 0)","(1, 1, 0, 12)",582.8929657105087,587.4183254645914,9.672636687365268,13.353477252238191,7.690448011808547
"(1, 1, 1)","(1, 1, 0, 12)",571.216859818061,580.2108407862585,10.324469488169068,14.093648485320818,8.220250683699756
