order,seasonal_order,aic,bic,mae,rmse,mape
"(0, 0, 0)","(0, 0, 0, 12)",1138.9456185505705,1141.499495442171,119.33333333333336,119.69239045709352,100.0
"(0, 0, 0)","(0, 0, 1, 12)",922.9883982113697,927.8260794269629,80.39487742906101,83.45052566431814,66.6926125079381
"(0, 0, 0)","(0, 1, 0, 12)",750.1965615989643,752.6154022067609,20.66666666666667,21.937410968480307,17.105406656166018
"(0, 0, 0)","(0, 1, 1, 12)",628.9320452251966,633.4574049792792,24.879411138490486,27.546236845103287,20.294874043608477
"(0, 0, 0)","(1, 0, 0, 12)",758.973743648614,763.8353772463006,23.403139962932517,24.526948562227634,19.40444896451283
"(0, 0, 0)","(1, 0, 1, 12)",716.02490276553,723.2814245889198,35.548478557033015,37.33377269433868,29.303530729564915
"(0, 0, 0)","(1, 1, 0, 12)",653.4066507200248,657.9599829580569,26.054700299807934,27.449207913494188,21.526085620340865
"(0, 0, 0)","(1, 1, 1, 12)",630.9287297671242,637.7167693982482,24.885864125479042,27.55464451693783,20.299956735971687
"(0, 0, 1)","(0, 0, 0, 12)",1014.7187563869593,1019.8053459514992,113.63455638200423,115.71709259805218,95.0999338337669
"(0, 0, 1)","(0, 0, 1, 12)",823.1756309285025,830.3957886702952,76.50796959640606,82.05984299666439,63.34923535514127
"(0, 0, 1)","(0, 1, 0, 12)",684.5047052694008,689.3181437639294,19.75024076016042,21.063567840398374,16.317422213770275
"(0, 0, 1)","(0, 1, 1, 12)",570.7845143327661,577.5300000589142,24.995130244513717,27.84609373438845,20.378261794873044
"(0, 0, 1)","(1, 0, 0, 12)",700.3277905861512,707.6202409826811,23.220231852065414,24.377041892264547,19.230554311875313
"(0, 0, 1)","(1, 0, 1, 12)",653.9950503792902,663.6219273683472,34.68075459376068,36.76016180073971,28.555901762421872
"(0, 0, 1)","(1, 1, 0, 12)",598.2651111527149,605.095109509763,26.55414423677118,27.959320750457206,21.905957239167595
"(0, 0, 1)","(1, 1, 1, 12)",572.7837490858961,581.7777300540936,24.99971959836529,27.851152516363598,20.382013038990706
"(0, 0, 2)","(0, 0, 0, 12)",916.8727635537524,924.4705620332122,108.76120444539255,112.50110310176971,90.91634232073972
"(0, 0, 2)","(0, 0, 1, 12)",767.4374126956349,777.0152093143246,76.45231360001685,80.53459277420274,63.63598414389041
"(0, 0, 2)","(0, 1, 0, 12)",664.7053934355941,671.8887408996114,19.329665272807343,20.84925574048892,15.956617370840762
"(0, 0, 2)","(0, 1, 1, 12)",546.4736824987692,555.4101085171583,23.69855637116167,26.757998227301687,19.283738917158285
"(0, 0, 2)","(1, 0, 0, 12)",687.0974085893558,696.8206757847291,24.11354424366748,25.437914774631356,19.97024464433891
"(0, 0, 2)","(1, 0, 1, 12)",669.2725236150283,681.2447693883904,24.717014859989764,26.06035559772819,20.48029062783835
"(0, 0, 2)","(1, 1, 0, 12)",580.1258774860479,589.2325419621121,28.03990942521824,29.6240153496287,23.106040430548457
"(0, 0, 2)","(1, 1, 1, 12)",550.2266214733464,561.3971539963327,29.228389753591102,32.79287182955924,23.814099719126645
"(0, 1, 0)","(0, 0, 0, 12)",705.9492425337639,708.4925373160339,15.133333333333331,17.743778252296394,12.221263459982897
"(0, 1, 0)","(0, 0, 1, 12)",628.5772754254616,633.3907139199902,15.512813169911288,18.1732942872054,12.52992823188789
"(0, 1, 0)","(0, 1, 0, 12)",683.3631365584507,685.769855805715,7.9333333333333504,10.77141278260812,6.37978153521032
