marca,anio,mes_num,tipo_post,engagement_total_post,alto_engagement
hm,2025,1,Sidecar,15121,1
hm,2025,1,Video,16371,1
hm,2025,1,Sidecar,11923,1
hm,2025,1,Sidecar,15266,1
hm,2025,1,Sidecar,10917,1
hm,2025,1,Video,39552,1
hm,2025,1,Sidecar,7300,0
hm,2025,1,Sidecar,6419,0
hm,2025,1,Sidecar,8095,0
hm,2025,2,Sidecar,12991,1
hm,2025,2,Sidecar,8501,0
hm,2025,2,Sidecar,13527,1
hm,2025,2,Sidecar,8838,0
hm,2025,2,Sidecar,13955,1
hm,2025,2,Sidecar,14462,1
hm,2025,2,Video,14158,1
hm,2025,2,Sidecar,12979,1
hm,2025,2,Sidecar,6960,0
hm,2025,2,Sidecar,8401,0
hm,2025,2,Sidecar,6797,0
hm,2025,3,Sidecar,8761,0
hm,2025,3,Sidecar,8158,0
hm,2025,3,Sidecar,8403,0
hm,2025,3,Image,114096,1
hm,2025,3,Sidecar,7969,0
hm,2025,3,Sidecar,9266,0
hm,2025,3,Image,7308,0
hm,2025,3,Image,6089,0
hm,2025,3,Sidecar,5676,0
hm,2025,4,Sidecar,6203,0
hm,2025,4,Sidecar,5186,0
hm,2025,4,Image,5493,0
hm,2025,4,Sidecar,9484,0
hm,2025,4,Image,7437,0
hm,2025,4,Sidecar,6035,0
hm,2025,4,Image,10177,0
hm,2025,4,Video,13926,1
hm,2025,4,Video,7978,0
hm,2025,4,Video,19691,1
hm,2025,4,Video,12696,1
hm,2025,4,Video,5669,0
hm,2025,4,Sidecar,29036,1
hm,2025,4,Sidecar,19944,1
hm,2025,4,Sidecar,6688,0
hm,2025,4,Image,4926,0
hm,2025,4,Sidecar,7630,0
hm,2025,4,Image,5115,0
hm,2025,4,Image,4874,0
hm,2025,4,Sidecar,15277,1
hm,2025,4,Video,5497,0
hm,2025,4,Sidecar,7648,0
hm,2025,4,Video,15994,1
hm,2025,4,Sidecar,15903,1
hm,2025,4,Video,7743,0
