term,coef
thank,4.252101632987816
zara,3.7649852696846717
collection,2.689267213144602
item,1.6605303565634768
most,1.4239403286084027
shine,1.4006682744797947
pieces,1.3813524212335337
fall winter,1.233568000854266
director,1.2314599590259068
collection thank,1.1762596775690162
directed,1.155632007907837
trf,1.1545360995873857
edit,1.1402816947270769
mod,1.101853007573477
special,1.1003035298961399
october,1.0995492732863519
life,1.0832673241529458
collaboration,1.0660489914618851
burgundy,1.061828511958713
studio collection,1.019859032585751
what,0.9851509167533289
uniquely,0.9825043448199791
arrivals,0.9637999608227235
right,0.9628673868594881
self,0.933585549372051
nature,0.9291201258064562
comments,0.909922139841518
wardrobe discover,0.8893181323390725
because,0.8802757601726671
post,0.8714277991738988
director stylist,0.8668149271540844
casting,0.8618342525703434
designer,0.8558661605434996
soon,0.851920988629065
casting director,0.8490364144584794
curated wardrobe,0.8355761090944218
aesthetic,0.8204937271756472
world,0.8111684797026414
rooted,0.7904074583083932
direction,0.7614387449924629
see,0.7551011997706811
party,0.7443584981024212
makeup,0.7414754860632329
without,0.7391469102110683
denim,0.73769797485428
baron photographer,0.7308053358978288
garments,0.7249458951041183
photographer,0.6959673414966294
unexpected,0.6959211558648825
woman,0.6958046074672304
silhouettes,0.6280056971154502
palette,0.6218200012879724
curated,0.6176117958758488
year,0.6079722025116656
come,0.6008950684667091
creative direction,0.5999504344642387
video,0.5938719687488576
available selected,0.5857911174461498
signature,0.5763295832960413
tailoring,0.5672550674399142
who,0.5487490982086533
set design,0.5362217030713233
her,0.5237313720377006
meets,0.5196117624519891
pink,0.517103665661295
glam,0.5154042271853172
body,0.49886840294760487
white,0.4987667356496489
creative,0.49802210931643603
where,0.49653978149682326
than,0.4942539358315188
gaze,0.48199723370458464
fluid,0.4776777276554172
yet,0.4654286456567325
sense,0.4643237656821745
karl templer,0.4638008711546348
karl,0.4638008711546348
templer,0.4638008711546348
kate,0.44100098041136154
essentials,0.4338249916347011
over,0.4333436982450014
campaign,0.4305539415293612
urban,0.42997559892230774
creators,0.4261575197877901
layers,0.42113305703696513
set designer,0.41558267658289105
collection available,0.4125322784743087
these,0.4109890234268666
spring,0.40550455476228486
production,0.4006604446398216
moss,0.3972723856317641
kate moss,0.3972723856317641
drop,0.39351359344695436
chic,0.39274807644789
years,0.3912632122784099
true,0.38285693444266394
gainsbury,0.3780940479072643
whiting,0.3780940479072643
gainsbury whiting,0.3780940479072643
baron,0.37733384150269383
search shein,0.37335031945458086
need,0.37288249135229
hanan,0.3723998083344651
self expression,0.37213276253935523
love,0.37063202073579377
exclusive,0.37016451938648554
silhouette,0.3691987137917695
set,0.36647989757612776
story,0.36624826379555075
own,0.3592769724254181
rhythm,0.3474128376027833
night,0.34457932647961254
brings,0.3441797366022347
moment,0.33026391936313954
off,0.3292167313124784
always,0.32844759427242987
suit,0.3208465258185385
bobby gillespie,0.31495458834991796
bobby,0.31495458834991796
gillespie,0.31495458834991796
spotlight,0.31246567882452503
bring,0.31031368521951896
spain,0.3069836584149526
manicurist,0.2940960817428814
sun,0.2887912102509432
every,0.27943029163465855
photographer director,0.27183410584591644
want,0.26743475047662785
seasonal,0.26682316655907706
boho,0.2663494736148352
vibes,0.26379826621006836
sweet,0.2554994239752919
movement,0.2526564100751496
shape,0.2500927712969024
spirit,0.24523375371176992
srpls,0.24520971565144978
stories,0.23839520492328473
faux fur,0.22206539449433688
selected,0.22091799456879144
director karl,0.21955353424928575
capsule collection,0.20914427692506984
don,0.20145908112824243
creative director,0.20016388109365693
cast,0.1979427607375829
look mango,0.1888706385335991
big,0.18589264009645812
elegance,0.18542641000173543
office,0.18343219306361164
two,0.17786273269043587
director fabien,0.1761183621123449
photography,0.17426517493156143
home,0.17151004173104503
boots,0.17074842992386485
contemporary,0.16858373253968484
here,0.16803880917217662
week,0.15550624116317774
back,0.1545337560708931
chapter,0.15343550289939986
space,0.15305463964831229
move,0.15054754311693677
stay,0.14726881539295036
sale,0.1466527907840574
launching,0.14625832182681725
pattern,0.14554845664390686
making,0.136728995437212
designed,0.13164220387879227
process,0.12090352310777747
inspired,0.11785136166925694
wearing,0.11563087075608217
heart,0.10512800632432567
expression,0.10121540665410392
warm,0.09905556274451732
piece,0.09867218502349567
energy,0.0898750911797111
city,0.07807064444781513
colour,0.07654241104464947
szn,0.07560816442841072
gift,0.07425574750168823
accessories,0.0673182081798704
soho broadway,0.06618802360423877
effortless,0.05488165523193087
fabien baron,0.052763631218644864
fabien,0.052763631218644864
stores online,0.05136918569226146
agency,0.04750731925939525
feel,0.04643109220708739
timeless,0.04051795157613662
mood,0.03905637959718407
follow stay,0.03776048650305865
stay style,0.034590674717298
style loop,0.034590674717298
available,0.031398549666101776
fur,0.03058854810089909
belt,0.02142873769103592
film,0.019668224517751416
