id_respuesta,grupo_edad,sexo,freq_compra_anual,canal_compra_moda,gasto_mensual_moda,tiempo_rrss_dia,freq_contenido_moda_rrss,sigue_influencers_moda,indice_influencia_rrss,indice_impulso_tendencia,indice_confianza_influencers,indice_escepticismo_influencers,indice_difusion_fastfashion,indice_postcompra,indice_riesgo_arrepentimiento,compra_ult_6m_por_rrss_bin,cluster_k3
284,29 - 44 años,Mujer,4,2,30 - 60€,4,4,4,5.0,3.8,4.5,4.0,4.0,4.333333333333333,3.0,1,1
217,29 - 44 años,Mujer,3,3,101 - 200€,2,5,5,4.4,3.8,3.0,4.0,5.0,3.333333333333333,2.5,1,1
227,56 años o más,Mujer,4,5,101 - 200€,2,3,2,3.6,2.8,4.0,4.0,5.0,3.0,4.0,1,2
101,29 - 44 años,Mujer,5,1,61 - 100€,1,1,1,4.0,3.0,1.5,5.0,4.5,3.333333333333333,2.0,1,2
90,18 - 28 años,Mujer,4,2,30 - 60€,4,5,5,4.8,4.6,3.0,5.0,5.0,3.6666666666666665,4.0,1,1
85,56 años o más,Hombre,3,5,Más de 200€,1,1,1,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0,0
301,29 - 44 años,Hombre,3,2,61 - 100€,3,3,2,3.8,2.2,3.5,5.0,5.0,3.6666666666666665,2.5,1,2
129,45 - 55 años,Mujer,5,4,101 - 200€,2,1,1,2.4,3.0,3.5,5.0,4.0,3.333333333333333,3.0,0,2
159,29 - 44 años,Hombre,2,2,Menos de 30€,2,1,1,1.6,1.8,3.0,3.0,4.0,3.0,2.0,0,0
243,56 años o más,Mujer,2,5,101 - 200€,1,2,1,1.0,1.8,1.0,5.0,5.0,1.0,1.0,0,0
228,56 años o más,Mujer,5,5,61 - 100€,2,1,1,2.4,1.8,1.0,5.0,4.5,1.0,3.0,0,0
250,18 - 28 años,Mujer,3,4,101 - 200€,2,2,3,4.2,3.2,2.5,5.0,5.0,2.6666666666666665,4.5,1,2
32,29 - 44 años,Mujer,4,3,30 - 60€,2,2,2,4.2,2.6,4.5,3.0,3.5,3.6666666666666665,1.5,1,2
