feature,difference_cluster0_minus_cluster1
indice_influencia_rrss,2.106
freq_contenido_moda_rrss,1.783
sigue_influencers_moda,1.7209999999999999
indice_postcompra,1.7120000000000002
indice_confianza_influencers,1.5939999999999999
indice_impulso_tendencia,1.4080000000000001
tiempo_rrss_dia,1.1929999999999998
indice_riesgo_arrepentimiento,1.152
freq_compra_anual,0.738
compra_ult_6m_por_rrss_bin,0.64
indice_difusion_fastfashion,0.5939999999999999
canal_compra_moda,-0.4990000000000001
indice_escepticismo_influencers,0.20399999999999974
