feature,difference_cluster0_minus_cluster1
indice_influencia_rrss,-2.116
freq_contenido_moda_rrss,-1.767
sigue_influencers_moda,-1.7019999999999997
indice_postcompra,-1.6320000000000001
indice_confianza_influencers,-1.5930000000000002
indice_impulso_tendencia,-1.3929999999999998
indice_riesgo_arrepentimiento,-1.251
tiempo_rrss_dia,-1.1869999999999998
freq_compra_anual,-0.7549999999999999
canal_compra_moda,0.6859999999999999
compra_ult_6m_por_rrss_bin,-0.665
indice_difusion_fastfashion,-0.5919999999999996
indice_escepticismo_influencers,-0.1849999999999996
