anio,indicador,tamano_empresa,n_filas_conflictivas,valores_distintos,decision,archivo
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,17,"[17.98, 15.44, 23.95, 11.52, 0.85, 11.25, 5.29, 3.62, 22.23, 2.51, 11.44, 78.37, 2.32, 22.13, 6.98, 13.36, 2.42]",conservar_primer_valor_no_nulo,comercio_electronico2015.xlsx
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,17,"[39.78, 50.11, 67.63, 54.34, 39.99, 51.26, 9.71, 10.73, 36.92, 55.94, 43.36, 9.25, 29.22, 30.59, 17.14, 14.89, 29.93]",conservar_primer_valor_no_nulo,comercio_electronico2015.xlsx
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,17,"[29.02, 30.83, 4.29, 26.22, 27.57, 24.84, 10.47, 4.06, 31.06, 39.31, 25.96, 87.47, 27.37, 28.99, 14.37, 11.29, 2.49]",conservar_primer_valor_no_nulo,comercio_electronico2015.xlsx
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,17,"[20.14, 19.15, 27.94, 16.67, 1.18, 15.02, 6.72, 3.72, 2.39, 27.29, 14.38, 80.37, 24.35, 22.83, 8.48, 13.09, 24.62]",conservar_primer_valor_no_nulo,comercio_electronico2015.xlsx
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,17,"[13.56, 8.29, 11.52, 7.21, 3.85, 8.19, 3.08, 0.25, 18.19, 18.03, 9.87, 77.49, 2.21, 22.13, 5.24, 11.88, 21.04]",conservar_primer_valor_no_nulo,comercio_electronico2015.xlsx
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,17,"[22.96, 15.57, 22.95, 16.78, 10.66, 12.01, 8.77, 3.48, 27.36, 36.91, 25.81, 90.79, 23.33, 30.59, 13.87, 12.04, 21.42]",conservar_primer_valor_no_nulo,comercio_electronico2015.xlsx
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,17,"[19.05, 13.29, 20.18, 9.69, 10.62, 8.66, 9.86, 1.82, 24.14, 26.62, 1.51, 86.96, 23.85, 28.99, 11.84, 9.88, 21.01]",conservar_primer_valor_no_nulo,comercio_electronico2015.xlsx
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,17,"[1.46, 9.37, 13.15, 8.18, 4.94, 8.41, 2.45, 19.29, 19.36, 11.05, 79.53, 22.52, 22.83, 6.57, 11.55, 21.05]",conservar_primer_valor_no_nulo,comercio_electronico2015.xlsx
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,17,"[5.98, 6.48, 6.33, 5.01, 6.88, 3.96, 19.65, 1.21, 6.36, 6.69, 1.53, 34.21, 5.77, 4.06, 2.43, 10.02, 11.67]",conservar_primer_valor_no_nulo,comercio_electronico2015.xlsx
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,17,"[2.16, 27.32, 38.14, 39.36, 1.79, 2.74, 5.11, 1.82, 17.69, 18.74, 38.43, 38.66, 11.91, 0.02, 3.34, 7.55, 15.08]",conservar_primer_valor_no_nulo,comercio_electronico2015.xlsx
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,17,"[13.24, 13.34, 19.53, 9.36, 12.53, 16.69, 2.25, 0.94, 14.28, 14.43, 10.72, 33.27, 12.87, 2.75, 8.58, 2.13, 11.44]",conservar_primer_valor_no_nulo,comercio_electronico2015.xlsx
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,17,"[15.69, 20.58, 23.19, 29.36, 1.32, 2.24, 5.28, 1.31, 13.53, 13.74, 18.85, 3.56, 11.47, 2.04, 4.57, 11.45, 1.41]",conservar_primer_valor_no_nulo,comercio_electronico2015.xlsx
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,17,"[26.74, 2.99, 20.75, 36.51, 63.78, 18.63, 87.53, 27.48, 25.74, 23.53, 24.04, 40.08, 26.32, 25.69, 27.99, 34.37, 27.83]",conservar_primer_valor_no_nulo,comercio_electronico2015.xlsx
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,17,"[3.75, 51.58, 47.39, 55.05, 38.71, 57.27, 34.15, 41.39, 27.65, 24.41, 5.03, 40.52, 19.89, 0.08, 43.46, 21.03, 24.22]",conservar_primer_valor_no_nulo,comercio_electronico2015.xlsx
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,17,"[37.39, 36.28, 37.01, 32.04, 5.34, 4.55, 8.72, 33.08, 38.19, 36.54, 3.71, 36.79, 33.57, 9.83, 5.11, 50.71, 32.76]",conservar_primer_valor_no_nulo,comercio_electronico2015.xlsx
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,17,"[36.09, 46.76, 40.32, 52.06, 44.87, 52.89, 29.96, 32.89, 29.31, 26.38, 46.72, 39.21, 21.58, 16.94, 43.83, 31.78, 2.54]",conservar_primer_valor_no_nulo,comercio_electronico2015.xlsx
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,17,"[1.82, 15.74, 25.34, 9.87, 8.59, 10.55, 0.56, 3.25, 2.29, 26.03, 15.32, 85.26, 21.15, 19.44, 7.78, 11.27, 21.45]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,17,"[41.36, 50.85, 65.18, 51.59, 36.17, 56.51, 13.72, 5.01, 39.01, 63.64, 51.34, 96.88, 31.27, 16.57, 18.35, 12.63, 36.09]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,17,"[29.73, 32.21, 46.52, 3.38, 22.31, 25.01, 5.62, 3.05, 31.22, 41.72, 22.62, 9.45, 18.96, 26.62, 10.36, 1.02, 15.66]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,total,17,"[20.41, 1.95, 29.27, 16.76, 10.91, 14.83, 6.14, 3.25, 24.56, 28.61, 17.28, 8.74, 21.21, 19.94, 8.44, 11.16, 21.01]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,17,"[13.96, 9.23, 13.89, 3.86, 6.08, 8.07, 4.05, 2.38, 18.82, 18.75, 12.65, 85.26, 20.34, 17.32, 6.09, 10.84, 16.87]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,17,"[25.18, 17.19, 27.32, 15.36, 11.41, 12.85, 30.28, 46.27, 38.23, 96.88, 23.05, 13.12, 10.19, 23.48]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,17,"[19.17, 12.58, 1.87, 13.72, 5.52, 0.98, 24.37, 28.56, 14.17, 9.45, 0.17, 6.87, 9.11, 13.69]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,17,"[14.98, 10.02, 14.88, 6.46, 0.61, 8.55, 4.67, 2.29, 19.95, 20.44, 13.49, 8.74, 19.84, 17.93, 6.39, 1.05, 16.56]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,17,"[5.81, 3.79, 6.42, 2.92, 0.94, 3.14, 1.02, 1.15, 7.47, 6.58, 5.67, 43.87, 5.63, 7.17, 1.55, 14.58, 6.26]",conservar_primer_valor_no_nulo,comercio_electronico2016.xlsx
