anio,indicador,tamano_empresa,valor
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,17.98
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,39.78
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,29.02
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,20.14
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,13.56
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,22.96
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,19.05
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,1.46
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,5.98
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,2.16
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,13.24
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,15.69
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,26.74
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,3.75
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,37.39
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,36.09
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,1.82
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,41.36
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,de_50_a_249,29.73
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,total,20.41
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,13.96
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,25.18
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,19.17
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,14.98
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,5.81
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,22.85
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,15.14
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,16.55
2016,M.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,24.81
2016,M.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,38.33
2016,M.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,37.22
