anio,indicador,tamano_empresa,valor
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,20.14
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,15.69
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,36.09
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,14.6
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,19.15
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,20.58
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,46.76
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,9.37
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,27.94
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,23.19
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,40.32
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,13.15
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,16.67
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,29.36
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,52.06
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,8.18
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,11.8
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,13.2
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,44.87
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,4.94
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,15.02
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,22.4
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,52.89
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,8.41
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,6.72
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,5.28
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,29.96
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,4.94
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,3.72
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,1.31
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,32.89
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,2.45
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,23.9
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,13.53
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,29.31
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,19.29
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,27.29
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,13.74
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,26.38
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,19.36
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,14.38
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,18.85
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,46.72
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,11.05
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,80.37
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,35.6
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,39.21
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,79.53
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,24.35
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,11.47
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,21.58
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,22.52
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,22.83
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,2.04
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,16.94
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,22.83
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,8.48
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,4.57
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,43.83
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,6.57
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,13.09
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,11.45
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,31.78
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,11.55
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,24.62
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,14.1
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,25.4
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,21.05
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,17.98
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,5.98
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,26.74
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,13.56
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,15.44
