anio,indicador,tamano_empresa,valor,indicador_std
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,20.14,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,15.69,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,36.09,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,14.6,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,19.15,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,20.58,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,46.76,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,9.37,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,27.94,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,23.19,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,40.32,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,13.15,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,16.67,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,29.36,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,52.06,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,8.18,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,11.8,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,13.2,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,44.87,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,4.94,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,15.02,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,22.4,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,52.89,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,8.41,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,6.72,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,5.28,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,29.96,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,4.94,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,3.72,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,1.31,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,32.89,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,2.45,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,23.9,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,13.53,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,29.31,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,19.29,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,27.29,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,13.74,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,26.38,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,19.36,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,14.38,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,18.85,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,46.72,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,11.05,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,total,80.37,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,35.6,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,39.21,pct_ventas_ecommerce_sobre_total_empresas_que_venden
