anio,indicador,tamano_empresa,valor
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,total,20.41
2016,M.1.A % de empresas cuyas ventas por comercio electrónico son >= 1% ventas totales,total,18.99
2016,M.1.B % de empresas cuyas ventas por comercio electrónico son >= 2% ventas totales,total,17.23
2016,M.1.C % de empresas cuyas ventas por comercio electrónico son >= 5% ventas totales,total,15.47
2016,M.1.D % de empresas cuyas ventas por comercio electrónico son >= 10% ventas totales,total,12.98
2016,M.1.E % de empresas cuyas ventas por comercio electrónico son >= 25% ventas totales,total,7.94
2016,M.1.F % de empresas cuyas ventas por comercio electrónico son >= 50% ventas totales,total,5.21
2016,M.1.G ventas mediante comercio electrónico (miles de euros),total,228323121.0
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,16.55
2016,M.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,36.27
2016,M.1.J Distribución de ventas por comercio electrónico por área geográfica: España(2),total,76.87
2016,M.1.K Distribución de ventas por comercio electrónico por área geográfica: Otros países de la UE(2)(1),total,19.37
2016,M.1.L Distribución de ventas por comercio electrónico por área geográfica: Resto de países (2),total,3.76
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,14.98
2016,M.1.2.A % de empresas cuyas ventas mediante páginas web o apps son >= 1% ventas totales,total,13.5
2016,M.1.2.B % de empresas cuyas ventas mediante páginas web o apps son >= 2% ventas totales,total,11.77
2016,M.1.2.C % de empresas cuyas ventas mediante páginas web o apps son >= 5% ventas totales,total,10.23
2016,M.1.2.D % de empresas cuyas ventas mediante páginas web o apps son >= 10% ventas totales,total,8.4
2016,M.1.2.E % de empresas cuyas ventas mediante páginas web o apps son >= 25% ventas totales,total,4.9
2016,M.1.2.F % de empresas cuyas ventas mediante páginas web o apps son >= 50% ventas totales,total,3.24
2016,M.1.2.G ventas mediante páginas web o apps (miles de euros),total,85542857.6
2016,M.1.2.H % ventas mediante páginas web o apps sobre el total de ventas,total,6.2
2016,M.1.2.I % ventas mediante páginas web o apps sobre el total de ventas de las empresas que venden por páginas web o apps,total,20.1
2016,M.1.3.A Distribución de ventas mediante páginas web o apps realizadas a hogares (B2C) (3),total,33.35
2016,M.1.3.B Distribución de ventas mediante páginas web o apps realizadas a otras empresas (B2B) (3),total,63.88
2016,M.1.3.C Distribución de ventas mediante páginas web o apps realizadas a la Administración Pública (B2G) (3),total,2.77
2016,M.1.4.A % de empresas que recibieron pedidos/reservas por su página web o app (5),total,94.48
2016,M.1.4.B % de empresas que reciberon pedidos/reservas por un marketplace (5),total,29.86
2016,M.1.5.A % ventas realizadas por su propia página web o app (3),total,88.3
2016,M.1.5.B % ventas realizadas por marketplace (3),total,11.7
2016,M.1.6.A Distribución de ventas mediante páginas web o apps por área geográfica: España(3),total,82.97
2016,M.1.6.B Distribución de ventas mediante páginas web o apps por área geográfica: Otros países de la UE(3)(1),total,12.48
2016,M.1.6.C Distribución de ventas mediante páginas web o apps por área geográfica: Resto de países (3),total,4.55
2016,M.1.7 % de empresas con ventas a la UE por web o apps que tuvieron limitaciones (6) (1),total,25.33
2016,M.1.7.A % de empresas con ventas a la UE con limitaciones por los elevados costes de entrega o devolución de productos(6) (1),total,15.96
2016,M.1.7.B % de empresas con ventas a la UE con limitaciones por la dificultad de resolver quejas sobre las ventas(6) (1),total,8.49
2016,M.1.7.C % de empresas con ventas a la UE con limitaciones por la adaptación del etiquetado del producto(6) (1),total,2.93
2016,M.1.7.D % de empresas con ventas a la UE con limitaciones por falta de conocimiento de lenguas extranjeras para comunicarse con clientes(6) (1),total,7.63
2016,M.1.7.E % de empresas con ventas a la UE con limitaciones por las restricciones de sus socios comerciales con la UE(6) (1),total,3.49
2016,M.1.7.F % de empresas con ventas a la UE con limitaciones por problemas con la seguridad TIC(6) (1),total,3.05
2016,M.1.8 % de empresas que han realizado ventas mediante mensajes tipo EDI,total,7.64
2016,M.1.9.A % de empresas cuyas ventas mediante mensajes tipo EDI son >= 1% ventas totales,total,7.34
2016,M.1.9.B % de empresas cuyas ventas mediante mensajes tipo EDI son >= 2% ventas totales,total,6.87
2016,M.1.9.C % de empresas cuyas ventas mediante mensajes tipo EDI son >= 5% ventas totales,total,6.38
2016,M.1.9.D % de empresas cuyas ventas mediante mensajes tipo EDI son >= 10% ventas totales,total,5.37
2016,M.1.9.E % de empresas cuyas ventas mediante mensajes tipo EDI son >= 25% ventas totales,total,3.21
2016,M.1.9.F % de empresas cuyas ventas mediante mensajes tipo EDI son >= 50% ventas totales,total,1.92
2016,M.1.9.G ventas mediante mensajes tipo EDI (miles de euros),total,142780263.0
2016,M.1.9.H % ventas mediante mensajes tipo EDI sobre el total de ventas,total,10.35
2016,M.1.9.I % ventas mediante mensajes tipo EDI sobre el total de ventas de las empresas que venden por mensajes tipo EDI,total,41.35
2016,M.1.10.A Distribución de ventas mediante EDI realizadas a otras empresas (B2B) (4),total,89.26
2016,M.1.10.B Distribución de ventas mediante EDI realizadas a la Administración Pública (B2G) (4),total,10.74
2016,M.1.11.A Distribución de ventas mediante mensajes tipo EDI por área geográfica: España(4),total,73.21
2016,M.1.11.B Distribución de ventas mediante mensajes tipo EDI por área geográfica: Otros países de la UE(4)(1),total,23.5
