_fase,fecha,valor_raw,flag,tipo,valor_indice,fuente,indicador,provisional
ANTES,2010-01,119.7,p,provisional,,,,
ANTES,2010-02,117.8,p,provisional,,,,
ANTES,2010-03,120.8,p,provisional,,,,
ANTES,2010-04,119.9,p,provisional,,,,
ANTES,2010-05,115.8,p,provisional,,,,
ANTES,2010-06,116.3,p,provisional,,,,
ANTES,2010-07,116.1,p,provisional,,,,
ANTES,2010-08,115.3,p,provisional,,,,
ANTES,2010-09,117.1,p,provisional,,,,
ANTES,2010-10,119.9,p,provisional,,,,
ANTES,2010-11,116.3,p,provisional,,,,
ANTES,2010-12,114.1,p,provisional,,,,
ANTES,2011-01,112.5,p,provisional,,,,
ANTES,2011-02,114.8,p,provisional,,,,
ANTES,2011-03,109,p,provisional,,,,
ANTES,2011-04,127.3,p,provisional,,,,
ANTES,2011-05,110.5,p,provisional,,,,
ANTES,2011-06,110.2,p,provisional,,,,
ANTES,2011-07,111.1,p,provisional,,,,
ANTES,2011-08,108.8,p,provisional,,,,
ANTES,2011-09,104.5,p,provisional,,,,
ANTES,2011-10,104.8,p,provisional,,,,
ANTES,2011-11,104.7,p,provisional,,,,
ANTES,2011-12,105.6,p,provisional,,,,
ANTES,2012-01,106.6,p,provisional,,,,
ANTES,2012-02,103.2,p,provisional,,,,
ANTES,2012-03,106.9,p,provisional,,,,
ANTES,2012-04,100.3,p,provisional,,,,
ANTES,2012-05,104.2,p,provisional,,,,
ANTES,2012-06,101.4,p,provisional,,,,
ANTES,2012-07,100.6,p,provisional,,,,
ANTES,2012-08,99.9,p,provisional,,,,
ANTES,2012-09,95.2,p,provisional,,,,
ANTES,2012-10,95.9,p,provisional,,,,
ANTES,2012-11,92.5,p,provisional,,,,
ANTES,2012-12,93.5,p,provisional,,,,
ANTES,2013-01,93.4,p,provisional,,,,
ANTES,2013-02,92.9,p,provisional,,,,
ANTES,2013-03,91.8,p,provisional,,,,
ANTES,2013-04,92.5,p,provisional,,,,
ANTES,2013-05,91.1,p,provisional,,,,
ANTES,2013-06,94.4,p,provisional,,,,
ANTES,2013-07,94.2,p,provisional,,,,
ANTES,2013-08,96.1,p,provisional,,,,
ANTES,2013-09,94.4,p,provisional,,,,
ANTES,2013-10,92.9,p,provisional,,,,
ANTES,2013-11,96.7,p,provisional,,,,
ANTES,2013-12,93.9,p,provisional,,,,
ANTES,2014-01,94.7,p,provisional,,,,
ANTES,2014-02,96.6,p,provisional,,,,
ANTES,2014-03,95,p,provisional,,,,
ANTES,2014-04,98.7,p,provisional,,,,
ANTES,2014-05,96.7,p,provisional,,,,
ANTES,2014-06,96.2,p,provisional,,,,
ANTES,2014-07,95,p,provisional,,,,
ANTES,2014-08,97.3,p,provisional,,,,
ANTES,2014-09,95.8,p,provisional,,,,
ANTES,2014-10,94,p,provisional,,,,
ANTES,2014-11,97.3,p,provisional,,,,
ANTES,2014-12,99.1,p,provisional,,,,
ANTES,2015-01,98.6,p,provisional,,,,
ANTES,2015-02,98.2,p,provisional,,,,
ANTES,2015-03,99.6,p,provisional,,,,
ANTES,2015-04,98.3,p,provisional,,,,
ANTES,2015-05,101.8,p,provisional,,,,
ANTES,2015-06,97.9,p,provisional,,,,
ANTES,2015-07,99.9,p,provisional,,,,
ANTES,2015-08,99.9,p,provisional,,,,
