_fase,fecha,valor_raw,flag,tipo,valor_indice,fuente,indicador,provisional
ANTES,2010-01,112.0,p,provisional,,,,
ANTES,2010-02,112.2,p,provisional,,,,
ANTES,2010-03,114.0,p,provisional,,,,
ANTES,2010-04,110.2,p,provisional,,,,
ANTES,2010-05,111.7,p,provisional,,,,
ANTES,2010-06,113.2,p,provisional,,,,
ANTES,2010-07,108.9,p,provisional,,,,
ANTES,2010-08,109.0,p,provisional,,,,
ANTES,2010-09,108.5,p,provisional,,,,
ANTES,2010-10,108.8,p,provisional,,,,
ANTES,2010-11,107.7,p,provisional,,,,
ANTES,2010-12,106.8,p,provisional,,,,
ANTES,2011-01,105.6,p,provisional,,,,
ANTES,2011-02,105.9,p,provisional,,,,
ANTES,2011-03,104.3,p,provisional,,,,
ANTES,2011-04,106.0,p,provisional,,,,
ANTES,2011-05,104.2,p,provisional,,,,
ANTES,2011-06,103.6,p,provisional,,,,
ANTES,2011-07,103.8,p,provisional,,,,
ANTES,2011-08,101.9,p,provisional,,,,
ANTES,2011-09,102.5,p,provisional,,,,
ANTES,2011-10,101.9,p,provisional,,,,
ANTES,2011-11,100.2,p,provisional,,,,
ANTES,2011-12,100.1,p,provisional,,,,
ANTES,2012-01,101.7,p,provisional,,,,
ANTES,2012-02,99.4,p,provisional,,,,
ANTES,2012-03,99.8,p,provisional,,,,
ANTES,2012-04,96.3,p,provisional,,,,
ANTES,2012-05,97.7,p,provisional,,,,
ANTES,2012-06,97.4,p,provisional,,,,
ANTES,2012-07,96.6,p,provisional,,,,
ANTES,2012-08,98.2,p,provisional,,,,
ANTES,2012-09,88.6,p,provisional,,,,
ANTES,2012-10,89.6,p,provisional,,,,
ANTES,2012-11,89.3,p,provisional,,,,
ANTES,2012-12,89.7,p,provisional,,,,
ANTES,2013-01,89.9,p,provisional,,,,
ANTES,2013-02,90.4,p,provisional,,,,
ANTES,2013-03,89.5,p,provisional,,,,
ANTES,2013-04,90.0,p,provisional,,,,
ANTES,2013-05,90.6,p,provisional,,,,
ANTES,2013-06,90.8,p,provisional,,,,
ANTES,2013-07,91.1,p,provisional,,,,
ANTES,2013-08,91.2,p,provisional,,,,
ANTES,2013-09,90.6,p,provisional,,,,
ANTES,2013-10,90.0,p,provisional,,,,
ANTES,2013-11,90.3,p,provisional,,,,
ANTES,2013-12,90.1,p,provisional,,,,
ANTES,2014-01,89.7,p,provisional,,,,
ANTES,2014-02,90.4,p,provisional,,,,
ANTES,2014-03,90.0,p,provisional,,,,
ANTES,2014-04,90.7,p,provisional,,,,
ANTES,2014-05,91.0,p,provisional,,,,
ANTES,2014-06,91.0,p,provisional,,,,
ANTES,2014-07,91.1,p,provisional,,,,
ANTES,2014-08,91.6,p,provisional,,,,
ANTES,2014-09,91.3,p,provisional,,,,
ANTES,2014-10,91.4,p,provisional,,,,
ANTES,2014-11,92.3,p,provisional,,,,
ANTES,2014-12,93.1,p,provisional,,,,
ANTES,2015-01,93.6,p,provisional,,,,
ANTES,2015-02,93.5,p,provisional,,,,
ANTES,2015-03,94.3,p,provisional,,,,
ANTES,2015-04,93.7,p,provisional,,,,
ANTES,2015-05,94.6,p,provisional,,,,
ANTES,2015-06,93.5,p,provisional,,,,
ANTES,2015-07,94.8,p,provisional,,,,
ANTES,2015-08,95.6,p,provisional,,,,
ANTES,2015-09,96.1,p,provisional,,,,
ANTES,2015-10,96.5,p,provisional,,,,
ANTES,2015-11,96.8,p,provisional,,,,
ANTES,2015-12,97.2,p,provisional,,,,
ANTES,2016-01,97.7,p,provisional,,,,
ANTES,2016-02,97.9,p,provisional,,,,
ANTES,2016-03,97.7,p,provisional,,,,
ANTES,2016-04,98.3,p,provisional,,,,
ANTES,2016-05,98.2,p,provisional,,,,
ANTES,2016-06,98.7,p,provisional,,,,
ANTES,2016-07,99.2,p,provisional,,,,
ANTES,2016-08,98.9,p,provisional,,,,
ANTES,2016-09,99.3,p,provisional,,,,
ANTES,2016-10,99.1,p,provisional,,,,
ANTES,2016-11,98.5,p,provisional,,,,
ANTES,2016-12,98.0,p,provisional,,,,
ANTES,2017-01,98.8,p,provisional,,,,
ANTES,2017-02,98.2,p,provisional,,,,
ANTES,2017-03,98.8,p,provisional,,,,
ANTES,2017-04,100.0,p,provisional,,,,
ANTES,2017-05,99.7,p,provisional,,,,
ANTES,2017-06,100.3,p,provisional,,,,
ANTES,2017-07,100.2,p,provisional,,,,
ANTES,2017-08,100.0,p,provisional,,,,
ANTES,2017-09,100.3,p,provisional,,,,
ANTES,2017-10,97.7,p,provisional,,,,
ANTES,2017-11,100.5,p,provisional,,,,
ANTES,2017-12,100.5,p,provisional,,,,
ANTES,2018-01,99.7,p,provisional,,,,
ANTES,2018-02,100.2,p,provisional,,,,
ANTES,2018-03,100.5,p,provisional,,,,
ANTES,2018-04,100.7,p,provisional,,,,
ANTES,2018-05,99.8,p,provisional,,,,
ANTES,2018-06,100.2,p,provisional,,,,
ANTES,2018-07,100.0,p,provisional,,,,
ANTES,2018-08,99.8,p,provisional,,,,
ANTES,2018-09,99.7,p,provisional,,,,
ANTES,2018-10,100.3,p,provisional,,,,
ANTES,2018-11,101.1,p,provisional,,,,
ANTES,2018-12,101.0,p,provisional,,,,
ANTES,2019-01,102.2,p,provisional,,,,
ANTES,2019-02,101.9,p,provisional,,,,
ANTES,2019-03,101.4,p,provisional,,,,
ANTES,2019-04,102.0,p,provisional,,,,
ANTES,2019-05,102.2,p,provisional,,,,
ANTES,2019-06,102.7,p,provisional,,,,
ANTES,2019-07,103.0,p,provisional,,,,
ANTES,2019-08,102.7,p,provisional,,,,
ANTES,2019-09,103.4,p,provisional,,,,
ANTES,2019-10,103.1,p,provisional,,,,
ANTES,2019-11,103.3,p,provisional,,,,
ANTES,2019-12,103.2,p,provisional,,,,
ANTES,2020-01,103.1,p,provisional,,,,
ANTES,2020-02,104.2,p,provisional,,,,
ANTES,2020-03,88.1,p,provisional,,,,
ANTES,2020-04,72.1,p,provisional,,,,
ANTES,2020-05,83.7,p,provisional,,,,
ANTES,2020-06,98.0,p,provisional,,,,
