fecha,valor_indice,fuente,indicador
2010-01-01,112.0,Eurostat,retail_total_volumen_ventas_indice_base2015
2010-02-01,112.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2010-03-01,114.0,Eurostat,retail_total_volumen_ventas_indice_base2015
2010-04-01,110.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2010-05-01,111.7,Eurostat,retail_total_volumen_ventas_indice_base2015
2010-06-01,113.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2010-07-01,108.9,Eurostat,retail_total_volumen_ventas_indice_base2015
2010-08-01,109.0,Eurostat,retail_total_volumen_ventas_indice_base2015
2010-09-01,108.5,Eurostat,retail_total_volumen_ventas_indice_base2015
2010-10-01,108.8,Eurostat,retail_total_volumen_ventas_indice_base2015
2010-11-01,107.7,Eurostat,retail_total_volumen_ventas_indice_base2015
2010-12-01,106.8,Eurostat,retail_total_volumen_ventas_indice_base2015
2011-01-01,105.6,Eurostat,retail_total_volumen_ventas_indice_base2015
2011-02-01,105.9,Eurostat,retail_total_volumen_ventas_indice_base2015
2011-03-01,104.3,Eurostat,retail_total_volumen_ventas_indice_base2015
2011-04-01,106.0,Eurostat,retail_total_volumen_ventas_indice_base2015
2011-05-01,104.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2011-06-01,103.6,Eurostat,retail_total_volumen_ventas_indice_base2015
2011-07-01,103.8,Eurostat,retail_total_volumen_ventas_indice_base2015
2011-08-01,101.9,Eurostat,retail_total_volumen_ventas_indice_base2015
2011-09-01,102.5,Eurostat,retail_total_volumen_ventas_indice_base2015
2011-10-01,101.9,Eurostat,retail_total_volumen_ventas_indice_base2015
2011-11-01,100.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2011-12-01,100.1,Eurostat,retail_total_volumen_ventas_indice_base2015
2012-01-01,101.7,Eurostat,retail_total_volumen_ventas_indice_base2015
2012-02-01,99.4,Eurostat,retail_total_volumen_ventas_indice_base2015
