fecha,anio,mes_num,marca,plataforma,n_posts,likes_totales,comentarios_totales,engagement_total,likes_medios_post,comentarios_medios_post,engagement_medio_post,n_posts_metricas_imputadas
2025-01-01,2025,1,hm,instagram,9,129668,1296,130964,14407.555555555555,144.0,14551.555555555555,0
2025-02-01,2025,2,hm,instagram,11,120249,1320,121569,10931.727272727272,120.0,11051.727272727272,0
2025-03-01,2025,3,hm,instagram,9,172764,2962,175726,19196.0,329.1111111111111,19525.11111111111,0
2025-04-01,2025,4,hm,instagram,28,286062,7763,293825,10216.5,277.25,10493.75,0
2025-05-01,2025,5,hm,instagram,30,197494,2213,199707,6583.133333333333,73.76666666666667,6656.9,0
2025-06-01,2025,6,hm,instagram,24,140204,1914,142118,5841.833333333333,79.75,5921.583333333333,0
2025-07-01,2025,7,hm,instagram,19,120748,2142,122890,6355.1578947368425,112.73684210526316,6467.894736842105,0
2025-08-01,2025,8,hm,instagram,27,335821,6772,342593,12437.814814814816,250.8148148148148,12688.62962962963,0
2025-09-01,2025,9,hm,instagram,37,322381,6636,329017,8713.0,179.35135135135135,8892.351351351352,0
2025-10-01,2025,10,hm,instagram,38,268741,4084,272825,7072.131578947368,107.47368421052632,7179.605263157895,0
2025-11-01,2025,11,hm,instagram,25,144699,2533,147232,5787.96,101.32,5889.28,0
2025-12-01,2025,12,hm,instagram,23,163980,3993,167973,7129.565217391304,173.6086956521739,7303.173913043478,0
2026-01-01,2026,1,hm,instagram,18,86456,2463,88919,4803.111111111111,136.83333333333334,4939.944444444444,0
2026-02-01,2026,2,hm,instagram,24,193377,3532,196909,8057.375,147.16666666666666,8204.541666666666,0
2026-03-01,2026,3,hm,instagram,30,185962,2841,188803,6198.733333333334,94.7,6293.433333333333,0
2025-01-01,2025,1,mango,instagram,29,97446,2288,99734,3360.206896551724,78.89655172413794,3439.103448275862,0
2025-02-01,2025,2,mango,instagram,34,98294,2116,100410,2891.0,62.23529411764706,2953.235294117647,0
2025-03-01,2025,3,mango,instagram,39,96751,2298,99049,2480.7948717948716,58.92307692307692,2539.7179487179487,0
2025-04-01,2025,4,mango,instagram,38,107168,2404,109572,2820.2105263157896,63.26315789473684,2883.4736842105262,0
2025-05-01,2025,5,mango,instagram,36,286525,4814,291339,7959.027777777777,133.72222222222223,8092.75,0
2025-06-01,2025,6,mango,instagram,27,130117,2493,132610,4819.148148148148,92.33333333333333,4911.481481481482,0
2025-07-01,2025,7,mango,instagram,22,69344,1353,70697,3152.0,61.5,3213.5,0
2025-08-01,2025,8,mango,instagram,29,81227,1899,83126,2800.9310344827586,65.48275862068965,2866.4137931034484,0
2025-09-01,2025,9,mango,instagram,28,79737,1770,81507,2847.75,63.214285714285715,2910.964285714286,0
2025-10-01,2025,10,mango,instagram,45,175004,3544,178548,3888.9777777777776,78.75555555555556,3967.733333333333,0
2025-11-01,2025,11,mango,instagram,31,153781,2279,156060,4960.677419354839,73.51612903225806,5034.193548387097,0
2025-12-01,2025,12,mango,instagram,32,145656,2312,147968,4551.75,72.25,4624.0,0
2026-01-01,2026,1,mango,instagram,24,49422,1200,50622,2059.25,50.0,2109.25,0
2026-02-01,2026,2,mango,instagram,27,82144,1600,83744,3042.3703703703704,59.25925925925926,3101.6296296296296,0
2026-03-01,2026,3,mango,instagram,33,70475,2591,73066,2135.6060606060605,78.51515151515152,2214.121212121212,0
2025-01-01,2025,1,massimo_dutti,instagram,15,72294,425,72719,4819.6,28.333333333333332,4847.933333333333,0
2025-02-01,2025,2,massimo_dutti,instagram,18,154264,442,154706,8570.222222222223,24.555555555555557,8594.777777777777,0
2025-03-01,2025,3,massimo_dutti,instagram,27,130444,619,131063,4831.259259259259,22.925925925925927,4854.185185185185,0
2025-04-01,2025,4,massimo_dutti,instagram,24,78184,608,78792,3257.6666666666665,25.333333333333332,3283.0,0
2025-05-01,2025,5,massimo_dutti,instagram,29,94119,768,94887,3245.4827586206898,26.482758620689655,3271.9655172413795,0
2025-06-01,2025,6,massimo_dutti,instagram,25,99971,1090,101061,3998.84,43.6,4042.44,0
2025-07-01,2025,7,massimo_dutti,instagram,24,64890,830,65720,2703.75,34.583333333333336,2738.3333333333335,0
2025-08-01,2025,8,massimo_dutti,instagram,23,60231,718,60949,2618.7391304347825,31.217391304347824,2649.9565217391305,0
2025-09-01,2025,9,massimo_dutti,instagram,22,60873,901,61774,2766.9545454545455,40.95454545454545,2807.909090909091,0
2025-10-01,2025,10,massimo_dutti,instagram,22,49153,695,49848,2234.2272727272725,31.59090909090909,2265.818181818182,0
2025-11-01,2025,11,massimo_dutti,instagram,22,71950,785,72735,3270.4545454545455,35.68181818181818,3306.1363636363635,0
2025-12-01,2025,12,massimo_dutti,instagram,21,58237,910,59147,2773.190476190476,43.333333333333336,2816.5238095238096,0
2026-01-01,2026,1,massimo_dutti,instagram,18,49642,744,50386,2757.8888888888887,41.333333333333336,2799.222222222222,0
2026-02-01,2026,2,massimo_dutti,instagram,17,49317,596,49913,2901.0,35.05882352941177,2936.0588235294117,0
2026-03-01,2026,3,massimo_dutti,instagram,31,108607,843,109450,3503.451612903226,27.193548387096776,3530.6451612903224,0
2025-11-01,2025,11,shein,instagram,131,786053,42217,828270,6000.404580152672,322.2671755725191,6322.67175572519,0
2025-12-01,2025,12,shein,instagram,173,1188223,29779,1218002,6868.341040462427,172.13294797687863,7040.473988439307,0
2026-01-01,2026,1,shein,instagram,160,1457448,134299,1591747,9109.05,839.36875,9948.41875,0
2026-02-01,2026,2,shein,instagram,164,1549713,51565,1601278,9449.469512195123,314.4207317073171,9763.890243902439,0
2026-03-01,2026,3,shein,instagram,171,1498152,66374,1564526,8761.122807017544,388.15204678362574,9149.27485380117,0
2025-01-01,2025,1,zara,instagram,18,342243,6796,349039,19013.5,377.55555555555554,19391.055555555555,0
2025-02-01,2025,2,zara,instagram,23,341548,4956,346504,14849.91304347826,215.47826086956522,15065.391304347826,0
2025-03-01,2025,3,zara,instagram,37,716263,6526,722789,19358.45945945946,176.3783783783784,19534.837837837837,0
2025-04-01,2025,4,zara,instagram,25,680520,5424,685944,27220.8,216.96,27437.76,0
2025-05-01,2025,5,zara,instagram,28,1342135,6919,1349054,47933.392857142855,247.10714285714286,48180.5,0
2025-06-01,2025,6,zara,instagram,28,1306549,6771,1313320,46662.46428571428,241.82142857142858,46904.28571428572,0
2025-07-01,2025,7,zara,instagram,28,1210308,8476,1218784,43225.28571428572,302.7142857142857,43528.0,0
2025-08-01,2025,8,zara,instagram,24,843525,6789,850314,35146.875,282.875,35429.75,0
2025-09-01,2025,9,zara,instagram,27,816360,5923,822283,30235.555555555555,219.37037037037038,30454.925925925927,0
2025-10-01,2025,10,zara,instagram,44,1463710,7093,1470803,33266.13636363636,161.20454545454547,33427.34090909091,0
2025-11-01,2025,11,zara,instagram,38,1151892,8382,1160274,30312.947368421053,220.57894736842104,30533.526315789473,0
2025-12-01,2025,12,zara,instagram,22,666581,7794,674375,30299.136363636364,354.27272727272725,30653.409090909092,0
2026-01-01,2026,1,zara,instagram,12,358850,3654,362504,29904.166666666668,304.5,30208.666666666668,0
2026-02-01,2026,2,zara,instagram,19,530820,4764,535584,27937.894736842107,250.73684210526315,28188.63157894737,0
2026-03-01,2026,3,zara,instagram,33,1164100,7779,1171879,35275.757575757576,235.72727272727272,35511.48484848485,0
