_fase,fecha_aprox,marca_o_tendencia,plataforma,tipo_evento,descripcion_evento,fuente,fecha,anio,mes_num
ANTES,2015-10,Zara,General,lanzamiento_sostenibilidad,"Zara empieza a dar más visibilidad en España a las prendas con etiqueta 'Join Life' en tiendas físicas y online, introduciendo un discurso de moda más sostenible.",Cobertura en medios españoles sobre Zara Join Life (2015-2016),,,
ANTES,2016-09,Zara,General,lanzamiento_sostenibilidad,"Se lanza la primera colección destacada 'Join Life' también en la web española de Zara, consolidando la narrativa de sostenibilidad de la marca en el mercado español.",Artículos en prensa de moda española sobre Join Life (2016),,,
ANTES,2017-02,Mango,General,lanzamiento_sostenibilidad,"Mango presenta en España la colección cápsula 'Mango Committed', con materiales orgánicos y reciclados, posicionándose en el segmento de moda sostenible.",Vogue España y otros medios sobre Mango Committed (2017),,,
ANTES,2017-04,Slow fashion,Instagram,activismo_sostenible,En España comienza a ganar fuerza el movimiento Fashion Revolution y el uso de hashtags como #QuienHizoMiRopa y #SlowFashion en Instagram.,Fashion Revolution España y medios sobre moda sostenible (2017),,,
ANTES,2018-10,Moda de segunda mano,Apps / Instagram,boom_segunda_mano,"Crece el uso en España de apps y perfiles de Instagram dedicados a la venta de ropa de segunda mano y vintage, especialmente entre público joven.",Reportajes de prensa española sobre auge de apps de segunda mano (2018-2019),,,
ANTES,2019-12,Y2K,Instagram+TikTok,trend_estetica,La estética Y2K empieza a expandirse en España a través de creadoras de contenido que recuperan prendas y estilos de los años 2000.,Artículos en medios de moda españoles sobre retorno Y2K (2019-2020),,,
ANTES,2020-03,Moda online,General,impacto_pandemia,El confinamiento por COVID-19 en España provoca el cierre de tiendas físicas y un aumento repentino de las compras de moda a través de e-commerce.,Informes y noticias españolas sobre impacto de la COVID-19 en el comercio minorista (2020),,,
ANTES,2020-07,Streetwear,TikTok,trend_streetwear,"Perfiles españoles en TikTok comienzan a popularizar outfits de streetwear y looks urbanos, mezclando marcas de fast fashion con zapatillas deportivas.",Contenido de creadores españoles de streetwear en TikTok (2020-2021),,,
ANTES,2021-03,H&M Conscious,Redes sociales,controversia_greenwashing,"En España aparecen críticas en redes y medios a la línea H&M Conscious, cuestionando la coherencia entre el marketing verde y los materiales utilizados.",Artículos y debates en medios españoles sobre H&M Conscious (2021),,,
ANTES,2021-06,Shein,TikTok,viral_haul,"Los 'Shein hauls' realizados por creadoras españolas en TikTok acumulan millones de visualizaciones, mostrando grandes pedidos de ropa barata.",Reportajes en medios españoles sobre los hauls de Shein en TikTok (2021),,,
ANTES,2021-09,Zara,TikTok,viral_haul,"Se popularizan en España los vídeos de 'Zara haul', donde usuarias enseñan sus compras de nueva temporada y prueban distintas tallas y estilos.",Cobertura en medios digitales españoles sobre Zara hauls (2021),,,
ANTES,2022-02,Choni / trap,TikTok,trend_estetica_urbana,"En el TikTok español se viralizan contenidos que recuperan la estética 'choni' y estilos vinculados al trap y al reguetón, especialmente entre adolescentes.",Artículos y hilos en redes sobre estética choni y trap en España (2022),,,
ANTES,2022-03,Pija elegante,TikTok+Instagram,trend_estetica,"La estética 'pija elegante' se populariza en España como adaptación local de la estética old money: americanas, camisas blancas, mocasines y bolsos clásicos.",Contenido de creadoras españolas y artículos sobre estética pija elegante (2022),,,
ANTES,2022-06,Y2K,TikTok,trend_estetica,"Tiendas y creadoras españolas refuerzan la estética Y2K en redes: tops cortos, pantalones de tiro bajo y accesorios dosmileros aparecen en hauls y looks diarios.",Reportajes de moda españoles sobre la consolidación del Y2K (2022),,,
ANTES,2022-09,Hauls (general),TikTok+Instagram,boom_hauls,"En España el formato haul se convierte en contenido habitual: #haul, #zarahaul y #sheinhaul son etiquetas recurrentes en vídeos de moda.",Análisis de contenido de moda en TikTok España y medios especializados (2022),,,
ANTES,2023-03,Zara (Join Life),General,cambio_estrategia_sostenibilidad,Se comunica en medios españoles que Inditex reduce el protagonismo de la etiqueta Join Life y traslada los criterios sostenibles al conjunto de la colección.,Noticias económicas y de moda españolas sobre estrategia de sostenibilidad de Inditex (2023),,,
ANTES,2023-07,Zara,General,coleccion_circular,Se presenta en España una colección de Zara con fibras textiles recicladas colaborando con empresas especializadas en reciclaje textil.,Vogue España y otros medios sobre colecciones circulares de Zara (2023),,,
ANTES,2023-11,Shein,TikTok,viral_haul,Medios españoles recogen que los hashtags relacionados con Shein hauls en España alcanzan grandes volúmenes de visualizaciones y suscitan debate sobre sobreconsumo.,Reportajes en medios españoles sobre Shein y su impacto en el consumo (2023),,,
ANTES,2024-04,Slow fashion / segunda mano,TikTok+Instagram,boom_segunda_mano,"Crecen en España los 'thrift hauls' y vídeos de upcycling de prendas en TikTok e Instagram, impulsando la compra de segunda mano entre jóvenes.",Artículos en prensa española sobre auge de la segunda mano y la Generación Z (2024),,,
ANTES,2025-03,Pija elegante / old money,TikTok,seguimiento_microtendencias,"Trackers de tendencias y medios españoles destacan que estéticas como pija elegante, old money y streetwear conviven en el contenido de moda en TikTok España.","Vogue España, prensa de moda y análisis de tendencias en TikTok España (2024-2025)",,,
DESPUÉS,2015-10,Zara,General,lanzamiento_sostenibilidad,"Zara empieza a dar más visibilidad en España a las prendas con etiqueta 'Join Life' en tiendas físicas y online, introduciendo un discurso de moda más sostenible.",Cobertura en medios españoles sobre Zara Join Life (2015-2016),2015-10-01,2015.0,10.0
DESPUÉS,2016-09,Zara,General,lanzamiento_sostenibilidad,"Se lanza la primera colección destacada 'Join Life' también en la web española de Zara, consolidando la narrativa de sostenibilidad de la marca en el mercado español.",Artículos en prensa de moda española sobre Join Life (2016),2016-09-01,2016.0,9.0
DESPUÉS,2017-02,Mango,General,lanzamiento_sostenibilidad,"Mango presenta en España la colección cápsula 'Mango Committed', con materiales orgánicos y reciclados, posicionándose en el segmento de moda sostenible.",Vogue España y otros medios sobre Mango Committed (2017),2017-02-01,2017.0,2.0
DESPUÉS,2017-04,Slow fashion,Instagram,activismo_sostenible,En España comienza a ganar fuerza el movimiento Fashion Revolution y el uso de hashtags como #QuienHizoMiRopa y #SlowFashion en Instagram.,Fashion Revolution España y medios sobre moda sostenible (2017),2017-04-01,2017.0,4.0
DESPUÉS,2018-10,Moda de segunda mano,Apps / Instagram,boom_segunda_mano,"Crece el uso en España de apps y perfiles de Instagram dedicados a la venta de ropa de segunda mano y vintage, especialmente entre público joven.",Reportajes de prensa española sobre auge de apps de segunda mano (2018-2019),2018-10-01,2018.0,10.0
