fecha,valor_trends,marca,categoria_producto,termino_busqueda,anio,mes_num
2015-01-01,30,hm,pantalones,h&m pantalones,2015,1
2015-01-01,0,hm,tops,h&m tops,2015,1
2015-01-01,26,hm,vestidos,h&m vestidos,2015,1
2015-01-01,60,hm,zapatos,h&m zapatos,2015,1
2015-01-01,23,mango,pantalones,mango pantalones,2015,1
2015-01-01,0,mango,tops,mango tops,2015,1
2015-01-01,27,mango,vestidos,mango vestidos,2015,1
2015-01-01,49,mango,zapatos,mango zapatos,2015,1
2015-01-01,24,massimo_dutti,pantalones,massimo dutti pantalones,2015,1
2015-01-01,0,massimo_dutti,tops,massimo dutti tops,2015,1
2015-01-01,21,massimo_dutti,vestidos,massimo dutti vestidos,2015,1
2015-01-01,82,massimo_dutti,zapatos,massimo dutti zapatos,2015,1
2015-01-01,0,shein,pantalones,shein pantalones,2015,1
2015-01-01,0,shein,tops,shein tops,2015,1
2015-01-01,0,shein,vestidos,shein vestidos,2015,1
2015-01-01,0,shein,zapatos,shein zapatos,2015,1
2015-01-01,24,zara,pantalones,zara pantalones,2015,1
2015-01-01,7,zara,tops,zara tops,2015,1
2015-01-01,27,zara,vestidos,zara vestidos,2015,1
2015-01-01,60,zara,zapatos,zara zapatos,2015,1
2015-02-01,20,hm,pantalones,h&m pantalones,2015,2
2015-02-01,0,hm,tops,h&m tops,2015,2
2015-02-01,37,hm,vestidos,h&m vestidos,2015,2
2015-02-01,55,hm,zapatos,h&m zapatos,2015,2
2015-02-01,18,mango,pantalones,mango pantalones,2015,2
2015-02-01,0,mango,tops,mango tops,2015,2
2015-02-01,36,mango,vestidos,mango vestidos,2015,2
2015-02-01,48,mango,zapatos,mango zapatos,2015,2
2015-02-01,11,massimo_dutti,pantalones,massimo dutti pantalones,2015,2
2015-02-01,0,massimo_dutti,tops,massimo dutti tops,2015,2
2015-02-01,28,massimo_dutti,vestidos,massimo dutti vestidos,2015,2
2015-02-01,49,massimo_dutti,zapatos,massimo dutti zapatos,2015,2
2015-02-01,0,shein,pantalones,shein pantalones,2015,2
2015-02-01,0,shein,tops,shein tops,2015,2
2015-02-01,0,shein,vestidos,shein vestidos,2015,2
2015-02-01,0,shein,zapatos,shein zapatos,2015,2
2015-02-01,18,zara,pantalones,zara pantalones,2015,2
2015-02-01,0,zara,tops,zara tops,2015,2
2015-02-01,34,zara,vestidos,zara vestidos,2015,2
2015-02-01,55,zara,zapatos,zara zapatos,2015,2
2015-03-01,37,hm,pantalones,h&m pantalones,2015,3
2015-03-01,0,hm,tops,h&m tops,2015,3
2015-03-01,50,hm,vestidos,h&m vestidos,2015,3
2015-03-01,75,hm,zapatos,h&m zapatos,2015,3
2015-03-01,26,mango,pantalones,mango pantalones,2015,3
2015-03-01,14,mango,tops,mango tops,2015,3
2015-03-01,51,mango,vestidos,mango vestidos,2015,3
2015-03-01,62,mango,zapatos,mango zapatos,2015,3
2015-03-01,23,massimo_dutti,pantalones,massimo dutti pantalones,2015,3
2015-03-01,0,massimo_dutti,tops,massimo dutti tops,2015,3
2015-03-01,41,massimo_dutti,vestidos,massimo dutti vestidos,2015,3
2015-03-01,61,massimo_dutti,zapatos,massimo dutti zapatos,2015,3
2015-03-01,0,shein,pantalones,shein pantalones,2015,3
2015-03-01,0,shein,tops,shein tops,2015,3
2015-03-01,0,shein,vestidos,shein vestidos,2015,3
2015-03-01,0,shein,zapatos,shein zapatos,2015,3
2015-03-01,24,zara,pantalones,zara pantalones,2015,3
2015-03-01,11,zara,tops,zara tops,2015,3
2015-03-01,52,zara,vestidos,zara vestidos,2015,3
2015-03-01,75,zara,zapatos,zara zapatos,2015,3
2015-04-01,37,hm,pantalones,h&m pantalones,2015,4
2015-04-01,0,hm,tops,h&m tops,2015,4
2015-04-01,57,hm,vestidos,h&m vestidos,2015,4
2015-04-01,92,hm,zapatos,h&m zapatos,2015,4
2015-04-01,29,mango,pantalones,mango pantalones,2015,4
2015-04-01,24,mango,tops,mango tops,2015,4
2015-04-01,56,mango,vestidos,mango vestidos,2015,4
2015-04-01,81,mango,zapatos,mango zapatos,2015,4
2015-04-01,27,massimo_dutti,pantalones,massimo dutti pantalones,2015,4
2015-04-01,0,massimo_dutti,tops,massimo dutti tops,2015,4
2015-04-01,40,massimo_dutti,vestidos,massimo dutti vestidos,2015,4
2015-04-01,67,massimo_dutti,zapatos,massimo dutti zapatos,2015,4
2015-04-01,0,shein,pantalones,shein pantalones,2015,4
2015-04-01,0,shein,tops,shein tops,2015,4
2015-04-01,0,shein,vestidos,shein vestidos,2015,4
2015-04-01,0,shein,zapatos,shein zapatos,2015,4
2015-04-01,29,zara,pantalones,zara pantalones,2015,4
2015-04-01,13,zara,tops,zara tops,2015,4
2015-04-01,51,zara,vestidos,zara vestidos,2015,4
2015-04-01,89,zara,zapatos,zara zapatos,2015,4
2015-05-01,36,hm,pantalones,h&m pantalones,2015,5
2015-05-01,0,hm,tops,h&m tops,2015,5
2015-05-01,56,hm,vestidos,h&m vestidos,2015,5
2015-05-01,94,hm,zapatos,h&m zapatos,2015,5
2015-05-01,38,mango,pantalones,mango pantalones,2015,5
2015-05-01,22,mango,tops,mango tops,2015,5
2015-05-01,50,mango,vestidos,mango vestidos,2015,5
2015-05-01,71,mango,zapatos,mango zapatos,2015,5
2015-05-01,26,massimo_dutti,pantalones,massimo dutti pantalones,2015,5
2015-05-01,0,massimo_dutti,tops,massimo dutti tops,2015,5
2015-05-01,35,massimo_dutti,vestidos,massimo dutti vestidos,2015,5
2015-05-01,71,massimo_dutti,zapatos,massimo dutti zapatos,2015,5
2015-05-01,0,shein,pantalones,shein pantalones,2015,5
2015-05-01,0,shein,tops,shein tops,2015,5
2015-05-01,0,shein,vestidos,shein vestidos,2015,5
2015-05-01,0,shein,zapatos,shein zapatos,2015,5
2015-05-01,34,zara,pantalones,zara pantalones,2015,5
2015-05-01,19,zara,tops,zara tops,2015,5
2015-05-01,45,zara,vestidos,zara vestidos,2015,5
2015-05-01,74,zara,zapatos,zara zapatos,2015,5
2015-06-01,37,hm,pantalones,h&m pantalones,2015,6
2015-06-01,53,hm,tops,h&m tops,2015,6
2015-06-01,51,hm,vestidos,h&m vestidos,2015,6
2015-06-01,81,hm,zapatos,h&m zapatos,2015,6
2015-06-01,31,mango,pantalones,mango pantalones,2015,6
2015-06-01,19,mango,tops,mango tops,2015,6
2015-06-01,48,mango,vestidos,mango vestidos,2015,6
2015-06-01,53,mango,zapatos,mango zapatos,2015,6
2015-06-01,23,massimo_dutti,pantalones,massimo dutti pantalones,2015,6
2015-06-01,0,massimo_dutti,tops,massimo dutti tops,2015,6
2015-06-01,30,massimo_dutti,vestidos,massimo dutti vestidos,2015,6
2015-06-01,59,massimo_dutti,zapatos,massimo dutti zapatos,2015,6
2015-06-01,0,shein,pantalones,shein pantalones,2015,6
2015-06-01,0,shein,tops,shein tops,2015,6
2015-06-01,0,shein,vestidos,shein vestidos,2015,6
2015-06-01,0,shein,zapatos,shein zapatos,2015,6
2015-06-01,31,zara,pantalones,zara pantalones,2015,6
2015-06-01,19,zara,tops,zara tops,2015,6
2015-06-01,42,zara,vestidos,zara vestidos,2015,6
2015-06-01,64,zara,zapatos,zara zapatos,2015,6
2015-07-01,31,hm,pantalones,h&m pantalones,2015,7
2015-07-01,0,hm,tops,h&m tops,2015,7
2015-07-01,37,hm,vestidos,h&m vestidos,2015,7
