grupo,termino,n_obs,n_non_null,avg_trends,pct_non_null,quality_flag
consciente_compra,comprar ropa online,132,131,62.85152671755725,99.24,alta
consciente_compra,moda sostenible,132,131,33.10076335877862,99.24,alta
consciente_compra,ropa vintage,132,120,66.89458333333333,90.91,alta
consciente_compra,slow fashion,132,120,7.8341666666666665,90.91,alta
consciente_compra,zara online,132,131,41.83053435114504,99.24,alta
marcas,hm,132,132,52.14393939393939,100.0,alta
marcas,mango,131,131,50.976335877862596,100.0,alta
marcas,massimo_dutti,132,132,44.97727272727273,100.0,alta
marcas,shein,131,120,59.805,91.6,alta
marcas,zara,131,131,50.60343511450382,100.0,alta
sofisticado,cayetana,132,48,19.224999999999998,36.36,baja
sofisticado,minimalista elegante,132,61,2.3155737704918034,46.21,baja
sofisticado,moda preppy,132,37,2.5,28.03,baja
sofisticado,old money,132,120,22.096666666666668,90.91,alta
sofisticado,pija,132,49,55.63061224489796,37.12,baja
urbano,choni,132,120,59.25416666666667,90.91,alta
urbano,streetwear,132,131,55.58854961832061,99.24,alta
urbano,trap style,132,36,2.013888888888889,27.27,baja
urbano,y2k outfit,132,13,1.9230769230769231,9.85,baja
