id_respuesta,marca_influye_compra_rrss
1,Zara
1,Otra
2,Shein
3,Shein
3,Mango
3,H&M
4,Ninguna
5,Ninguna
6,Shein
7,Zara
8,Zara
9,Ninguna
10,Ninguna
11,Zara
11,Mango
11,Otra
12,Zara
12,Shein
12,Mango
13,Mango
14,Zara
14,Otra
15,Zara
15,Mango
15,Otra
16,Zara
16,Shein
16,Otra
17,Zara
18,Zara
18,Massimo Dutti
18,Otra
19,Zara
19,Otra
20,Zara
20,Shein
20,Otra
21,Shein
22,Mango
22,H&M
23,Zara
24,Shein
25,Zara
25,Mango
25,Massimo Dutti
26,Zara
26,Otra
27,Zara
27,Otra
28,Ninguna
29,Ninguna
30,Zara
30,Shein
30,H&M
31,Zara
31,Shein
31,Mango
32,Zara
32,Mango
33,Shein
34,Ninguna
35,Ninguna
36,Zara
36,Shein
37,Shein
38,Ninguna
39,Otra
40,Zara
40,Shein
41,Ninguna
42,Massimo Dutti
43,Zara
43,Otra
44,Zara
44,Shein
44,Otra
45,Zara
45,Mango
45,H&M
46,Zara
46,Shein
46,Otra
47,Ninguna
48,Ninguna
49,Otra
50,Zara
50,Massimo Dutti
50,Otra
51,Zara
51,Otra
52,Otra
52,Ninguna
53,Ninguna
54,Zara
54,Shein
54,Mango
55,Zara
56,Shein
56,Otra
57,Shein
58,Zara
58,Otra
59,Zara
59,Shein
59,Otra
60,Shein
60,Otra
61,Zara
61,Shein
62,Otra
63,Otra
64,Zara
64,Shein
65,Ninguna
66,Ninguna
67,Shein
68,Ninguna
69,Zara
69,Massimo Dutti
69,Otra
70,Zara
70,Mango
70,Massimo Dutti
71,Ninguna
72,Zara
72,Mango
72,Massimo Dutti
73,Zara
73,Shein
73,H&M
74,Ninguna
75,Zara
75,Massimo Dutti
75,Otra
76,Massimo Dutti
76,Otra
77,Zara
77,H&M
77,Massimo Dutti
78,Otra
79,Ninguna
80,Zara
80,Mango
81,Zara
81,Mango
82,Shein
83,Zara
83,Otra
84,Ninguna
85,Ninguna
86,Zara
86,Shein
87,Shein
87,Otra
88,Zara
88,H&M
89,Ninguna
90,Zara
90,Mango
90,Massimo Dutti
91,Zara
91,Otra
92,Zara
92,Shein
93,Zara
94,Zara
94,Shein
94,Mango
95,Ninguna
96,Otra
97,Ninguna
98,Zara
98,Mango
98,Otra
99,Massimo Dutti
100,Zara
100,Mango
100,Otra
101,Zara
101,Mango
101,Otra
102,Ninguna
103,Ninguna
104,Zara
104,Shein
105,Zara
105,Otra
106,Zara
107,Massimo Dutti
107,Otra
108,Zara
108,Otra
109,Ninguna
110,Ninguna
111,Ninguna
112,Ninguna
113,Zara
113,Mango
113,Otra
114,Zara
115,Ninguna
116,Zara
116,Mango
116,Massimo Dutti
117,Zara
117,Mango
118,Zara
119,Otra
120,Shein
120,Otra
121,Zara
122,Zara
122,Otra
123,Otra
124,Ninguna
125,Shein
125,Otra
126,Shein
127,Otra
128,Ninguna
129,Otra
130,Ninguna
131,Zara
132,Zara
132,Otra
133,Otra
134,Zara
134,Shein
134,Mango
135,Zara
135,Massimo Dutti
136,Ninguna
137,Otra
138,Ninguna
139,Zara
139,Shein
139,Massimo Dutti
140,Ninguna
141,Shein
142,Zara
142,Otra
143,Otra
144,Ninguna
145,Ninguna
146,Zara
146,Mango
147,Ninguna
148,Zara
148,Massimo Dutti
148,Otra
149,Ninguna
150,Zara
150,Massimo Dutti
151,Zara
151,H&M
151,Otra
152,Zara
152,Mango
152,Massimo Dutti
153,Zara
153,Shein
153,H&M
154,Zara
154,Mango
155,Zara
155,Mango
155,Otra
156,Otra
157,Otra
158,Ninguna
159,Ninguna
160,Zara
160,Mango
160,H&M
161,Zara
161,Shein
161,Otra
162,Zara
162,Shein
163,Zara
163,Mango
163,Otra
164,Zara
164,Otra
165,Otra
166,Zara
166,Shein
166,Mango
167,Shein
167,Otra
168,Zara
168,Mango
168,H&M
169,Shein
170,Ninguna
171,Shein
172,Zara
172,Shein
173,Zara
173,Shein
174,Zara
174,Shein
174,H&M
175,Ninguna
176,Zara
177,Zara
177,Otra
178,Ninguna
179,Otra
180,Ninguna
181,Zara
181,Shein
181,Mango
182,Zara
182,Shein
182,H&M
183,Ninguna
184,Shein
184,Otra
185,Zara
185,Mango
185,H&M
186,Ninguna
187,Otra
188,Zara
189,Shein
189,Otra
190,Otra
191,Zara
191,Otra
192,Ninguna
193,Ninguna
194,Zara
194,Mango
194,Otra
195,Zara
195,Shein
195,Otra
196,Ninguna
197,Zara
197,Shein
197,H&M
198,Zara
198,Mango
198,Otra
199,Ninguna
200,Otra
201,Zara
202,Otra
203,Zara
203,Otra
204,Zara
204,H&M
205,Zara
205,Shein
206,Zara
206,Massimo Dutti
206,Otra
207,Zara
207,Mango
208,Zara
208,Shein
209,Zara
209,Shein
210,Otra
211,Ninguna
212,Zara
212,Otra
213,Ninguna
214,Shein
215,Shein
216,Zara
217,Zara
217,Shein
218,Otra
219,Zara
220,Otra
221,Otra
222,Shein
222,H&M
223,Zara
224,Zara
224,Shein
225,Otra
226,Otra
227,Zara
227,Mango
227,Massimo Dutti
228,Mango
228,Ninguna
229,Zara
229,Mango
229,H&M
230,Zara
231,Zara
231,Shein
231,Otra
232,Otra
233,Zara
233,Mango
233,H&M
234,Otra
235,Zara
235,Otra
236,Ninguna
237,Ninguna
238,Zara
238,Massimo Dutti
239,Zara
239,Mango
239,Massimo Dutti
240,Zara
241,Zara
241,Shein
241,Mango
242,Zara
242,Mango
243,Zara
243,Mango
243,Massimo Dutti
244,Ninguna
245,Zara
245,Otra
246,Ninguna
247,Zara
248,Ninguna
249,Zara
250,Zara
251,Zara
251,Mango
251,H&M
252,Zara
252,Mango
252,H&M
253,Zara
254,Ninguna
255,Shein
256,Ninguna
257,Mango
257,Massimo Dutti
257,Otra
258,Ninguna
259,Zara
259,Mango
259,H&M
260,Zara
260,Mango
261,Zara
261,Mango
261,Massimo Dutti
262,Zara
263,Massimo Dutti
263,Otra
264,H&M
264,Otra
265,Zara
265,Mango
265,Massimo Dutti
266,Ninguna
267,Zara
268,Zara
268,Mango
268,H&M
269,Ninguna
270,Ninguna
271,Zara
271,Otra
272,Massimo Dutti
273,Shein
274,Ninguna
275,Otra
276,Ninguna
277,Zara
277,Otra
278,Otra
279,Ninguna
280,Zara
280,Mango
280,Massimo Dutti
281,Ninguna
282,Otra
283,Ninguna
284,Otra
285,Ninguna
286,Zara
286,Mango
286,H&M
287,Zara
287,Mango
287,Otra
288,Zara
288,Shein
289,Zara
289,Mango
289,Massimo Dutti
290,Ninguna
291,Zara
291,Massimo Dutti
291,Otra
292,Zara
292,Mango
292,Otra
293,Zara
293,Shein
293,Mango
294,Zara
294,Mango
294,Massimo Dutti
295,Zara
295,Mango
295,Massimo Dutti
296,Ninguna
