id_respuesta,marca_vista_rrss
1,Zara
1,Shein
1,No me fijo en marcas concretas
2,Zara
2,Shein
3,No me fijo en marcas concretas
4,No me fijo en marcas concretas
5,Shein
5,Otra
6,Shein
7,No me fijo en marcas concretas
8,Zara
9,No me fijo en marcas concretas
10,Zara
11,Zara
11,Shein
12,Zara
12,Shein
12,Mango
13,Zara
13,Shein
13,Mango
14,Zara
14,Mango
15,Zara
15,Mango
16,Zara
16,Shein
17,Zara
17,Mango
17,Otra
18,Zara
18,H&M
19,Zara
19,Otra
20,Zara
20,Shein
20,Otra
21,Shein
22,Zara
22,Mango
22,H&M
23,Zara
23,Shein
23,H&M
24,Zara
24,Shein
25,Zara
25,Mango
25,Massimo Dutti
26,Zara
26,Shein
26,Otra
27,Zara
27,Mango
27,H&M
28,No me fijo en marcas concretas
29,No me fijo en marcas concretas
30,Zara
30,Shein
30,H&M
31,Zara
31,Shein
31,H&M
32,Zara
32,Mango
32,H&M
33,Zara
33,Shein
33,Mango
34,Zara
34,Shein
34,Otra
35,Zara
35,No me fijo en marcas concretas
36,Zara
36,Shein
36,Otra
37,Zara
37,Shein
38,Otra
39,Otra
40,Shein
40,Otra
41,No me fijo en marcas concretas
42,Zara
42,Mango
42,Massimo Dutti
43,H&M
43,Otra
44,Zara
44,Shein
44,Otra
45,Zara
45,Mango
45,H&M
46,Zara
46,Shein
46,Otra
47,Otra
48,Zara
49,Otra
50,Otra
51,Zara
51,Shein
51,Mango
52,Otra
52,No me fijo en marcas concretas
53,No me fijo en marcas concretas
54,Zara
54,Shein
54,Mango
55,Zara
56,Shein
56,Otra
57,Shein
57,Otra
58,Zara
58,Otra
59,Zara
59,Shein
59,Otra
60,Shein
61,Zara
61,Shein
62,Zara
62,Otra
63,Otra
64,Zara
64,Shein
65,No me fijo en marcas concretas
66,No me fijo en marcas concretas
67,Shein
68,No me fijo en marcas concretas
69,Zara
69,Massimo Dutti
69,Otra
70,Zara
70,H&M
71,No me fijo en marcas concretas
72,Zara
72,Mango
72,Massimo Dutti
73,Shein
73,H&M
74,No me fijo en marcas concretas
75,Zara
75,Mango
75,Massimo Dutti
76,Massimo Dutti
77,Zara
77,Shein
77,Mango
78,Otra
79,No me fijo en marcas concretas
80,No me fijo en marcas concretas
81,Zara
81,Shein
81,Mango
82,No me fijo en marcas concretas
83,Zara
83,Otra
84,Otra
85,No me fijo en marcas concretas
86,Zara
86,No me fijo en marcas concretas
87,Zara
87,Shein
87,No me fijo en marcas concretas
88,Zara
88,H&M
89,No me fijo en marcas concretas
90,Zara
90,Mango
90,Massimo Dutti
91,Zara
91,Mango
91,Otra
92,Zara
92,Shein
93,Zara
93,Shein
93,Otra
94,Zara
94,Shein
94,Mango
95,No me fijo en marcas concretas
96,Zara
96,Shein
96,Otra
97,Zara
97,Shein
97,Otra
98,Zara
98,Mango
99,Massimo Dutti
99,Otra
100,No me fijo en marcas concretas
101,Zara
101,Mango
102,Zara
102,Otra
103,Otra
104,Zara
104,Shein
104,H&M
105,Zara
105,Shein
105,Otra
106,Zara
107,Otra
108,Zara
108,H&M
108,Otra
109,No me fijo en marcas concretas
110,No me fijo en marcas concretas
111,Otra
112,No me fijo en marcas concretas
113,Zara
113,Shein
113,Mango
114,Zara
115,No me fijo en marcas concretas
116,Zara
116,Mango
117,Zara
117,Otra
118,No me fijo en marcas concretas
119,Otra
120,Zara
120,Shein
120,Otra
121,Zara
121,Shein
121,Massimo Dutti
122,Zara
122,Otra
123,Zara
123,Shein
123,Otra
124,Zara
124,Shein
125,Zara
125,Shein
125,Otra
126,Zara
126,Shein
127,Zara
127,Otra
128,No me fijo en marcas concretas
129,Zara
129,Mango
130,Zara
130,No me fijo en marcas concretas
131,Zara
131,Otra
132,Zara
132,Shein
132,Otra
133,No me fijo en marcas concretas
134,Zara
134,Shein
134,Mango
135,Zara
135,Shein
136,Zara
136,Massimo Dutti
137,Zara
138,Zara
138,Massimo Dutti
139,Zara
139,Shein
139,Massimo Dutti
140,No me fijo en marcas concretas
141,Shein
141,Mango
142,Zara
142,Otra
143,Zara
143,Mango
143,Otra
144,No me fijo en marcas concretas
145,No me fijo en marcas concretas
146,Zara
146,Mango
147,Shein
147,No me fijo en marcas concretas
148,Zara
148,Mango
148,Massimo Dutti
149,No me fijo en marcas concretas
150,Zara
150,Massimo Dutti
150,Otra
151,Zara
151,Shein
151,H&M
152,Zara
152,Mango
152,Massimo Dutti
153,Zara
153,Shein
153,H&M
154,Zara
154,Shein
154,Otra
155,Zara
155,Mango
155,Otra
156,Mango
156,Otra
157,Zara
157,Shein
157,Mango
158,No me fijo en marcas concretas
159,No me fijo en marcas concretas
160,Zara
160,Mango
161,Zara
161,Otra
162,Zara
162,Shein
163,Zara
163,Shein
163,Mango
164,Zara
164,Otra
165,Shein
165,No me fijo en marcas concretas
166,Zara
166,Mango
166,H&M
167,Shein
167,No me fijo en marcas concretas
168,Zara
168,H&M
169,Shein
170,No me fijo en marcas concretas
171,Shein
171,H&M
172,Zara
172,Mango
173,Zara
173,Shein
173,Otra
174,Zara
174,Shein
174,H&M
175,Zara
175,Shein
176,No me fijo en marcas concretas
177,Zara
177,Otra
178,No me fijo en marcas concretas
179,Zara
179,Shein
180,Zara
180,Shein
