id_respuesta,rrss
1,Instagram
1,Pinterest
2,Instagram
2,TikTok
2,YouTube
2,X (Twitter)
3,Instagram
3,TikTok
3,YouTube
3,X (Twitter)
4,Instagram
4,X (Twitter)
5,Instagram
5,YouTube
5,Otra
6,Instagram
6,TikTok
6,YouTube
6,X (Twitter)
7,Instagram
7,TikTok
7,YouTube
7,Pinterest
7,X (Twitter)
8,Instagram
8,TikTok
9,YouTube
9,Pinterest
10,Instagram
10,TikTok
10,YouTube
11,Instagram
11,TikTok
12,Instagram
12,YouTube
13,Instagram
13,TikTok
14,Instagram
14,TikTok
14,YouTube
15,Instagram
15,TikTok
16,Instagram
16,TikTok
17,Instagram
17,TikTok
17,YouTube
17,Pinterest
17,X (Twitter)
18,Instagram
18,TikTok
18,YouTube
18,Pinterest
19,Instagram
19,Pinterest
20,Instagram
20,TikTok
20,Pinterest
20,X (Twitter)
20,Otra
21,Instagram
21,TikTok
21,X (Twitter)
22,Instagram
22,TikTok
23,Instagram
24,Instagram
24,TikTok
25,Instagram
25,YouTube
26,Instagram
27,Instagram
27,TikTok
27,Otra
28,Instagram
28,YouTube
28,X (Twitter)
29,Instagram
29,TikTok
29,YouTube
30,Instagram
30,TikTok
30,YouTube
30,X (Twitter)
31,Instagram
31,TikTok
31,Pinterest
32,Instagram
32,YouTube
32,Pinterest
33,Instagram
33,TikTok
33,YouTube
34,Instagram
34,YouTube
34,X (Twitter)
35,Instagram
35,TikTok
36,Instagram
36,TikTok
36,YouTube
36,Pinterest
36,X (Twitter)
37,Instagram
37,TikTok
37,Pinterest
38,Instagram
38,YouTube
38,Otra
39,YouTube
40,Instagram
40,TikTok
40,Pinterest
41,YouTube
41,Facebook
42,Instagram
43,Instagram
43,TikTok
43,Facebook
44,Instagram
44,TikTok
44,Pinterest
44,X (Twitter)
45,Instagram
45,YouTube
46,Instagram
46,TikTok
46,YouTube
46,Pinterest
47,Instagram
47,YouTube
47,Facebook
47,X (Twitter)
48,Instagram
49,Instagram
49,Facebook
50,Instagram
50,TikTok
51,Instagram
51,YouTube
51,Pinterest
51,Facebook
52,Instagram
52,YouTube
53,Instagram
53,TikTok
53,YouTube
54,Instagram
54,TikTok
54,Pinterest
54,Facebook
55,Instagram
55,TikTok
55,YouTube
55,Pinterest
56,Instagram
56,TikTok
56,YouTube
56,Pinterest
57,Instagram
57,TikTok
57,Otra
58,Instagram
58,X (Twitter)
59,Instagram
59,TikTok
59,Otra
60,Instagram
60,TikTok
60,Facebook
61,Instagram
61,TikTok
62,Instagram
62,TikTok
62,YouTube
63,Instagram
63,YouTube
64,Instagram
64,TikTok
64,Facebook
65,Instagram
65,YouTube
65,X (Twitter)
66,Instagram
66,YouTube
67,Instagram
67,TikTok
67,X (Twitter)
67,Otra
68,Instagram
68,Facebook
69,Instagram
70,Instagram
70,TikTok
70,Pinterest
71,Instagram
71,YouTube
72,Instagram
72,TikTok
73,Instagram
73,TikTok
73,YouTube
73,Pinterest
73,X (Twitter)
74,Instagram
74,Facebook
75,Instagram
75,YouTube
75,Facebook
76,Otra
77,TikTok
77,YouTube
77,Pinterest
77,X (Twitter)
78,Instagram
78,TikTok
78,YouTube
79,No utilizo redes sociales
80,Instagram
80,Facebook
81,Instagram
81,TikTok
82,Instagram
82,TikTok
82,YouTube
82,Pinterest
82,X (Twitter)
83,Instagram
83,YouTube
83,Facebook
84,Instagram
84,TikTok
84,YouTube
84,X (Twitter)
84,Otra
85,No utilizo redes sociales
86,Instagram
86,TikTok
87,Instagram
87,TikTok
87,YouTube
88,Instagram
88,YouTube
89,Instagram
89,TikTok
90,Instagram
90,TikTok
91,Instagram
91,TikTok
92,Instagram
92,TikTok
92,YouTube
93,Instagram
93,TikTok
94,Instagram
94,TikTok
94,YouTube
94,Pinterest
94,Otra
95,YouTube
95,X (Twitter)
96,Instagram
96,TikTok
96,YouTube
96,Pinterest
97,Instagram
97,YouTube
97,X (Twitter)
98,Instagram
99,Instagram
99,TikTok
100,Instagram
100,TikTok
100,YouTube
100,Facebook
100,X (Twitter)
101,Instagram
102,Instagram
102,TikTok
102,YouTube
102,Pinterest
103,Instagram
103,YouTube
104,Instagram
104,TikTok
104,Pinterest
104,X (Twitter)
105,Instagram
105,TikTok
105,YouTube
105,Pinterest
106,Instagram
106,TikTok
106,Pinterest
