mes,moda sostenible,slow fashion,ropa vintage,comprar ropa online,zara online
2014-12-31,0.0,,48.0,97.0,39.0
2015-01-31,0.0,,76.5,91.25,46.75
2015-02-28,0.0,,59.5,79.75,28.0
2015-03-31,19.0,,65.8,77.4,28.6
2015-04-30,0.0,,62.5,74.25,26.75
2015-05-31,20.0,,61.6,64.4,29.2
2015-06-30,0.0,,48.25,54.75,37.0
2015-07-31,0.0,,66.0,55.0,34.0
2015-08-31,0.0,,74.2,60.4,26.0
2015-09-30,0.0,,76.25,74.0,32.5
2015-10-31,43.25,,78.5,80.5,32.25
2015-11-30,17.0,,64.6,74.6,58.6
2015-12-31,0.0,0.0,67.0,70.0,77.0
2016-01-31,6.2,0.0,66.8,85.2,39.4
2016-02-29,25.0,25.0,84.5,77.25,14.0
2016-03-31,8.5,0.0,73.0,70.5,13.25
2016-04-30,26.25,0.0,59.75,73.0,14.0
2016-05-31,8.0,0.0,60.4,69.4,25.2
2016-06-30,16.5,0.0,65.5,60.25,25.5
2016-07-31,0.0,0.0,55.6,53.8,16.6
2016-08-31,0.0,0.0,60.5,56.25,11.25
2016-09-30,8.25,0.0,61.0,62.25,13.25
2016-10-31,7.0,0.0,62.6,71.2,15.0
2016-11-30,7.75,0.0,62.5,78.5,24.0
2016-12-31,0.0,0.0,68.25,65.5,19.25
2017-01-31,0.0,20.0,58.4,80.6,60.8
2017-02-28,27.0,21.25,74.5,77.5,35.0
2017-03-31,27.75,0.0,59.75,82.0,38.75
2017-04-30,32.4,0.0,65.8,79.6,44.4
2017-05-31,0.0,20.75,56.75,75.75,39.75
2017-06-30,0.0,0.0,48.75,64.5,42.25
2017-07-31,0.0,0.0,60.4,55.6,40.0
2017-08-31,0.0,0.0,61.75,65.75,35.5
2017-09-30,32.0,0.0,64.0,81.75,41.0
2017-10-31,0.0,0.0,68.2,78.6,41.2
2017-11-30,53.5,0.0,82.0,92.0,65.5
2017-12-31,10.4,0.0,88.0,70.2,55.8
2018-01-31,25.0,0.0,78.75,78.75,67.75
