fecha,termino,valor_trends,anio,mes_num,grupo
2015-01-01,h&m,67,2015,1,marcas
2015-02-01,h&m,48,2015,2,marcas
2015-03-01,h&m,63,2015,3,marcas
2015-04-01,h&m,64,2015,4,marcas
2015-05-01,h&m,69,2015,5,marcas
2015-06-01,h&m,62,2015,6,marcas
2015-07-01,h&m,54,2015,7,marcas
2015-08-01,h&m,47,2015,8,marcas
2015-09-01,h&m,68,2015,9,marcas
2015-10-01,h&m,74,2015,10,marcas
2015-11-01,h&m,84,2015,11,marcas
2015-12-01,h&m,82,2015,12,marcas
2016-01-01,h&m,58,2016,1,marcas
2016-02-01,h&m,43,2016,2,marcas
2016-03-01,h&m,50,2016,3,marcas
2016-04-01,h&m,55,2016,4,marcas
2016-05-01,h&m,61,2016,5,marcas
2016-06-01,h&m,59,2016,6,marcas
2016-07-01,h&m,52,2016,7,marcas
2016-08-01,h&m,40,2016,8,marcas
2016-09-01,h&m,52,2016,9,marcas
2016-10-01,h&m,63,2016,10,marcas
2016-11-01,h&m,66,2016,11,marcas
2016-12-01,h&m,65,2016,12,marcas
2017-01-01,h&m,53,2017,1,marcas
2017-02-01,h&m,43,2017,2,marcas
2017-03-01,h&m,45,2017,3,marcas
2017-04-01,h&m,51,2017,4,marcas
2017-05-01,h&m,57,2017,5,marcas
2017-06-01,h&m,62,2017,6,marcas
2017-07-01,h&m,50,2017,7,marcas
2017-08-01,h&m,46,2017,8,marcas
2017-09-01,h&m,57,2017,9,marcas
2017-10-01,h&m,57,2017,10,marcas
2017-11-01,h&m,76,2017,11,marcas
2017-12-01,h&m,77,2017,12,marcas
2018-01-01,h&m,77,2018,1,marcas
2018-02-01,h&m,55,2018,2,marcas
2018-03-01,h&m,65,2018,3,marcas
2018-04-01,h&m,75,2018,4,marcas
2018-05-01,h&m,78,2018,5,marcas
2018-06-01,h&m,84,2018,6,marcas
2018-07-01,h&m,72,2018,7,marcas
2018-08-01,h&m,59,2018,8,marcas
2018-09-01,h&m,70,2018,9,marcas
2018-10-01,h&m,86,2018,10,marcas
2018-11-01,h&m,100,2018,11,marcas
2018-12-01,h&m,78,2018,12,marcas
2019-01-01,h&m,62,2019,1,marcas
2019-02-01,h&m,52,2019,2,marcas
2019-03-01,h&m,60,2019,3,marcas
2019-04-01,h&m,62,2019,4,marcas
2019-05-01,h&m,77,2019,5,marcas
2019-06-01,h&m,100,2019,6,marcas
2019-07-01,h&m,83,2019,7,marcas
2019-08-01,h&m,71,2019,8,marcas
2019-09-01,h&m,93,2019,9,marcas
2019-10-01,h&m,99,2019,10,marcas
2019-11-01,h&m,96,2019,11,marcas
2019-12-01,h&m,84,2019,12,marcas
2020-01-01,h&m,63,2020,1,marcas
2020-02-01,h&m,52,2020,2,marcas
2020-03-01,h&m,30,2020,3,marcas
2020-04-01,h&m,46,2020,4,marcas
2020-05-01,h&m,85,2020,5,marcas
2020-06-01,h&m,82,2020,6,marcas
2020-07-01,h&m,64,2020,7,marcas
2020-08-01,h&m,52,2020,8,marcas
2020-09-01,h&m,60,2020,9,marcas
2020-10-01,h&m,70,2020,10,marcas
2020-11-01,h&m,68,2020,11,marcas
2020-12-01,h&m,64,2020,12,marcas
2021-01-01,h&m,62,2021,1,marcas
2021-02-01,h&m,45,2021,2,marcas
2021-03-01,h&m,46,2021,3,marcas
2021-04-01,h&m,47,2021,4,marcas
2021-05-01,h&m,52,2021,5,marcas
2021-06-01,h&m,57,2021,6,marcas
2021-07-01,h&m,46,2021,7,marcas
2021-08-01,h&m,38,2021,8,marcas
2021-09-01,h&m,44,2021,9,marcas
2021-10-01,h&m,52,2021,10,marcas
2021-11-01,h&m,62,2021,11,marcas
2021-12-01,h&m,54,2021,12,marcas
2022-01-01,h&m,48,2022,1,marcas
