date,zara,mango,pull and bear,shein,stradivarius
2014-12-31,54.0,73.0,62.0,0.0,51.0
2015-01-31,56.5,60.5,61.75,2.0,57.75
2015-02-28,37.25,46.0,34.5,0.0,35.5
2015-03-31,40.4,51.4,35.0,0.0,37.6
2015-04-30,42.5,52.5,37.25,0.0,38.0
2015-05-31,40.4,48.2,36.4,1.8,38.6
2015-06-30,43.75,56.25,43.0,15.0,44.25
2015-07-31,40.0,47.75,37.75,17.75,40.75
2015-08-31,39.4,42.8,32.2,21.8,38.2
2015-09-30,45.0,46.5,37.5,27.0,41.5
2015-10-31,47.75,46.75,43.75,38.25,44.75
2015-11-30,60.0,61.0,58.0,82.6,58.0
2015-12-31,55.0,65.0,61.75,75.25,58.5
2016-01-31,54.0,62.6,52.4,23.6,56.2
2016-02-29,38.25,47.25,30.0,23.0,35.25
2016-03-31,42.0,49.25,34.5,33.75,39.75
2016-04-30,46.0,53.0,32.75,36.25,39.5
2016-05-31,46.4,49.8,34.4,28.6,39.6
2016-06-30,48.0,58.25,39.0,31.25,45.5
2016-07-31,42.8,50.0,37.0,39.4,38.4
2016-08-31,38.0,43.75,31.5,46.75,30.25
2016-09-30,47.25,46.5,39.0,50.5,38.75
2016-10-31,51.8,52.2,39.6,69.4,45.2
2016-11-30,67.5,68.5,59.25,87.0,63.75
2016-12-31,59.75,64.5,58.0,72.75,58.25
2017-01-31,51.8,51.2,47.2,30.8,50.8
2017-02-28,34.0,34.75,25.5,35.25,33.5
2017-03-31,39.75,37.25,28.5,48.25,34.75
2017-04-30,43.8,38.0,29.4,42.2,36.6
2017-05-31,45.25,39.75,29.25,43.5,37.25
2017-06-30,45.75,47.25,36.25,52.75,41.25
2017-07-31,42.0,39.2,24.2,54.6,37.2
2017-08-31,37.5,35.75,19.5,56.5,31.75
2017-09-30,44.75,41.25,20.5,55.0,37.5
2017-10-31,45.4,40.0,24.6,62.6,39.4
2017-11-30,67.25,65.0,59.5,84.25,60.75
2017-12-31,57.0,51.2,49.0,64.4,56.8
2018-01-31,59.5,42.25,53.5,,57.5
2018-02-28,40.0,33.25,30.5,,37.5
2018-03-31,39.5,34.25,32.5,,40.25
2018-04-30,44.2,39.4,34.8,,44.2
2018-05-31,41.25,36.25,35.25,,41.75
2018-06-30,45.75,41.75,40.75,,46.75
2018-07-31,43.6,35.0,40.6,,41.0
2018-08-31,37.25,30.75,32.0,,33.5
2018-09-30,42.8,35.0,33.8,,40.6
2018-10-31,51.25,43.25,41.25,,49.0
2018-11-30,63.5,59.75,61.75,,64.0
2018-12-31,54.2,51.4,56.6,31.0,57.0
2019-01-31,57.75,47.25,44.0,38.75,54.0
2019-02-28,38.5,35.0,31.0,39.5,33.5
2019-03-31,38.6,35.8,28.0,44.4,34.6
2019-04-30,40.5,37.0,28.75,46.5,37.75
2019-05-31,43.75,38.0,30.25,57.75,39.0
2019-06-30,47.6,43.4,40.4,69.8,43.6
2019-07-31,40.75,34.75,37.25,58.0,36.5
2019-08-31,36.5,31.5,28.75,47.75,30.75
2019-09-30,41.6,36.6,34.2,47.6,36.2
2019-10-31,47.25,43.25,42.5,59.0,45.25
2019-11-30,65.75,61.5,63.75,87.0,66.0
2019-12-31,57.6,63.0,65.6,64.2,63.4
2020-01-31,69.5,69.25,68.25,29.75,68.25
2020-02-29,46.25,54.75,38.0,31.25,44.75
2020-03-31,29.0,32.8,20.6,30.0,26.2
2020-04-30,36.75,37.5,30.25,52.0,33.0
2020-05-31,56.2,60.2,60.4,83.2,57.8
2020-06-30,58.5,66.75,67.75,95.25,62.75
2020-07-31,48.5,55.75,54.75,79.25,50.5
2020-08-31,43.2,47.4,41.4,63.6,38.0
2020-09-30,47.75,55.0,49.0,52.5,44.0
