fecha,termino,valor_trends,anio,mes_num,grupo
2015-01-01,massimo dutti,93,2015,1,marcas
2015-02-01,massimo dutti,47,2015,2,marcas
2015-03-01,massimo dutti,50,2015,3,marcas
2015-04-01,massimo dutti,49,2015,4,marcas
2015-05-01,massimo dutti,45,2015,5,marcas
2015-06-01,massimo dutti,42,2015,6,marcas
2015-07-01,massimo dutti,59,2015,7,marcas
2015-08-01,massimo dutti,41,2015,8,marcas
2015-09-01,massimo dutti,48,2015,9,marcas
2015-10-01,massimo dutti,52,2015,10,marcas
2015-11-01,massimo dutti,71,2015,11,marcas
2015-12-01,massimo dutti,61,2015,12,marcas
2016-01-01,massimo dutti,84,2016,1,marcas
2016-02-01,massimo dutti,42,2016,2,marcas
2016-03-01,massimo dutti,42,2016,3,marcas
2016-04-01,massimo dutti,42,2016,4,marcas
2016-05-01,massimo dutti,40,2016,5,marcas
2016-06-01,massimo dutti,43,2016,6,marcas
2016-07-01,massimo dutti,58,2016,7,marcas
2016-08-01,massimo dutti,33,2016,8,marcas
2016-09-01,massimo dutti,38,2016,9,marcas
2016-10-01,massimo dutti,46,2016,10,marcas
2016-11-01,massimo dutti,70,2016,11,marcas
2016-12-01,massimo dutti,57,2016,12,marcas
2017-01-01,massimo dutti,87,2017,1,marcas
2017-02-01,massimo dutti,41,2017,2,marcas
2017-03-01,massimo dutti,48,2017,3,marcas
2017-04-01,massimo dutti,45,2017,4,marcas
2017-05-01,massimo dutti,48,2017,5,marcas
2017-06-01,massimo dutti,52,2017,6,marcas
2017-07-01,massimo dutti,53,2017,7,marcas
2017-08-01,massimo dutti,41,2017,8,marcas
2017-09-01,massimo dutti,47,2017,9,marcas
2017-10-01,massimo dutti,47,2017,10,marcas
2017-11-01,massimo dutti,74,2017,11,marcas
2017-12-01,massimo dutti,60,2017,12,marcas
2018-01-01,massimo dutti,93,2018,1,marcas
2018-02-01,massimo dutti,51,2018,2,marcas
2018-03-01,massimo dutti,49,2018,3,marcas
2018-04-01,massimo dutti,49,2018,4,marcas
2018-05-01,massimo dutti,45,2018,5,marcas
2018-06-01,massimo dutti,51,2018,6,marcas
2018-07-01,massimo dutti,53,2018,7,marcas
2018-08-01,massimo dutti,39,2018,8,marcas
2018-09-01,massimo dutti,43,2018,9,marcas
2018-10-01,massimo dutti,52,2018,10,marcas
2018-11-01,massimo dutti,72,2018,11,marcas
2018-12-01,massimo dutti,59,2018,12,marcas
2019-01-01,massimo dutti,94,2019,1,marcas
2019-02-01,massimo dutti,52,2019,2,marcas
2019-03-01,massimo dutti,46,2019,3,marcas
2019-04-01,massimo dutti,44,2019,4,marcas
2019-05-01,massimo dutti,44,2019,5,marcas
2019-06-01,massimo dutti,55,2019,6,marcas
2019-07-01,massimo dutti,54,2019,7,marcas
2019-08-01,massimo dutti,44,2019,8,marcas
2019-09-01,massimo dutti,45,2019,9,marcas
2019-10-01,massimo dutti,53,2019,10,marcas
