mes,termino,valor,grupo
2014-12-31,comprar ropa online,97.0,consciente_compra
2014-12-31,moda sostenible,0.0,consciente_compra
2014-12-31,ropa vintage,48.0,consciente_compra
2014-12-31,slow fashion,,consciente_compra
2014-12-31,zara online,39.0,consciente_compra
2014-12-31,cayetana,,sofisticado
2014-12-31,minimalista elegante,,sofisticado
2014-12-31,moda preppy,,sofisticado
2014-12-31,old money,0.0,sofisticado
2014-12-31,pija,,sofisticado
2014-12-31,choni,29.0,urbano
2014-12-31,shein,0.0,urbano
2014-12-31,streetwear,0.0,urbano
2014-12-31,trap style,,urbano
2014-12-31,y2k outfit,,urbano
2015-01-31,comprar ropa online,91.25,consciente_compra
2015-01-31,moda sostenible,0.0,consciente_compra
2015-01-31,ropa vintage,76.5,consciente_compra
2015-01-31,slow fashion,,consciente_compra
2015-01-31,zara online,46.75,consciente_compra
2015-01-31,cayetana,,sofisticado
2015-01-31,minimalista elegante,,sofisticado
2015-01-31,moda preppy,,sofisticado
2015-01-31,old money,0.0,sofisticado
2015-01-31,pija,,sofisticado
2015-01-31,choni,32.25,urbano
2015-01-31,shein,2.0,urbano
2015-01-31,streetwear,17.0,urbano
2015-01-31,trap style,,urbano
2015-01-31,y2k outfit,,urbano
2015-02-28,comprar ropa online,79.75,consciente_compra
2015-02-28,moda sostenible,0.0,consciente_compra
2015-02-28,ropa vintage,59.5,consciente_compra
2015-02-28,slow fashion,,consciente_compra
2015-02-28,zara online,28.0,consciente_compra
2015-02-28,cayetana,,sofisticado
2015-02-28,minimalista elegante,,sofisticado
2015-02-28,moda preppy,,sofisticado
2015-02-28,old money,0.0,sofisticado
2015-02-28,pija,,sofisticado
2015-02-28,choni,42.5,urbano
2015-02-28,shein,0.0,urbano
2015-02-28,streetwear,19.25,urbano
2015-02-28,trap style,,urbano
2015-02-28,y2k outfit,,urbano
2015-03-31,comprar ropa online,77.4,consciente_compra
2015-03-31,moda sostenible,19.0,consciente_compra
2015-03-31,ropa vintage,65.8,consciente_compra
2015-03-31,slow fashion,,consciente_compra
2015-03-31,zara online,28.6,consciente_compra
2015-03-31,cayetana,,sofisticado
2015-03-31,minimalista elegante,,sofisticado
2015-03-31,moda preppy,,sofisticado
2015-03-31,old money,0.0,sofisticado
2015-03-31,pija,,sofisticado
2015-03-31,choni,52.2,urbano
2015-03-31,shein,0.0,urbano
2015-03-31,streetwear,0.0,urbano
2015-03-31,trap style,,urbano
2015-03-31,y2k outfit,,urbano
2015-04-30,comprar ropa online,74.25,consciente_compra
2015-04-30,moda sostenible,0.0,consciente_compra
2015-04-30,ropa vintage,62.5,consciente_compra
2015-04-30,slow fashion,,consciente_compra
2015-04-30,zara online,26.75,consciente_compra
2015-04-30,cayetana,,sofisticado
2015-04-30,minimalista elegante,,sofisticado
2015-04-30,moda preppy,,sofisticado
2015-04-30,old money,0.0,sofisticado
2015-04-30,pija,,sofisticado
2015-04-30,choni,35.0,urbano
2015-04-30,shein,0.0,urbano
2015-04-30,streetwear,74.25,urbano
2015-04-30,trap style,,urbano
2015-04-30,y2k outfit,,urbano
2015-05-31,comprar ropa online,64.4,consciente_compra
2015-05-31,moda sostenible,20.0,consciente_compra
2015-05-31,ropa vintage,61.6,consciente_compra
2015-05-31,slow fashion,,consciente_compra
2015-05-31,zara online,29.2,consciente_compra
2015-05-31,cayetana,,sofisticado
2015-05-31,minimalista elegante,,sofisticado
2015-05-31,moda preppy,,sofisticado
2015-05-31,old money,14.2,sofisticado
2015-05-31,pija,,sofisticado
2015-05-31,choni,33.4,urbano
2015-05-31,shein,1.8,urbano
2015-05-31,streetwear,15.2,urbano
2015-05-31,trap style,,urbano
2015-05-31,y2k outfit,,urbano
2015-06-30,comprar ropa online,54.75,consciente_compra
2015-06-30,moda sostenible,0.0,consciente_compra
2015-06-30,ropa vintage,48.25,consciente_compra
2015-06-30,slow fashion,,consciente_compra
2015-06-30,zara online,37.0,consciente_compra
2015-06-30,cayetana,,sofisticado
2015-06-30,minimalista elegante,,sofisticado
2015-06-30,moda preppy,,sofisticado
2015-06-30,old money,0.0,sofisticado
2015-06-30,pija,,sofisticado
2015-06-30,choni,32.5,urbano
2015-06-30,shein,15.0,urbano
2015-06-30,streetwear,0.0,urbano
2015-06-30,trap style,,urbano
2015-06-30,y2k outfit,,urbano
2015-07-31,comprar ropa online,55.0,consciente_compra
2015-07-31,moda sostenible,0.0,consciente_compra
2015-07-31,ropa vintage,66.0,consciente_compra
2015-07-31,slow fashion,,consciente_compra
2015-07-31,zara online,34.0,consciente_compra
2015-07-31,cayetana,,sofisticado
2015-07-31,minimalista elegante,,sofisticado
2015-07-31,moda preppy,,sofisticado
2015-07-31,old money,0.0,sofisticado
2015-07-31,pija,,sofisticado
2015-07-31,choni,35.0,urbano
2015-07-31,shein,17.75,urbano
2015-07-31,streetwear,20.5,urbano
2015-07-31,trap style,,urbano
2015-07-31,y2k outfit,,urbano
2015-08-31,comprar ropa online,60.4,consciente_compra
2015-08-31,moda sostenible,0.0,consciente_compra
2015-08-31,ropa vintage,74.2,consciente_compra
2015-08-31,slow fashion,,consciente_compra
2015-08-31,zara online,26.0,consciente_compra
2015-08-31,cayetana,,sofisticado
2015-08-31,minimalista elegante,,sofisticado
2015-08-31,moda preppy,,sofisticado
2015-08-31,old money,20.0,sofisticado
2015-08-31,pija,,sofisticado
2015-08-31,choni,38.8,urbano
2015-08-31,shein,21.8,urbano
2015-08-31,streetwear,14.6,urbano
2015-08-31,trap style,,urbano
2015-08-31,y2k outfit,,urbano
2015-09-30,comprar ropa online,74.0,consciente_compra
2015-09-30,moda sostenible,0.0,consciente_compra
2015-09-30,ropa vintage,76.25,consciente_compra
2015-09-30,slow fashion,,consciente_compra
2015-09-30,zara online,32.5,consciente_compra
2015-09-30,cayetana,,sofisticado
2015-09-30,minimalista elegante,,sofisticado
2015-09-30,moda preppy,,sofisticado
2015-09-30,old money,0.0,sofisticado
2015-09-30,pija,,sofisticado
2015-09-30,choni,37.75,urbano
2015-09-30,shein,27.0,urbano
2015-09-30,streetwear,60.5,urbano
2015-09-30,trap style,,urbano
2015-09-30,y2k outfit,,urbano
2015-10-31,comprar ropa online,80.5,consciente_compra
2015-10-31,moda sostenible,43.25,consciente_compra
2015-10-31,ropa vintage,78.5,consciente_compra
2015-10-31,slow fashion,,consciente_compra
2015-10-31,zara online,32.25,consciente_compra
2015-10-31,cayetana,,sofisticado
2015-10-31,minimalista elegante,,sofisticado
2015-10-31,moda preppy,,sofisticado
2015-10-31,old money,0.0,sofisticado
2015-10-31,pija,,sofisticado
2015-10-31,choni,34.25,urbano
2015-10-31,shein,38.25,urbano
2015-10-31,streetwear,21.0,urbano
2015-10-31,trap style,,urbano
2015-10-31,y2k outfit,,urbano
2015-11-30,comprar ropa online,74.6,consciente_compra
2015-11-30,moda sostenible,17.0,consciente_compra
2015-11-30,ropa vintage,64.6,consciente_compra
2015-11-30,slow fashion,,consciente_compra
2015-11-30,zara online,58.6,consciente_compra
2015-11-30,cayetana,,sofisticado
2015-11-30,minimalista elegante,,sofisticado
2015-11-30,moda preppy,,sofisticado
2015-11-30,old money,0.0,sofisticado
2015-11-30,pija,,sofisticado
2015-11-30,choni,35.0,urbano
2015-11-30,shein,82.6,urbano
2015-11-30,streetwear,43.0,urbano
2015-11-30,trap style,,urbano
2015-11-30,y2k outfit,,urbano
2015-12-31,comprar ropa online,70.0,consciente_compra
2015-12-31,moda sostenible,0.0,consciente_compra
2015-12-31,ropa vintage,67.0,consciente_compra
2015-12-31,slow fashion,0.0,consciente_compra
2015-12-31,zara online,77.0,consciente_compra
2015-12-31,cayetana,,sofisticado
2015-12-31,minimalista elegante,,sofisticado
2015-12-31,moda preppy,,sofisticado
2015-12-31,old money,0.0,sofisticado
2015-12-31,pija,,sofisticado
2015-12-31,choni,49.25,urbano
2015-12-31,shein,75.25,urbano
2015-12-31,streetwear,52.5,urbano
2015-12-31,trap style,,urbano
2015-12-31,y2k outfit,,urbano
2016-01-31,comprar ropa online,85.2,consciente_compra
2016-01-31,moda sostenible,6.2,consciente_compra
2016-01-31,ropa vintage,66.8,consciente_compra
2016-01-31,slow fashion,0.0,consciente_compra
2016-01-31,zara online,39.4,consciente_compra
2016-01-31,cayetana,,sofisticado
2016-01-31,minimalista elegante,,sofisticado
2016-01-31,moda preppy,,sofisticado
2016-01-31,old money,0.0,sofisticado
2016-01-31,pija,,sofisticado
2016-01-31,choni,79.8,urbano
2016-01-31,shein,23.6,urbano
2016-01-31,streetwear,12.6,urbano
2016-01-31,trap style,,urbano
2016-01-31,y2k outfit,,urbano
2016-02-29,comprar ropa online,77.25,consciente_compra
2016-02-29,moda sostenible,25.0,consciente_compra
2016-02-29,ropa vintage,84.5,consciente_compra
2016-02-29,slow fashion,25.0,consciente_compra
2016-02-29,zara online,14.0,consciente_compra
2016-02-29,cayetana,,sofisticado
2016-02-29,minimalista elegante,,sofisticado
2016-02-29,moda preppy,,sofisticado
2016-02-29,old money,0.0,sofisticado
2016-02-29,pija,,sofisticado
2016-02-29,choni,72.0,urbano
2016-02-29,shein,23.0,urbano
2016-02-29,streetwear,25.0,urbano
2016-02-29,trap style,,urbano
2016-02-29,y2k outfit,,urbano
2016-03-31,comprar ropa online,70.5,consciente_compra
2016-03-31,moda sostenible,8.5,consciente_compra
2016-03-31,ropa vintage,73.0,consciente_compra
2016-03-31,slow fashion,0.0,consciente_compra
2016-03-31,zara online,13.25,consciente_compra
2016-03-31,cayetana,,sofisticado
2016-03-31,minimalista elegante,,sofisticado
2016-03-31,moda preppy,,sofisticado
2016-03-31,old money,0.0,sofisticado
2016-03-31,pija,,sofisticado
2016-03-31,choni,63.0,urbano
2016-03-31,shein,33.75,urbano
2016-03-31,streetwear,0.0,urbano
2016-03-31,trap style,,urbano
2016-03-31,y2k outfit,,urbano
2016-04-30,comprar ropa online,73.0,consciente_compra
2016-04-30,moda sostenible,26.25,consciente_compra
2016-04-30,ropa vintage,59.75,consciente_compra
2016-04-30,slow fashion,0.0,consciente_compra
2016-04-30,zara online,14.0,consciente_compra
2016-04-30,cayetana,,sofisticado
2016-04-30,minimalista elegante,,sofisticado
2016-04-30,moda preppy,,sofisticado
2016-04-30,old money,0.0,sofisticado
2016-04-30,pija,,sofisticado
2016-04-30,choni,61.5,urbano
2016-04-30,shein,36.25,urbano
2016-04-30,streetwear,14.0,urbano
2016-04-30,trap style,,urbano
2016-04-30,y2k outfit,,urbano
2016-05-31,comprar ropa online,69.4,consciente_compra
2016-05-31,moda sostenible,8.0,consciente_compra
2016-05-31,ropa vintage,60.4,consciente_compra
2016-05-31,slow fashion,0.0,consciente_compra
2016-05-31,zara online,25.2,consciente_compra
2016-05-31,cayetana,,sofisticado
2016-05-31,minimalista elegante,,sofisticado
2016-05-31,moda preppy,,sofisticado
2016-05-31,old money,0.0,sofisticado
2016-05-31,pija,,sofisticado
2016-05-31,choni,68.6,urbano
2016-05-31,shein,28.6,urbano
2016-05-31,streetwear,34.6,urbano
2016-05-31,trap style,,urbano
2016-05-31,y2k outfit,,urbano
2016-06-30,comprar ropa online,60.25,consciente_compra
2016-06-30,moda sostenible,16.5,consciente_compra
2016-06-30,ropa vintage,65.5,consciente_compra
2016-06-30,slow fashion,0.0,consciente_compra
2016-06-30,zara online,25.5,consciente_compra
2016-06-30,cayetana,,sofisticado
2016-06-30,minimalista elegante,,sofisticado
2016-06-30,moda preppy,,sofisticado
2016-06-30,old money,0.0,sofisticado
2016-06-30,pija,,sofisticado
2016-06-30,choni,59.5,urbano
2016-06-30,shein,31.25,urbano
2016-06-30,streetwear,27.25,urbano
2016-06-30,trap style,,urbano
2016-06-30,y2k outfit,,urbano
2016-07-31,comprar ropa online,53.8,consciente_compra
2016-07-31,moda sostenible,0.0,consciente_compra
2016-07-31,ropa vintage,55.6,consciente_compra
2016-07-31,slow fashion,0.0,consciente_compra
2016-07-31,zara online,16.6,consciente_compra
2016-07-31,cayetana,,sofisticado
2016-07-31,minimalista elegante,,sofisticado
2016-07-31,moda preppy,,sofisticado
2016-07-31,old money,0.0,sofisticado
2016-07-31,pija,,sofisticado
2016-07-31,choni,62.8,urbano
2016-07-31,shein,39.4,urbano
2016-07-31,streetwear,0.0,urbano
2016-07-31,trap style,,urbano
2016-07-31,y2k outfit,,urbano
2016-08-31,comprar ropa online,56.25,consciente_compra
2016-08-31,moda sostenible,0.0,consciente_compra
2016-08-31,ropa vintage,60.5,consciente_compra
2016-08-31,slow fashion,0.0,consciente_compra
2016-08-31,zara online,11.25,consciente_compra
2016-08-31,cayetana,,sofisticado
2016-08-31,minimalista elegante,,sofisticado
2016-08-31,moda preppy,,sofisticado
2016-08-31,old money,0.0,sofisticado
2016-08-31,pija,,sofisticado
2016-08-31,choni,65.0,urbano
2016-08-31,shein,46.75,urbano
2016-08-31,streetwear,0.0,urbano
2016-08-31,trap style,,urbano
2016-08-31,y2k outfit,,urbano
2016-09-30,comprar ropa online,62.25,consciente_compra
2016-09-30,moda sostenible,8.25,consciente_compra
2016-09-30,ropa vintage,61.0,consciente_compra
2016-09-30,slow fashion,0.0,consciente_compra
2016-09-30,zara online,13.25,consciente_compra
2016-09-30,cayetana,,sofisticado
2016-09-30,minimalista elegante,,sofisticado
2016-09-30,moda preppy,,sofisticado
2016-09-30,old money,25.0,sofisticado
2016-09-30,pija,,sofisticado
2016-09-30,choni,70.75,urbano
2016-09-30,shein,50.5,urbano
2016-09-30,streetwear,13.0,urbano
2016-09-30,trap style,,urbano
2016-09-30,y2k outfit,,urbano
2016-10-31,comprar ropa online,71.2,consciente_compra
2016-10-31,moda sostenible,7.0,consciente_compra
2016-10-31,ropa vintage,62.6,consciente_compra
2016-10-31,slow fashion,0.0,consciente_compra
2016-10-31,zara online,15.0,consciente_compra
2016-10-31,cayetana,,sofisticado
2016-10-31,minimalista elegante,,sofisticado
2016-10-31,moda preppy,,sofisticado
2016-10-31,old money,0.0,sofisticado
2016-10-31,pija,,sofisticado
2016-10-31,choni,63.2,urbano
2016-10-31,shein,69.4,urbano
2016-10-31,streetwear,22.8,urbano
2016-10-31,trap style,,urbano
2016-10-31,y2k outfit,,urbano
2016-11-30,comprar ropa online,78.5,consciente_compra
2016-11-30,moda sostenible,7.75,consciente_compra
2016-11-30,ropa vintage,62.5,consciente_compra
2016-11-30,slow fashion,0.0,consciente_compra
2016-11-30,zara online,24.0,consciente_compra
2016-11-30,cayetana,,sofisticado
2016-11-30,minimalista elegante,,sofisticado
2016-11-30,moda preppy,,sofisticado
2016-11-30,old money,0.0,sofisticado
2016-11-30,pija,,sofisticado
2016-11-30,choni,53.75,urbano
2016-11-30,shein,87.0,urbano
2016-11-30,streetwear,50.25,urbano
2016-11-30,trap style,,urbano
2016-11-30,y2k outfit,,urbano
2016-12-31,comprar ropa online,65.5,consciente_compra
2016-12-31,moda sostenible,0.0,consciente_compra
2016-12-31,ropa vintage,68.25,consciente_compra
2016-12-31,slow fashion,0.0,consciente_compra
2016-12-31,zara online,19.25,consciente_compra
2016-12-31,cayetana,,sofisticado
2016-12-31,minimalista elegante,,sofisticado
2016-12-31,moda preppy,,sofisticado
2016-12-31,old money,0.0,sofisticado
