mes,cayetana,pija,old money,moda preppy,minimalista elegante
2014-12-31,,,0.0,,
2015-01-31,,,0.0,,
2015-02-28,,,0.0,,
2015-03-31,,,0.0,,
2015-04-30,,,0.0,,
2015-05-31,,,14.2,,
2015-06-30,,,0.0,,
2015-07-31,,,0.0,,
2015-08-31,,,20.0,,
2015-09-30,,,0.0,,
2015-10-31,,,0.0,,
2015-11-30,,,0.0,,
2015-12-31,,,0.0,,
2016-01-31,,,0.0,,
2016-02-29,,,0.0,,
2016-03-31,,,0.0,,
2016-04-30,,,0.0,,
2016-05-31,,,0.0,,
2016-06-30,,,0.0,,
2016-07-31,,,0.0,,
2016-08-31,,,0.0,,
2016-09-30,,,25.0,,
2016-10-31,,,0.0,,
2016-11-30,,,0.0,,
2016-12-31,,,0.0,,
2017-01-31,,,0.0,,0.0
2017-02-28,,,0.0,,0.0
2017-03-31,,,0.0,,0.0
2017-04-30,,,0.0,,0.0
2017-05-31,,,0.0,,25.0
2017-06-30,,,0.0,,0.0
2017-07-31,,,18.0,,0.0
2017-08-31,,,0.0,,0.0
2017-09-30,,,0.0,,0.0
2017-10-31,,,0.0,,0.0
2017-11-30,,,0.0,,0.0
2017-12-31,,,20.0,0.0,0.0
2018-01-31,,,0.0,16.5,0.0
2018-02-28,,,0.0,0.0,0.0
2018-03-31,,,24.0,0.0,0.0
2018-04-30,,,0.0,0.0,0.0
2018-05-31,,,0.0,0.0,0.0
2018-06-30,,,42.0,0.0,0.0
2018-07-31,,,0.0,0.0,0.0
2018-08-31,,,0.0,0.0,0.0
2018-09-30,,,0.0,0.0,0.0
2018-10-31,,,0.0,0.0,0.0
2018-11-30,,,0.0,25.0,25.0
2018-12-31,,,0.0,0.0,0.0
2019-01-31,3.75,,23.0,,
2019-02-28,3.5,,0.0,,
2019-03-31,25.4,,0.0,,
2019-04-30,57.5,,0.0,,
2019-05-31,12.75,,19.5,,
2019-06-30,6.2,,0.0,,
2019-07-31,10.5,,0.0,,
2019-08-31,8.25,,41.75,,
2019-09-30,15.2,,15.0,,
2019-10-31,17.75,,0.0,,
2019-11-30,12.0,,0.0,,
2019-12-31,9.0,,20.0,,0.0
2020-01-31,7.75,,0.0,,25.0
2020-02-29,8.75,,16.5,,0.0
2020-03-31,12.4,,0.0,,0.0
2020-04-30,10.75,,52.75,,0.0
2020-05-31,21.4,,12.4,,0.0
2020-06-30,13.75,,15.5,,0.0
2020-07-31,6.0,,25.0,,0.0
2020-08-31,29.6,,0.0,,0.0
2020-09-30,8.5,,0.0,,0.0
2020-10-31,8.0,,0.0,,0.0
2020-11-30,5.8,,0.0,,0.0
2020-12-31,5.0,95.0,36.0,0.0,0.0
2021-01-31,12.4,74.2,10.4,0.0,0.0
2021-02-28,12.75,83.5,0.0,0.0,0.0
2021-03-31,34.75,71.75,25.0,0.0,0.0
2021-04-30,14.5,77.75,13.0,0.0,0.0
2021-05-31,14.2,72.8,10.4,0.0,0.0
2021-06-30,14.5,74.5,0.0,25.0,0.0
2021-07-31,11.5,81.5,0.0,0.0,16.25
2021-08-31,11.0,79.6,0.0,0.0,0.0
2021-09-30,14.5,82.5,40.5,0.0,25.0
2021-10-31,13.6,83.8,15.2,0.0,0.0
2021-11-30,30.75,77.75,59.75,0.0,0.0
2021-12-31,21.75,86.5,0.0,0.0,0.0
2022-01-31,38.6,67.2,29.4,,0.0
2022-02-28,64.0,66.0,13.5,,0.0
2022-03-31,28.25,56.75,29.75,,25.0
2022-04-30,37.75,63.5,41.25,,0.0
2022-05-31,31.0,59.4,35.4,,0.0
2022-06-30,27.25,58.0,59.75,,0.0
2022-07-31,25.0,70.0,61.8,,0.0
2022-08-31,24.5,70.5,87.25,,0.0
2022-09-30,30.25,65.5,64.5,,0.0
2022-10-31,29.0,72.8,65.2,,0.0
2022-11-30,28.5,68.75,59.75,,0.0
2022-12-31,33.0,79.5,63.0,,0.0
2023-01-31,,11.6,30.8,,
2023-02-28,,10.75,34.0,,
2023-03-31,,13.0,34.25,,
2023-04-30,,12.0,53.6,,
2023-05-31,,9.75,59.5,,
2023-06-30,,14.75,75.75,,
2023-07-31,,37.0,69.8,,
2023-08-31,,11.5,88.0,,
2023-09-30,,12.5,72.5,,
2023-10-31,,15.2,69.8,,
2023-11-30,,15.5,68.75,,
2023-12-31,,22.6,67.8,,
2024-01-31,,49.25,43.25,,
2024-02-29,,67.75,43.25,,
2024-03-31,,68.8,47.4,,
2024-04-30,,61.25,47.25,,
2024-05-31,,58.0,51.0,,
2024-06-30,,60.0,52.6,,
2024-07-31,,57.5,56.0,,
2024-08-31,,56.75,91.0,,
2024-09-30,,53.6,77.6,,
2024-10-31,,50.5,70.75,,
2024-11-30,,51.5,61.75,,
2024-12-31,,65.8,59.8,,
2025-01-31,,,,0.0,
2025-02-28,,,,0.0,
2025-03-31,,,,0.0,
2025-04-30,,,,0.0,
2025-05-31,,,,0.0,
2025-06-30,,,,20.0,
2025-07-31,,,,0.0,
2025-08-31,,,,0.0,
2025-09-30,,,,0.0,
2025-10-31,,,,1.5,
2025-11-30,,,,4.5,
2025-12-31,,,,,
