mes,choni,trap style,y2k outfit,streetwear,shein
2014-12-31,29.0,,,0.0,0.0
2015-01-31,32.25,,,17.0,2.0
2015-02-28,42.5,,,19.25,0.0
2015-03-31,52.2,,,0.0,0.0
2015-04-30,35.0,,,74.25,0.0
2015-05-31,33.4,,,15.2,1.8
2015-06-30,32.5,,,0.0,15.0
2015-07-31,35.0,,,20.5,17.75
2015-08-31,38.8,,,14.6,21.8
2015-09-30,37.75,,,60.5,27.0
2015-10-31,34.25,,,21.0,38.25
2015-11-30,35.0,,,43.0,82.6
2015-12-31,49.25,,,52.5,75.25
2016-01-31,79.8,,,12.6,23.6
2016-02-29,72.0,,,25.0,23.0
2016-03-31,63.0,,,0.0,33.75
2016-04-30,61.5,,,14.0,36.25
2016-05-31,68.6,,,34.6,28.6
2016-06-30,59.5,,,27.25,31.25
2016-07-31,62.8,,,0.0,39.4
2016-08-31,65.0,,,0.0,46.75
2016-09-30,70.75,,,13.0,50.5
2016-10-31,63.2,,,22.8,69.4
2016-11-30,53.75,,,50.25,87.0
2016-12-31,62.25,,,29.25,72.75
2017-01-31,70.8,,,10.4,30.8
2017-02-28,71.0,,,28.75,35.25
2017-03-31,69.25,,,19.0,48.25
2017-04-30,57.6,,,9.0,42.2
2017-05-31,59.0,,,32.75,43.5
2017-06-30,52.75,,,23.25,52.75
2017-07-31,59.0,,,46.6,54.6
2017-08-31,59.5,,,36.75,56.5
2017-09-30,56.75,,,26.75,55.0
2017-10-31,49.0,,,50.4,62.6
2017-11-30,50.0,,,59.25,84.25
2017-12-31,60.0,,,60.2,64.4
2018-01-31,78.0,,,41.0,
2018-02-28,81.0,,,48.25,
2018-03-31,72.5,,,48.0,
2018-04-30,78.6,,,43.4,
2018-05-31,66.0,,,46.75,
2018-06-30,65.5,,,38.25,
2018-07-31,72.2,,,69.8,
2018-08-31,82.75,,,57.25,
2018-09-30,67.0,,,64.6,
2018-10-31,72.0,,,71.25,
2018-11-30,75.0,,,80.0,
2018-12-31,66.2,,,78.2,31.0
2019-01-31,65.5,,,69.5,38.75
2019-02-28,78.75,,,56.25,39.5
2019-03-31,60.6,,,66.6,44.4
2019-04-30,69.25,,,63.0,46.5
2019-05-31,65.75,,,65.5,57.75
2019-06-30,62.8,,,55.4,69.8
2019-07-31,67.5,,,80.0,58.0
2019-08-31,62.0,,,81.75,47.75
2019-09-30,65.4,,,69.4,47.6
2019-10-31,57.0,,,81.5,59.0
2019-11-30,51.25,,,83.25,87.0
2019-12-31,55.6,,,78.0,64.2
2020-01-31,58.25,,,68.75,29.75
2020-02-29,79.0,,,64.0,31.25
2020-03-31,55.4,,,49.6,30.0
2020-04-30,71.0,,,66.75,52.0
2020-05-31,58.2,,,59.8,83.2
2020-06-30,66.25,,,73.5,95.25
