fecha,interes_trends,marca,categoria_producto,termino_busqueda
2015-01-01,30,H&M,pantalones,h&m pantalones
2015-01-01,0,H&M,tops,h&m tops
2015-01-01,26,H&M,vestidos,h&m vestidos
2015-01-01,60,H&M,zapatos,h&m zapatos
2015-01-01,23,Mango,pantalones,mango pantalones
2015-01-01,0,Mango,tops,mango tops
2015-01-01,27,Mango,vestidos,mango vestidos
2015-01-01,49,Mango,zapatos,mango zapatos
2015-01-01,24,Massimo Dutti,pantalones,massimo dutti pantalones
2015-01-01,0,Massimo Dutti,tops,massimo dutti tops
2015-01-01,21,Massimo Dutti,vestidos,massimo dutti vestidos
2015-01-01,82,Massimo Dutti,zapatos,massimo dutti zapatos
2015-01-01,0,Shein,pantalones,shein pantalones
2015-01-01,0,Shein,tops,shein tops
2015-01-01,0,Shein,vestidos,shein vestidos
2015-01-01,0,Shein,zapatos,shein zapatos
2015-01-01,24,Zara,pantalones,zara pantalones
2015-01-01,7,Zara,tops,zara tops
2015-01-01,27,Zara,vestidos,zara vestidos
2015-01-01,60,Zara,zapatos,zara zapatos
2015-02-01,20,H&M,pantalones,h&m pantalones
2015-02-01,0,H&M,tops,h&m tops
2015-02-01,37,H&M,vestidos,h&m vestidos
2015-02-01,55,H&M,zapatos,h&m zapatos
2015-02-01,18,Mango,pantalones,mango pantalones
2015-02-01,0,Mango,tops,mango tops
2015-02-01,36,Mango,vestidos,mango vestidos
2015-02-01,48,Mango,zapatos,mango zapatos
2015-02-01,11,Massimo Dutti,pantalones,massimo dutti pantalones
2015-02-01,0,Massimo Dutti,tops,massimo dutti tops
2015-02-01,28,Massimo Dutti,vestidos,massimo dutti vestidos
2015-02-01,49,Massimo Dutti,zapatos,massimo dutti zapatos
2015-02-01,0,Shein,pantalones,shein pantalones
2015-02-01,0,Shein,tops,shein tops
2015-02-01,0,Shein,vestidos,shein vestidos
2015-02-01,0,Shein,zapatos,shein zapatos
2015-02-01,18,Zara,pantalones,zara pantalones
2015-02-01,0,Zara,tops,zara tops
2015-02-01,34,Zara,vestidos,zara vestidos
2015-02-01,55,Zara,zapatos,zara zapatos
2015-03-01,37,H&M,pantalones,h&m pantalones
2015-03-01,0,H&M,tops,h&m tops
2015-03-01,50,H&M,vestidos,h&m vestidos
2015-03-01,75,H&M,zapatos,h&m zapatos
2015-03-01,26,Mango,pantalones,mango pantalones
2015-03-01,14,Mango,tops,mango tops
2015-03-01,51,Mango,vestidos,mango vestidos
