date,cayetana
2021-12-26,39
2022-01-02,40
2022-01-09,35
2022-01-16,38
2022-01-23,49
2022-01-30,31
2022-02-06,43
2022-02-13,77
2022-02-20,100
2022-02-27,36
2022-03-06,25
2022-03-13,26
2022-03-20,28
2022-03-27,34
2022-04-03,31
2022-04-10,49
2022-04-17,34
2022-04-24,37
2022-05-01,56
2022-05-08,29
2022-05-15,22
2022-05-22,26
2022-05-29,22
2022-06-05,27
2022-06-12,30
2022-06-19,30
2022-06-26,22
2022-07-03,23
2022-07-10,26
2022-07-17,30
2022-07-24,20
2022-07-31,26
2022-08-07,25
2022-08-14,24
2022-08-21,24
2022-08-28,25
2022-09-04,24
2022-09-11,27
2022-09-18,41
2022-09-25,29
2022-10-02,26
2022-10-09,23
2022-10-16,22
2022-10-23,25
2022-10-30,49
2022-11-06,27
2022-11-13,29
2022-11-20,34
2022-11-27,24
2022-12-04,28
2022-12-11,23
2022-12-18,36
2022-12-25,45
