date,choni
2023-01-01,55
2023-01-08,57
2023-01-15,46
2023-01-22,67
2023-01-29,68
2023-02-05,70
2023-02-12,100
2023-02-19,71
2023-02-26,50
2023-03-05,58
2023-03-12,63
2023-03-19,64
2023-03-26,51
2023-04-02,41
2023-04-09,59
2023-04-16,53
2023-04-23,60
2023-04-30,57
2023-05-07,64
2023-05-14,47
2023-05-21,56
2023-05-28,47
2023-06-04,53
2023-06-11,52
2023-06-18,62
2023-06-25,60
2023-07-02,55
2023-07-09,55
2023-07-16,60
2023-07-23,57
2023-07-30,42
2023-08-06,61
2023-08-13,77
2023-08-20,60
2023-08-27,57
2023-09-03,67
2023-09-10,56
2023-09-17,50
2023-09-24,62
2023-10-01,57
2023-10-08,54
2023-10-15,48
2023-10-22,50
2023-10-29,55
2023-11-05,52
2023-11-12,54
2023-11-19,58
2023-11-26,53
2023-12-03,58
2023-12-10,64
2023-12-17,48
2023-12-24,70
2023-12-31,71
