date,mango
2015-12-27,82
2016-01-03,89
2016-01-10,62
2016-01-17,59
2016-01-24,52
2016-01-31,51
2016-02-07,48
2016-02-14,46
2016-02-21,46
2016-02-28,49
2016-03-06,50
2016-03-13,49
2016-03-20,45
2016-03-27,53
2016-04-03,53
2016-04-10,52
2016-04-17,52
2016-04-24,55
2016-05-01,53
2016-05-08,50
2016-05-15,52
2016-05-22,48
2016-05-29,46
2016-06-05,47
2016-06-12,58
2016-06-19,56
2016-06-26,72
2016-07-03,63
2016-07-10,50
2016-07-17,50
2016-07-24,43
2016-07-31,44
2016-08-07,40
2016-08-14,40
2016-08-21,48
2016-08-28,47
2016-09-04,42
2016-09-11,48
2016-09-18,49
2016-09-25,47
2016-10-02,51
2016-10-09,58
2016-10-16,53
2016-10-23,48
2016-10-30,51
2016-11-06,56
2016-11-13,53
2016-11-20,100
2016-11-27,65
2016-12-04,58
2016-12-11,57
2016-12-18,58
2016-12-25,85
