date,moda sostenible
2023-01-01,48
2023-01-08,46
2023-01-15,76
2023-01-22,49
2023-01-29,61
2023-02-05,51
2023-02-12,46
2023-02-19,42
2023-02-26,37
2023-03-05,58
2023-03-12,37
2023-03-19,100
2023-03-26,40
2023-04-02,0
2023-04-09,51
2023-04-16,53
2023-04-23,75
2023-04-30,55
2023-05-07,63
2023-05-14,53
2023-05-21,44
2023-05-28,48
2023-06-04,33
2023-06-11,43
2023-06-18,44
2023-06-25,33
2023-07-02,0
2023-07-09,36
2023-07-16,39
2023-07-23,0
2023-07-30,37
2023-08-06,0
2023-08-13,37
2023-08-20,37
2023-08-27,35
2023-09-03,0
2023-09-10,0
2023-09-17,43
2023-09-24,43
2023-10-01,0
2023-10-08,63
2023-10-15,51
2023-10-22,51
2023-10-29,60
2023-11-05,42
2023-11-12,77
2023-11-19,58
2023-11-26,0
2023-12-03,49
2023-12-10,45
2023-12-17,60
2023-12-24,0
2023-12-31,44
