date,pija
2020-12-27,95
2021-01-03,82
2021-01-10,79
2021-01-17,73
2021-01-24,68
2021-01-31,69
2021-02-07,83
2021-02-14,96
2021-02-21,78
2021-02-28,77
2021-03-07,62
2021-03-14,73
2021-03-21,77
2021-03-28,75
2021-04-04,71
2021-04-11,76
2021-04-18,91
2021-04-25,73
2021-05-02,59
2021-05-09,77
2021-05-16,73
2021-05-23,68
2021-05-30,87
2021-06-06,72
2021-06-13,75
2021-06-20,80
2021-06-27,71
2021-07-04,83
2021-07-11,79
2021-07-18,80
2021-07-25,84
2021-08-01,81
2021-08-08,88
2021-08-15,75
2021-08-22,86
2021-08-29,68
2021-09-05,87
2021-09-12,73
2021-09-19,82
2021-09-26,88
2021-10-03,89
2021-10-10,85
2021-10-17,91
2021-10-24,84
2021-10-31,70
2021-11-07,76
2021-11-14,78
2021-11-21,74
2021-11-28,83
2021-12-05,95
2021-12-12,92
2021-12-19,79
2021-12-26,100
