date,pull and bear
2020-12-27,71
2021-01-03,100
2021-01-10,71
2021-01-17,72
2021-01-24,67
2021-01-31,56
2021-02-07,47
2021-02-14,42
2021-02-21,41
2021-02-28,37
2021-03-07,34
2021-03-14,37
2021-03-21,40
2021-03-28,46
2021-04-04,39
2021-04-11,35
2021-04-18,36
2021-04-25,33
2021-05-02,39
2021-05-09,36
2021-05-16,37
2021-05-23,37
2021-05-30,41
2021-06-06,43
2021-06-13,41
2021-06-20,56
2021-06-27,50
2021-07-04,46
2021-07-11,42
2021-07-18,39
2021-07-25,37
2021-08-01,38
2021-08-08,33
2021-08-15,31
2021-08-22,33
2021-08-29,36
2021-09-05,37
2021-09-12,36
2021-09-19,41
2021-09-26,42
2021-10-03,45
2021-10-10,45
2021-10-17,39
2021-10-24,41
2021-10-31,45
2021-11-07,50
2021-11-14,51
2021-11-21,83
2021-11-28,56
2021-12-05,61
2021-12-12,57
2021-12-19,50
2021-12-26,62
