date,shein
2015-12-27,27
2016-01-03,23
2016-01-10,22
2016-01-17,27
2016-01-24,25
2016-01-31,21
2016-02-07,21
2016-02-14,21
2016-02-21,24
2016-02-28,26
2016-03-06,29
2016-03-13,32
2016-03-20,35
2016-03-27,39
2016-04-03,40
2016-04-10,39
2016-04-17,35
2016-04-24,31
2016-05-01,29
2016-05-08,27
2016-05-15,29
2016-05-22,30
2016-05-29,28
2016-06-05,27
2016-06-12,33
2016-06-19,31
2016-06-26,34
2016-07-03,37
2016-07-10,43
2016-07-17,38
2016-07-24,39
2016-07-31,40
2016-08-07,41
2016-08-14,42
2016-08-21,45
2016-08-28,59
2016-09-04,51
2016-09-11,50
2016-09-18,45
2016-09-25,56
2016-10-02,64
2016-10-09,77
2016-10-16,76
2016-10-23,63
2016-10-30,67
2016-11-06,76
2016-11-13,76
2016-11-20,100
2016-11-27,96
2016-12-04,91
2016-12-11,81
2016-12-18,61
2016-12-25,58
