date,stradivarius
2015-12-27,67
2016-01-03,93
2016-01-10,55
2016-01-17,49
2016-01-24,44
2016-01-31,40
2016-02-07,37
2016-02-14,33
2016-02-21,34
2016-02-28,37
2016-03-06,39
2016-03-13,38
2016-03-20,39
2016-03-27,43
2016-04-03,40
2016-04-10,41
2016-04-17,36
2016-04-24,41
2016-05-01,42
2016-05-08,39
2016-05-15,38
2016-05-22,40
2016-05-29,39
2016-06-05,43
2016-06-12,41
2016-06-19,37
2016-06-26,61
2016-07-03,51
2016-07-10,39
2016-07-17,36
2016-07-24,34
2016-07-31,32
2016-08-07,29
2016-08-14,29
2016-08-21,30
2016-08-28,33
2016-09-04,34
2016-09-11,40
2016-09-18,41
2016-09-25,40
2016-10-02,44
2016-10-09,49
2016-10-16,44
2016-10-23,44
2016-10-30,45
2016-11-06,49
2016-11-13,49
2016-11-20,100
2016-11-27,57
2016-12-04,57
2016-12-11,59
2016-12-18,55
2016-12-25,62
