date,zara online
2014-12-28,39
2015-01-04,74
2015-01-11,44
2015-01-18,37
2015-01-25,32
2015-02-01,32
2015-02-08,25
2015-02-15,27
2015-02-22,28
2015-03-01,27
2015-03-08,32
2015-03-15,27
2015-03-22,28
2015-03-29,29
2015-04-05,28
2015-04-12,27
2015-04-19,26
2015-04-26,26
2015-05-03,29
2015-05-10,29
2015-05-17,27
2015-05-24,27
2015-05-31,34
2015-06-07,32
2015-06-14,29
2015-06-21,28
2015-06-28,59
2015-07-05,41
2015-07-12,36
2015-07-19,29
2015-07-26,30
2015-08-02,25
2015-08-09,25
2015-08-16,26
2015-08-23,26
2015-08-30,28
2015-09-06,32
2015-09-13,32
2015-09-20,33
2015-09-27,33
2015-10-04,33
2015-10-11,35
2015-10-18,32
2015-10-25,29
2015-11-01,33
2015-11-08,32
2015-11-15,35
2015-11-22,100
2015-11-29,93
2015-12-06,99
2015-12-13,89
2015-12-20,73
2015-12-27,93
