"Marca temporal","¿A qué grupo de edad perteneces?","¿Cuál es tu sexo?","¿Con qué frecuencia compras ropa, calzado o accesorios a lo largo del año? ","¿Cómo realizas normalmente tus compras de moda?","¿Cuál es tu gasto mensual aproximado en moda?","¿Qué redes sociales utilizas habitualmente?","¿Qué marcas de moda ves con más frecuencia en redes sociales?  Selecciona un máximo de 3 opciones   ","¿Cuánto tiempo pasas al día en las redes sociales?","¿Con qué frecuencia consumes contenido relacionado con moda en redes sociales?  ","¿Sigues a influencers o creadores de contenido de moda?  ","Las redes sociales influyen en mis decisiones de compra de moda.  ","He comprado ropa o accesorios después de verlos en redes sociales.  ","Descubro nuevas marcas de moda gracias a las redes sociales.  ","Ver contenido de moda en redes aumenta mis ganas de comprar.  ","A veces compro prendas después de verlas repetidamente en redes sociales, aunque realmente no las necesite. ","Las redes sociales influyen más en mis compras de moda que la publicidad tradicional.","Me atrae comprar prendas que están de moda en ese momento.  ","A veces compro ropa por impulso.","Me influye ver que muchas personas llevan una prenda o una marca concreta.  ","Suelo interesarme por productos o prendas virales en redes sociales.  ","Creo que las redes sociales aceleran la difusión de tendencias de moda.  ","Las redes sociales favorecen un consumo rápido y constante de moda.  ","He comprado prendas por tendencia o por influencia de redes que después apenas he usado.  ","Confío en las recomendaciones de influencers de moda.","Si un creador de contenido me parece auténtico, es más probable que compre lo que recomienda.  ","Creo que muchos influencers recomiendan productos solo por interés comercial.  ","En los últimos 6 meses, ¿has comprado alguna prenda o accesorio por influencia de redes sociales?  ","Si has respondido sí, ¿con qué frecuencia te ocurre?  ","¿Qué marcas te han influido más en alguna compra después de verlas en redes sociales? Selecciona un máximo de 3 opciones","En general, quedo satisfecho/a con las compras de moda que realizo tras ver contenido en redes sociales.  ","Me he arrepentido alguna vez de comprar ropa que había visto previamente en las redes sociales.  ","Seguiré comprando moda influido/a por contenido que vea en redes sociales.  ","Recomendaría comprar productos de moda descubiertos en redes sociales.  "
"2026/03/15 9:12:00 p. m. EET","18 - 28 años","Mujer","4","5","Menos de 30€","Instagram;Pinterest","Zara;Shein;No me fijo en marcas concretas","3","3","1","1","5","5","4","1","5","2","3","3","2","4","5","1","1","5","4","No","","Zara;Otra","5","1","3","4"
"2026/03/15 9:12:22 p. m. EET","18 - 28 años","Mujer","3","2","Menos de 30€","Instagram;TikTok;YouTube;X (Twitter)","Zara;Shein","3","2","4","3","5","5","3","2","5","4","4","4","4","4","3","5","3","5","4","Sí","3","Shein","3","4","5","5"
"2026/03/15 9:12:53 p. m. EET","18 - 28 años","Mujer","1","4","Menos de 30€","Instagram;TikTok;YouTube;X (Twitter)","No me fijo en marcas concretas","5","1","1","3","2","2","1","3","1","1","1","1","2","2","4","4","2","2","2","No","2","Shein;Mango;H&M","3","2","2","2"
"2026/03/15 9:13:13 p. m. EET","18 - 28 años","Hombre","1","5","30 - 60€","Instagram;X (Twitter)","No me fijo en marcas concretas","2","1","1","1","2","3","2","1","4","1","1","1","1","5","5","3","2","4","5","No","","Ninguna","3","3","1","1"
"2026/03/15 9:14:09 p. m. EET","18 - 28 años","Mujer","2","5","Menos de 30€","Instagram;YouTube;Otra","Shein;Otra","1","1","1","2","1","1","2","1","1","2","1","2","1","5","5","1","1","2","5","No","","Ninguna","2","1","1","2"
"2026/03/15 9:14:11 p. m. EET","18 - 28 años","Mujer","2","4","Menos de 30€","Instagram;TikTok;YouTube;X (Twitter)","Shein","4","3","1","4","4","4","5","2","4","4","1","1","2","5","4","1","2","5","4","No","","Shein","4","4","3","5"
"2026/03/15 9:17:50 p. m. EET","18 - 28 años","Hombre","2","4","30 - 60€","Instagram;TikTok;YouTube;Pinterest;X (Twitter)","No me fijo en marcas concretas","3","2","2","2","1","1","1","1","1","1","1","2","1","5","5","1","1","2","2","No","","Zara","4","2","2","1"
"2026/03/15 9:21:12 p. m. EET","18 - 28 años","Mujer","3","5","30 - 60€","Instagram;TikTok","Zara","5","4","3","2","2","2","2","3","4","2","4","3","3","4","4","3","3","4","5","Sí","2","Zara","3","4","2","3"
"2026/03/15 9:24:18 p. m. EET","18 - 28 años","Mujer","2","5","Menos de 30€","YouTube;Pinterest","No me fijo en marcas concretas","1","2","1","2","3","1","3","2","3","3","2","3","2","5","5","2","1","4","5","No","","Ninguna","2","3","2","2"
"2026/03/15 9:25:47 p. m. EET","18 - 28 años","Hombre","3","2","30 - 60€","Instagram;TikTok;YouTube","Zara","3","2","2","2","3","4","2","1","5","4","1","3","2","3","3","2","1","2","5","No","","Ninguna","3","5","3","3"
