,anio,pct_usuarios_rrss,pct_personas_compra_online,pct_facturacion_empresas_online,pct_empresas_venden_ecommerce,pct_empresas_venden_web_apps,pct_ventas_ecommerce_sobre_total,pct_ventas_ecommerce_sobre_total_empresas_que_venden,pct_personas_compra_online_imputado
count,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
unique,,,,,,,,,1
top,,,,,,,,,False
freq,,,,,,,,,4
mean,2021.5,78.675,66.50999999999999,19.325000000000003,30.2025,26.3475,19.52,32.46,
std,1.2909944487358056,11.528912929384681,2.752174897543153,0.39230090491866054,2.2751318643102874,2.0942202208300182,0.3627671429443407,3.597545459522831,
min,2020.0,62.0,62.62,18.95,26.86,23.21,19.07,30.35,
25%,2020.75,75.5,65.6275,19.0925,29.7175,26.240000000000002,19.369999999999997,30.552500000000002,
50%,2021.5,82.8,67.27,19.245,31.130000000000003,27.345,19.53,30.825000000000003,
75%,2022.25,85.975,68.1525,19.4775,31.615000000000002,27.4525,19.68,32.7325,
max,2023.0,87.1,68.88,19.86,31.69,27.49,19.95,37.84,
