fecha,indice_retail_moda,indice_retail_total,anio,mes,ratio_moda_vs_total,dif_moda_vs_total,indice_retail_moda_outlier,indice_retail_total_outlier,ratio_moda_vs_total_outlier,dif_moda_vs_total_outlier
2020-03-01,38.4,88.1,2020,3,0.4358683314415437,-49.7,True,True,True,True
2020-04-01,10.3,72.1,2020,4,0.1428571428571428,-61.8,True,True,True,True
2020-05-01,33.5,83.7,2020,5,0.4002389486260453,-50.2,True,True,True,True
2020-06-01,70.2,98.0,2020,6,0.7163265306122449,-27.8,True,False,True,True
2020-07-01,76.5,99.4,2020,7,0.7696177062374245,-22.90000000000001,True,False,True,True
2020-08-01,76.8,99.8,2020,8,0.7695390781563126,-23.0,True,False,True,True
2020-09-01,78.2,99.4,2020,9,0.7867203219315895,-21.200000000000003,True,False,False,False
2020-10-01,77.1,100.1,2020,10,0.7702297702297702,-23.0,True,False,True,True
2020-11-01,66.5,99.7,2020,11,0.6670010030090271,-33.2,True,False,True,True
2020-12-01,79.8,101.2,2020,12,0.7885375494071146,-21.40000000000001,True,False,False,False
2021-01-01,69.1,94.6,2021,1,0.7304439746300211,-25.5,True,False,True,True
2021-02-01,74.8,97.6,2021,2,0.7663934426229508,-22.8,True,False,True,True
2021-03-01,82.6,100.6,2021,3,0.8210735586481113,-18.0,True,False,False,False
2021-04-01,80.0,97.8,2021,4,0.8179959100204499,-17.799999999999997,True,False,False,False
2021-05-01,82.5,99.1,2021,5,0.8324924318869829,-16.599999999999994,True,False,False,False
2021-06-01,84.1,100.0,2021,6,0.841,-15.900000000000006,True,False,False,False
2021-07-01,83.9,100.3,2021,7,0.8364905284147558,-16.39999999999999,True,False,False,False
2021-08-01,84.3,100.9,2021,8,0.8354806739345886,-16.60000000000001,True,False,False,False
2023-01-01,116.3,104.5,2023,1,1.1129186602870813,11.799999999999995,True,False,False,False
2023-02-01,116.6,103.4,2023,2,1.127659574468085,13.199999999999989,True,False,False,False
2023-03-01,127.0,104.2,2023,3,1.218809980806142,22.8,True,False,True,True
2023-04-01,146.6,105.4,2023,4,1.3908918406072106,41.19999999999999,True,False,True,True
2023-05-01,122.2,105.0,2023,5,1.1638095238095238,17.200000000000003,True,False,False,False
2023-06-01,117.3,105.1,2023,6,1.1160799238820172,12.200000000000005,True,False,False,False
2023-11-01,117.5,106.4,2023,11,1.1043233082706767,11.099999999999994,True,False,False,False
2023-12-01,118.9,104.8,2023,12,1.1345419847328244,14.100000000000009,True,False,False,False
