fecha,indice_retail_moda,indice_retail_total,anio,mes,ratio_moda_vs_total,dif_moda_vs_total
2015-01-01,98.6,93.6,2015,1,1.0534188034188037,5.0
2015-02-01,98.2,93.5,2015,2,1.0502673796791444,4.700000000000003
2015-03-01,99.6,94.3,2015,3,1.056203605514316,5.299999999999997
2015-04-01,98.3,93.7,2015,4,1.0490928495197438,4.599999999999994
2015-05-01,101.8,94.6,2015,5,1.0761099365750528,7.200000000000003
2015-06-01,97.9,93.5,2015,6,1.0470588235294118,4.400000000000006
2015-07-01,99.9,94.8,2015,7,1.0537974683544304,5.1000000000000085
2015-08-01,99.9,95.6,2015,8,1.044979079497908,4.300000000000011
2015-09-01,102.2,96.1,2015,9,1.063475546305931,6.1000000000000085
2015-10-01,103.2,96.5,2015,10,1.0694300518134716,6.700000000000003
2015-11-01,99.7,96.8,2015,11,1.0299586776859504,2.9000000000000057
2015-12-01,100.7,97.2,2015,12,1.036008230452675,3.5
