dataset,variable,n_nulls,pct_nulls
capa2_master_brand_digital,valor_trends,11,1.67
capa2_master_integrated,valor_trends,611,24.39
capa2_master_terminos_main,valor_trends,230,11.63
capa2_master_terminos_mensual,valor_trends,611,24.39
instagram_posts_clean,hashtags,2369,100.0
instagram_posts_clean,caption,1,0.04
trends_consciente_compra_clean,valor_trends,28,4.21
trends_grupos_unificados_clean,valor_trends,618,24.5
trends_marcas_clean,valor_trends,11,1.67
trends_moda_total_clean,valor_trends,619,31.03
trends_sofisticado_clean,valor_trends,349,52.48
trends_urbano_clean,valor_trends,230,43.23
