dataset,variable,count,mean,std,min,25%,50%,75%,max
trends_moda_total_clean,valor_trends,1376.0,40.283975290697676,28.844979511553383,0.0,11.4375,45.0,64.6,97.0
trends_moda_total_clean,anio,1995.0,2019.954887218045,3.1935193160018716,2014.0,2017.0,2020.0,2023.0,2025.0
trends_moda_total_clean,mes_num,1995.0,6.541353383458647,3.4725848744217207,1.0,4.0,7.0,10.0,12.0
trends_marcas_clean,valor_trends,649.0,51.510862865947615,17.28177878454695,0.0,40.0,49.25,62.0,100.0
trends_marcas_clean,anio,660.0,2019.95,3.1721832522311764,2014.0,2017.0,2020.0,2023.0,2025.0
trends_marcas_clean,mes_num,660.0,6.5,3.4546706964104885,1.0,3.75,6.5,9.25,12.0
trends_sofisticado_clean,valor_trends,316.0,20.677373417721515,26.7015379570099,0.0,0.0,8.625,34.375,95.0
trends_sofisticado_clean,anio,665.0,2019.954887218045,3.195122086148447,2014.0,2017.0,2020.0,2023.0,2025.0
trends_sofisticado_clean,mes_num,665.0,6.541353383458647,3.4743277025738113,1.0,4.0,7.0,10.0,12.0
trends_urbano_clean,valor_trends,302.0,48.07649006622517,26.64505795116294,0.0,32.3125,57.125,67.1875,93.2
trends_urbano_clean,anio,532.0,2019.954887218045,3.195723747407174,2014.0,2017.0,2020.0,2023.0,2025.0
trends_urbano_clean,mes_num,532.0,6.541353383458647,3.4749819399777033,1.0,4.0,7.0,10.0,12.0
trends_consciente_compra_clean,valor_trends,637.0,42.701726844583995,26.547185595672,0.0,21.5,45.8,64.5,97.0
trends_consciente_compra_clean,anio,665.0,2019.954887218045,3.195122086148447,2014.0,2017.0,2020.0,2023.0,2025.0
trends_consciente_compra_clean,mes_num,665.0,6.541353383458647,3.4743277025738113,1.0,4.0,7.0,10.0,12.0
trends_productos_clean,valor_trends,2640.0,39.900757575757574,24.31827608832218,0.0,23.0,39.0,57.0,100.0
trends_productos_clean,anio,2640.0,2020.0,3.1628767465922762,2015.0,2017.0,2020.0,2023.0,2025.0
trends_productos_clean,mes_num,2640.0,6.5,3.4527065131588945,1.0,3.75,6.5,9.25,12.0
trends_grupos_unificados_clean,valor_trends,1904.0,42.9016281512605,26.059598060070066,0.0,25.0,46.75,62.8,100.0
trends_grupos_unificados_clean,anio,2522.0,2019.9536082474226,3.1873642438644554,2014.0,2017.0,2020.0,2023.0,2025.0
trends_grupos_unificados_clean,mes_num,2522.0,6.530531324345757,3.4673148899148485,1.0,4.0,7.0,10.0,12.0
eventos_moda_clean,anio,20.0,2020.55,2.762054917705485,2015.0,2018.75,2021.0,2022.25,2025.0
eventos_moda_clean,mes_num,20.0,6.15,3.2971279367927098,2.0,3.0,6.0,9.0,12.0
instagram_posts_clean,anio,2369.0,2025.3296749683411,0.47019432877248407,2025.0,2025.0,2025.0,2026.0,2026.0
instagram_posts_clean,mes_num,2369.0,5.853102574926129,3.9547097998946428,1.0,2.0,5.0,10.0,12.0
instagram_posts_clean,likes,2369.0,10641.14225411566,18063.212796828866,631.0,2545.0,4690.0,9908.0,284492.0
instagram_posts_clean,comentarios,2369.0,219.78851836217814,2336.427101750404,0.0,35.0,60.0,127.0,81474.0
instagram_posts_clean,engagement_total_post,2369.0,10860.93077247784,18235.649131862792,649.0,2606.0,4792.0,10239.0,284646.0
instagram_posts_clean,hashtags,0.0,,,,,,,
instagram_brand_monthly,anio,65.0,2025.2307692307693,0.4246038878042234,2025.0,2025.0,2025.0,2025.0,2026.0
instagram_brand_monthly,mes_num,65.0,5.615384615384615,3.7194266514322627,1.0,2.0,5.0,9.0,12.0
instagram_brand_monthly,n_posts,65.0,36.44615384615385,36.920535769927035,9.0,22.0,27.0,33.0,173.0
instagram_brand_monthly,likes_totales,65.0,387828.7076923077,455054.46163930214,49153.0,86456.0,153781.0,530820.0,1549713.0
instagram_brand_monthly,comentarios_totales,65.0,8010.446153846154,19608.83387901258,425.0,1296.0,2493.0,6636.0,134299.0
instagram_brand_monthly,engagement_total,65.0,395839.1538461539,467286.0477299755,49848.0,88919.0,154706.0,535584.0,1601278.0
instagram_brand_monthly,likes_medios_post,65.0,11578.226148272477,12206.900986723183,2059.25,3245.4827586206898,6198.733333333334,14407.555555555557,47933.392857142855
instagram_brand_monthly,comentarios_medios_post,65.0,150.08538913579267,136.03051131162897,22.925925925925927,58.92307692307692,101.32,220.57894736842104,839.36875
instagram_brand_monthly,engagement_medio_post,65.0,11728.31153740827,12276.29329770264,2109.25,3271.9655172413795,6322.67175572519,14551.555555555557,48180.5
instagram_brand_monthly,n_posts_metricas_imputadas,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capa2_master_terminos_mensual,valor_trends,1894.0,42.9486272439282,26.011251288077087,0.0,25.0,46.75,62.8,100.0
capa2_master_terminos_mensual,anio,2505.0,2019.994011976048,3.1600611534378165,2015.0,2017.0,2020.0,2023.0,2025.0
capa2_master_terminos_mensual,mes_num,2505.0,6.493413173652694,3.4495532260006785,1.0,3.0,6.0,9.0,12.0
capa2_term_coverage,n_obs,19.0,131.8421052631579,0.3746343246326776,131.0,132.0,132.0,132.0,132.0
capa2_term_coverage,n_non_null,19.0,99.6842105263158,42.3425877438083,13.0,55.0,120.0,131.0,132.0
capa2_term_coverage,avg_trends,19.0,36.39816275368785,23.817995614425357,1.9230769230769231,13.529583333333333,44.97727272727273,55.60958093160929,66.89458333333333
capa2_term_coverage,pct_non_null,19.0,75.63368421052631,32.15968632560653,9.85,41.665,90.91,99.24,100.0
capa2_master_productos_mensual,anio,2640.0,2020.0,3.1628767465922762,2015.0,2017.0,2020.0,2023.0,2025.0
capa2_master_productos_mensual,mes_num,2640.0,6.5,3.4527065131588945,1.0,3.75,6.5,9.25,12.0
capa2_master_productos_mensual,valor_trends,2640.0,39.900757575757574,24.31827608832218,0.0,23.0,39.0,57.0,100.0
capa2_master_eventos,anio,20.0,2020.55,2.762054917705485,2015.0,2018.75,2021.0,2022.25,2025.0
capa2_master_eventos,mes_num,20.0,6.15,3.2971279367927098,2.0,3.0,6.0,9.0,12.0
capa2_master_eventos_mensual,n_eventos_total,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
capa2_master_eventos_mensual,n_plataformas,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
capa2_master_eventos_mensual,n_tipos_evento,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
capa2_master_eventos_mensual,anio,20.0,2020.55,2.762054917705485,2015.0,2018.75,2021.0,2022.25,2025.0
capa2_master_eventos_mensual,mes_num,20.0,6.15,3.2971279367927098,2.0,3.0,6.0,9.0,12.0
capa2_master_integrated,valor_trends,1894.0,42.9486272439282,26.011251288077087,0.0,25.0,46.75,62.8,100.0
capa2_master_integrated,anio,2505.0,2019.994011976048,3.1600611534378165,2015.0,2017.0,2020.0,2023.0,2025.0
capa2_master_integrated,mes_num,2505.0,6.493413173652694,3.4495532260006785,1.0,3.0,6.0,9.0,12.0
capa2_master_integrated,n_eventos_total,2505.0,0.15169660678642716,0.3587981855413244,0.0,0.0,0.0,0.0,1.0
capa2_master_integrated,n_plataformas,2505.0,0.15169660678642716,0.3587981855413244,0.0,0.0,0.0,0.0,1.0
capa2_master_integrated,n_tipos_evento,2505.0,0.15169660678642716,0.3587981855413244,0.0,0.0,0.0,0.0,1.0
capa2_master_social,anio,65.0,2025.2307692307693,0.4246038878042234,2025.0,2025.0,2025.0,2025.0,2026.0
capa2_master_social,mes_num,65.0,5.615384615384615,3.7194266514322627,1.0,2.0,5.0,9.0,12.0
capa2_master_social,n_posts,65.0,36.44615384615385,36.920535769927035,9.0,22.0,27.0,33.0,173.0
capa2_master_social,likes_totales,65.0,387828.7076923077,455054.46163930214,49153.0,86456.0,153781.0,530820.0,1549713.0
capa2_master_social,comentarios_totales,65.0,8010.446153846154,19608.83387901258,425.0,1296.0,2493.0,6636.0,134299.0
capa2_master_social,engagement_total,65.0,395839.1538461539,467286.0477299755,49848.0,88919.0,154706.0,535584.0,1601278.0
capa2_master_social,likes_medios_post,65.0,11578.226148272477,12206.900986723183,2059.25,3245.4827586206898,6198.733333333334,14407.555555555557,47933.392857142855
capa2_master_social,comentarios_medios_post,65.0,150.08538913579267,136.03051131162897,22.925925925925927,58.92307692307692,101.32,220.57894736842104,839.36875
capa2_master_social,engagement_medio_post,65.0,11728.31153740827,12276.29329770264,2109.25,3271.9655172413795,6322.67175572519,14551.555555555557,48180.5
capa2_master_social,n_posts_metricas_imputadas,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capa2_master_brand_digital,anio,660.0,2019.95,3.1721832522311764,2014.0,2017.0,2020.0,2023.0,2025.0
capa2_master_brand_digital,mes_num,660.0,6.5,3.4546706964104885,1.0,3.75,6.5,9.25,12.0
capa2_master_brand_digital,valor_trends,649.0,51.510862865947615,17.28177878454695,0.0,40.0,49.25,62.0,100.0
capa2_master_brand_digital,n_posts,660.0,2.062121212121212,8.731229859321196,0.0,0.0,0.0,0.0,131.0
capa2_master_brand_digital,likes_totales,660.0,23899.880303030302,135664.96054407605,0.0,0.0,0.0,0.0,1463710.0
capa2_master_brand_digital,comentarios_totales,660.0,296.8924242424242,1960.1639774405148,0.0,0.0,0.0,0.0,42217.0
capa2_master_brand_digital,engagement_total,660.0,24196.772727272728,136960.47921788675,0.0,0.0,0.0,0.0,1470803.0
capa2_master_brand_digital,likes_medios_post,660.0,840.8624614513943,4518.818349064905,0.0,0.0,0.0,0.0,47933.392857142855
capa2_master_brand_digital,comentarios_medios_post,660.0,9.324134635195739,42.67746189806273,0.0,0.0,0.0,0.0,377.55555555555554
capa2_master_brand_digital,engagement_medio_post,660.0,850.1865960865899,4555.031222726717,0.0,0.0,0.0,0.0,48180.5
capa2_master_brand_digital,n_eventos_total,660.0,0.15151515151515152,0.35882222795189184,0.0,0.0,0.0,0.0,1.0
capa2_master_brand_digital,n_plataformas,660.0,0.15151515151515152,0.35882222795189184,0.0,0.0,0.0,0.0,1.0
capa2_master_brand_digital,n_tipos_evento,660.0,0.15151515151515152,0.35882222795189184,0.0,0.0,0.0,0.0,1.0
capa2_term_analysis_priority,n_obs,19.0,131.8421052631579,0.3746343246326776,131.0,132.0,132.0,132.0,132.0
capa2_term_analysis_priority,n_non_null,19.0,99.6842105263158,42.3425877438083,13.0,55.0,120.0,131.0,132.0
capa2_term_analysis_priority,avg_trends,19.0,36.39816275368785,23.817995614425357,1.9230769230769231,13.529583333333333,44.97727272727273,55.60958093160929,66.89458333333333
capa2_term_analysis_priority,pct_non_null,19.0,75.63368421052631,32.15968632560653,9.85,41.665,90.91,99.24,100.0
capa2_term_quality_decisions,n_obs,19.0,131.8421052631579,0.3746343246326776,131.0,132.0,132.0,132.0,132.0
capa2_term_quality_decisions,n_non_null,19.0,99.6842105263158,42.3425877438083,13.0,55.0,120.0,131.0,132.0
capa2_term_quality_decisions,avg_trends,19.0,36.39816275368785,23.817995614425357,1.9230769230769231,13.529583333333333,44.97727272727273,55.60958093160929,66.89458333333333
capa2_term_quality_decisions,pct_non_null,19.0,75.63368421052631,32.15968632560653,9.85,41.665,90.91,99.24,100.0
capa2_master_terminos_main,valor_trends,1747.0,46.37289639381798,24.05100993971805,0.0,32.0,49.25,64.0,100.0
capa2_master_terminos_main,anio,1977.0,2019.9924127465858,3.1594667040254656,2015.0,2017.0,2020.0,2023.0,2025.0
capa2_master_terminos_main,mes_num,1977.0,6.49165402124431,3.4488829597004025,1.0,3.0,6.0,9.0,12.0
