dataset,rows,cols,start_period,end_period,columns
trends_moda_total_clean,1995,7,2014-12-01,2025-12-01,"fecha, termino, valor_trends, grupo, anio, mes_num, valor_cero_trends"
trends_marcas_clean,660,7,2014-12-01,2025-12-01,"fecha, termino, valor_trends, anio, mes_num, grupo, valor_cero_trends"
trends_sofisticado_clean,665,7,2014-12-01,2025-12-01,"fecha, termino, valor_trends, anio, mes_num, grupo, valor_cero_trends"
trends_urbano_clean,532,7,2014-12-01,2025-12-01,"fecha, termino, valor_trends, anio, mes_num, grupo, valor_cero_trends"
trends_consciente_compra_clean,665,7,2014-12-01,2025-12-01,"fecha, termino, valor_trends, anio, mes_num, grupo, valor_cero_trends"
trends_productos_clean,2640,8,2015-01-01,2025-12-01,"fecha, valor_trends, marca, categoria_producto, termino_busqueda, anio, mes_num, valor_cero_trends"
trends_grupos_unificados_clean,2522,7,2014-12-01,2025-12-01,"fecha, termino, valor_trends, anio, mes_num, grupo, valor_cero_trends"
eventos_moda_clean,20,9,2015-10-01,2025-03-01,"fecha_aprox, marca_o_tendencia, plataforma, tipo_evento, descripcion_evento, fuente, fecha, anio, mes_num"
instagram_posts_clean,2369,17,2025-01-01,2026-03-01,"marca, plataforma, fecha_post, fecha, anio, mes_num, caption, likes, comentarios, engagement_total_post, metricas_imputadas, url_post, hashtags, tipo_post, perfil_origen, perfil_nombre, inputUrl"
instagram_brand_monthly,65,13,2025-01-01,2026-03-01,"fecha, anio, mes_num, marca, plataforma, n_posts, likes_totales, comentarios_totales, engagement_total, likes_medios_post, comentarios_medios_post, engagement_medio_post, n_posts_metricas_imputadas"
capa2_master_terminos_mensual,2505,10,2015-01-01,2025-12-01,"fecha, termino, valor_trends, anio, mes_num, grupo, valor_cero_trends, subgrupo, tipo_termino, familia_analitica"
capa2_term_coverage,19,7,,,"grupo, termino, n_obs, n_non_null, avg_trends, pct_non_null, quality_flag"
capa2_master_productos_mensual,2640,6,2015-01-01,2025-12-01,"fecha, anio, mes_num, marca, categoria_producto, valor_trends"
capa2_master_eventos,20,11,2015-10-01,2025-03-01,"fecha_aprox, marca_o_tendencia, plataforma, tipo_evento, descripcion_evento, fuente, fecha, anio, mes_num, plataforma_std, categoria_evento"
capa2_master_eventos_mensual,20,6,2015-10-01,2025-03-01,"fecha, n_eventos_total, n_plataformas, n_tipos_evento, anio, mes_num"
capa2_master_integrated,2505,13,2015-01-01,2025-12-01,"fecha, termino, valor_trends, anio, mes_num, grupo, valor_cero_trends, subgrupo, tipo_termino, familia_analitica, n_eventos_total, n_plataformas, n_tipos_evento"
capa2_master_social,65,13,2025-01-01,2026-03-01,"fecha, anio, mes_num, marca, plataforma, n_posts, likes_totales, comentarios_totales, engagement_total, likes_medios_post, comentarios_medios_post, engagement_medio_post, n_posts_metricas_imputadas"
capa2_master_brand_digital,660,16,2014-12-01,2025-12-01,"fecha, anio, mes_num, marca, valor_trends, plataforma, n_posts, likes_totales, comentarios_totales, engagement_total, likes_medios_post, comentarios_medios_post, engagement_medio_post, n_eventos_total, n_plataformas, n_tipos_evento"
capa2_term_analysis_priority,19,10,,,"grupo, termino, n_obs, n_non_null, avg_trends, pct_non_null, quality_flag, prioridad_analitica, decision_uso, comentario"
capa2_term_quality_decisions,19,13,,,"grupo, termino, n_obs, n_non_null, avg_trends, pct_non_null, quality_flag, prioridad_analitica, decision_uso, comentario, mantener_en_base, usar_en_analisis_principal, usar_solo_exploratorio"
capa2_master_terminos_main,1977,12,2015-01-01,2025-12-01,"fecha, termino, valor_trends, anio, mes_num, grupo, valor_cero_trends, subgrupo, tipo_termino, familia_analitica, prioridad_analitica, decision_uso"
