,fecha,anio,mes_num,marca,valor_trends,plataforma,n_posts,likes_totales,comentarios_totales,engagement_total,likes_medios_post,comentarios_medios_post,engagement_medio_post,n_eventos_total,n_plataformas,n_tipos_evento
count,660,660.0,660.0,660,649.0,660,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0
unique,,,,5,,1,,,,,,,,,,
top,,,,hm,,instagram,,,,,,,,,,
freq,,,,132,,660,,,,,,,,,,
mean,2020-05-28 19:51:16.363636,2019.95,6.5,,51.510862865947615,,2.062121212121212,23899.880303030302,296.8924242424242,24196.772727272728,840.8624614513943,9.324134635195739,850.1865960865899,0.15151515151515152,0.15151515151515152,0.15151515151515152
min,2014-12-01 00:00:00,2014.0,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,2017-09-01 00:00:00,2017.0,3.75,,40.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,2020-06-01 00:00:00,2020.0,6.5,,49.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,2023-03-01 00:00:00,2023.0,9.25,,62.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,2025-12-01 00:00:00,2025.0,12.0,,100.0,,131.0,1463710.0,42217.0,1470803.0,47933.392857142855,377.55555555555554,48180.5,1.0,1.0,1.0
std,,3.1721832522311764,3.4546706964104885,,17.28177878454695,,8.731229859321196,135664.96054407605,1960.1639774405148,136960.47921788675,4518.818349064905,42.67746189806273,4555.031222726717,0.35882222795189184,0.35882222795189184,0.35882222795189184
