fecha,marca,valor_trends,n_posts,engagement_total
2014-12-01,mango,73.0,0.0,0.0
2014-12-01,shein,0.0,0.0,0.0
2014-12-01,zara,54.0,0.0,0.0
2015-01-01,hm,67.0,0.0,0.0
2015-01-01,mango,60.5,0.0,0.0
2015-01-01,massimo_dutti,93.0,0.0,0.0
2015-01-01,shein,2.0,0.0,0.0
2015-01-01,zara,56.5,0.0,0.0
2015-02-01,hm,48.0,0.0,0.0
2015-02-01,mango,46.0,0.0,0.0
2015-02-01,massimo_dutti,47.0,0.0,0.0
2015-02-01,shein,0.0,0.0,0.0
2015-02-01,zara,37.25,0.0,0.0
2015-03-01,hm,63.0,0.0,0.0
2015-03-01,mango,51.4,0.0,0.0
2015-03-01,massimo_dutti,50.0,0.0,0.0
2015-03-01,shein,0.0,0.0,0.0
2015-03-01,zara,40.4,0.0,0.0
2015-04-01,hm,64.0,0.0,0.0
2015-04-01,mango,52.5,0.0,0.0
2015-04-01,massimo_dutti,49.0,0.0,0.0
2015-04-01,shein,0.0,0.0,0.0
2015-04-01,zara,42.5,0.0,0.0
2015-05-01,hm,69.0,0.0,0.0
2015-05-01,mango,48.2,0.0,0.0
2015-05-01,massimo_dutti,45.0,0.0,0.0
2015-05-01,shein,1.8,0.0,0.0
2015-05-01,zara,40.4,0.0,0.0
2015-06-01,hm,62.0,0.0,0.0
2015-06-01,mango,56.25,0.0,0.0
2015-06-01,massimo_dutti,42.0,0.0,0.0
2015-06-01,shein,15.0,0.0,0.0
2015-06-01,zara,43.75,0.0,0.0
2015-07-01,hm,54.0,0.0,0.0
2015-07-01,mango,47.75,0.0,0.0
2015-07-01,massimo_dutti,59.0,0.0,0.0
2015-07-01,shein,17.75,0.0,0.0
2015-07-01,zara,40.0,0.0,0.0
2015-08-01,hm,47.0,0.0,0.0
2015-08-01,mango,42.8,0.0,0.0
2015-08-01,massimo_dutti,41.0,0.0,0.0
2015-08-01,shein,21.8,0.0,0.0
2015-08-01,zara,39.4,0.0,0.0
2015-09-01,hm,68.0,0.0,0.0
2015-09-01,mango,46.5,0.0,0.0
2015-09-01,massimo_dutti,48.0,0.0,0.0
2015-09-01,shein,27.0,0.0,0.0
2015-09-01,zara,45.0,0.0,0.0
2015-10-01,hm,74.0,0.0,0.0
2015-10-01,mango,46.75,0.0,0.0
2015-10-01,massimo_dutti,52.0,0.0,0.0
2015-10-01,shein,38.25,0.0,0.0
2015-10-01,zara,47.75,0.0,0.0
2015-11-01,hm,84.0,0.0,0.0
2015-11-01,mango,61.0,0.0,0.0
2015-11-01,massimo_dutti,71.0,0.0,0.0
2015-11-01,shein,82.6,0.0,0.0
2015-11-01,zara,60.0,0.0,0.0
2015-12-01,hm,82.0,0.0,0.0
2015-12-01,mango,65.0,0.0,0.0
2015-12-01,massimo_dutti,61.0,0.0,0.0
2015-12-01,shein,75.25,0.0,0.0
2015-12-01,zara,55.0,0.0,0.0
2016-01-01,hm,58.0,0.0,0.0
2016-01-01,mango,62.6,0.0,0.0
2016-01-01,massimo_dutti,84.0,0.0,0.0
2016-01-01,shein,23.6,0.0,0.0
2016-01-01,zara,54.0,0.0,0.0
2016-02-01,hm,43.0,0.0,0.0
2016-02-01,mango,47.25,0.0,0.0
2016-02-01,massimo_dutti,42.0,0.0,0.0
2016-02-01,shein,23.0,0.0,0.0
2016-02-01,zara,38.25,0.0,0.0
2016-03-01,hm,50.0,0.0,0.0
2016-03-01,mango,49.25,0.0,0.0
2016-03-01,massimo_dutti,42.0,0.0,0.0
2016-03-01,shein,33.75,0.0,0.0
2016-03-01,zara,42.0,0.0,0.0
2016-04-01,hm,55.0,0.0,0.0
2016-04-01,mango,53.0,0.0,0.0
2016-04-01,massimo_dutti,42.0,0.0,0.0
2016-04-01,shein,36.25,0.0,0.0
2016-04-01,zara,46.0,0.0,0.0
2016-05-01,hm,61.0,0.0,0.0
2016-05-01,mango,49.8,0.0,0.0
2016-05-01,massimo_dutti,40.0,0.0,0.0
2016-05-01,shein,28.6,0.0,0.0
2016-05-01,zara,46.4,0.0,0.0
2016-06-01,hm,59.0,0.0,0.0
2016-06-01,mango,58.25,0.0,0.0
2016-06-01,massimo_dutti,43.0,0.0,0.0
2016-06-01,shein,31.25,0.0,0.0
2016-06-01,zara,48.0,0.0,0.0
2016-07-01,hm,52.0,0.0,0.0
2016-07-01,mango,50.0,0.0,0.0
2016-07-01,massimo_dutti,58.0,0.0,0.0
2016-07-01,shein,39.4,0.0,0.0
2016-07-01,zara,42.8,0.0,0.0
2016-08-01,hm,40.0,0.0,0.0
2016-08-01,mango,43.75,0.0,0.0
2016-08-01,massimo_dutti,33.0,0.0,0.0
2016-08-01,shein,46.75,0.0,0.0
2016-08-01,zara,38.0,0.0,0.0
2016-09-01,hm,52.0,0.0,0.0
2016-09-01,mango,46.5,0.0,0.0
2016-09-01,massimo_dutti,38.0,0.0,0.0
2016-09-01,shein,50.5,0.0,0.0
2016-09-01,zara,47.25,0.0,0.0
2016-10-01,hm,63.0,0.0,0.0
2016-10-01,mango,52.2,0.0,0.0
2016-10-01,massimo_dutti,46.0,0.0,0.0
2016-10-01,shein,69.4,0.0,0.0
2016-10-01,zara,51.8,0.0,0.0
2016-11-01,hm,66.0,0.0,0.0
2016-11-01,mango,68.5,0.0,0.0
2016-11-01,massimo_dutti,70.0,0.0,0.0
2016-11-01,shein,87.0,0.0,0.0
