,count,mean,std,min,25%,50%,75%,max
valor_trends,649.0,51.510862865947615,17.28177878454695,0.0,40.0,49.25,62.0,100.0
n_posts,660.0,2.062121212121212,8.731229859321196,0.0,0.0,0.0,0.0,131.0
likes_totales,660.0,23899.880303030302,135664.96054407605,0.0,0.0,0.0,0.0,1463710.0
comentarios_totales,660.0,296.8924242424242,1960.1639774405148,0.0,0.0,0.0,0.0,42217.0
engagement_total,660.0,24196.772727272728,136960.47921788675,0.0,0.0,0.0,0.0,1470803.0
likes_medios_post,660.0,840.8624614513943,4518.818349064905,0.0,0.0,0.0,0.0,47933.392857142855
comentarios_medios_post,660.0,9.324134635195739,42.67746189806273,0.0,0.0,0.0,0.0,377.55555555555554
engagement_medio_post,660.0,850.1865960865899,4555.031222726717,0.0,0.0,0.0,0.0,48180.5
n_eventos_total,660.0,0.15151515151515152,0.35882222795189184,0.0,0.0,0.0,0.0,1.0
n_plataformas,660.0,0.15151515151515152,0.35882222795189184,0.0,0.0,0.0,0.0,1.0
n_tipos_evento,660.0,0.15151515151515152,0.35882222795189184,0.0,0.0,0.0,0.0,1.0
