fecha,anio,mes_num,marca,valor_trends,plataforma,n_posts,likes_totales,comentarios_totales,engagement_total,likes_medios_post,comentarios_medios_post,engagement_medio_post,n_eventos_total,n_plataformas,n_tipos_evento
2025-01-01,2025,1,hm,25.0,instagram,9.0,129668.0,1296.0,130964.0,14407.555555555557,144.0,14551.555555555557,0.0,0.0,0.0
2025-02-01,2025,2,hm,19.0,instagram,11.0,120249.0,1320.0,121569.0,10931.727272727272,120.0,11051.727272727272,0.0,0.0,0.0
2025-03-01,2025,3,hm,20.0,instagram,9.0,172764.0,2962.0,175726.0,19196.0,329.1111111111111,19525.11111111111,1.0,1.0,1.0
2025-04-01,2025,4,hm,22.0,instagram,28.0,286062.0,7763.0,293825.0,10216.5,277.25,10493.75,0.0,0.0,0.0
2025-05-01,2025,5,hm,24.0,instagram,30.0,197494.0,2213.0,199707.0,6583.133333333333,73.76666666666667,6656.9,0.0,0.0,0.0
2025-06-01,2025,6,hm,28.0,instagram,24.0,140204.0,1914.0,142118.0,5841.833333333333,79.75,5921.583333333333,0.0,0.0,0.0
2025-07-01,2025,7,hm,30.0,instagram,19.0,120748.0,2142.0,122890.0,6355.1578947368425,112.73684210526316,6467.894736842105,0.0,0.0,0.0
2025-08-01,2025,8,hm,28.0,instagram,27.0,335821.0,6772.0,342593.0,12437.814814814816,250.8148148148148,12688.62962962963,0.0,0.0,0.0
2025-09-01,2025,9,hm,30.0,instagram,37.0,322381.0,6636.0,329017.0,8713.0,179.35135135135135,8892.351351351352,0.0,0.0,0.0
2025-10-01,2025,10,hm,32.0,instagram,38.0,268741.0,4084.0,272825.0,7072.131578947368,107.47368421052632,7179.605263157895,0.0,0.0,0.0
2025-11-01,2025,11,hm,39.0,instagram,25.0,144699.0,2533.0,147232.0,5787.96,101.32,5889.28,0.0,0.0,0.0
2025-12-01,2025,12,hm,35.0,instagram,23.0,163980.0,3993.0,167973.0,7129.565217391304,173.6086956521739,7303.173913043478,0.0,0.0,0.0
2025-01-01,2025,1,mango,74.75,instagram,29.0,97446.0,2288.0,99734.0,3360.206896551724,78.89655172413794,3439.103448275862,0.0,0.0,0.0
2025-02-01,2025,2,mango,61.25,instagram,34.0,98294.0,2116.0,100410.0,2891.0,62.23529411764706,2953.235294117647,0.0,0.0,0.0
2025-03-01,2025,3,mango,63.2,instagram,39.0,96751.0,2298.0,99049.0,2480.794871794872,58.92307692307692,2539.7179487179487,1.0,1.0,1.0
2025-04-01,2025,4,mango,70.25,instagram,38.0,107168.0,2404.0,109572.0,2820.2105263157896,63.26315789473684,2883.4736842105262,0.0,0.0,0.0
2025-05-01,2025,5,mango,69.25,instagram,36.0,286525.0,4814.0,291339.0,7959.027777777777,133.72222222222223,8092.75,0.0,0.0,0.0
2025-06-01,2025,6,mango,73.8,instagram,27.0,130117.0,2493.0,132610.0,4819.148148148148,92.33333333333331,4911.481481481482,0.0,0.0,0.0
2025-07-01,2025,7,mango,62.5,instagram,22.0,69344.0,1353.0,70697.0,3152.0,61.5,3213.5,0.0,0.0,0.0
2025-08-01,2025,8,mango,61.2,instagram,29.0,81227.0,1899.0,83126.0,2800.9310344827586,65.48275862068965,2866.4137931034484,0.0,0.0,0.0
2025-09-01,2025,9,mango,67.0,instagram,28.0,79737.0,1770.0,81507.0,2847.75,63.21428571428572,2910.964285714286,0.0,0.0,0.0
2025-10-01,2025,10,mango,73.5,instagram,45.0,175004.0,3544.0,178548.0,3888.9777777777776,78.75555555555556,3967.733333333333,0.0,0.0,0.0
2025-11-01,2025,11,mango,81.5,instagram,31.0,153781.0,2279.0,156060.0,4960.677419354839,73.51612903225806,5034.193548387097,0.0,0.0,0.0
2025-01-01,2025,1,massimo_dutti,41.0,instagram,15.0,72294.0,425.0,72719.0,4819.6,28.33333333333333,4847.933333333333,0.0,0.0,0.0
2025-02-01,2025,2,massimo_dutti,26.0,instagram,18.0,154264.0,442.0,154706.0,8570.222222222223,24.55555555555556,8594.777777777777,0.0,0.0,0.0
2025-03-01,2025,3,massimo_dutti,24.0,instagram,27.0,130444.0,619.0,131063.0,4831.259259259259,22.925925925925927,4854.185185185185,1.0,1.0,1.0
2025-04-01,2025,4,massimo_dutti,24.0,instagram,24.0,78184.0,608.0,78792.0,3257.6666666666665,25.33333333333333,3283.0,0.0,0.0,0.0
2025-05-01,2025,5,massimo_dutti,25.0,instagram,29.0,94119.0,768.0,94887.0,3245.4827586206898,26.48275862068965,3271.9655172413795,0.0,0.0,0.0
2025-06-01,2025,6,massimo_dutti,32.0,instagram,25.0,99971.0,1090.0,101061.0,3998.84,43.6,4042.44,0.0,0.0,0.0
2025-07-01,2025,7,massimo_dutti,30.0,instagram,24.0,64890.0,830.0,65720.0,2703.75,34.583333333333336,2738.333333333333,0.0,0.0,0.0
2025-08-01,2025,8,massimo_dutti,25.0,instagram,23.0,60231.0,718.0,60949.0,2618.7391304347825,31.217391304347824,2649.9565217391305,0.0,0.0,0.0
2025-09-01,2025,9,massimo_dutti,26.0,instagram,22.0,60873.0,901.0,61774.0,2766.954545454545,40.95454545454545,2807.909090909091,0.0,0.0,0.0
2025-10-01,2025,10,massimo_dutti,25.0,instagram,22.0,49153.0,695.0,49848.0,2234.2272727272725,31.59090909090909,2265.818181818182,0.0,0.0,0.0
2025-11-01,2025,11,massimo_dutti,36.0,instagram,22.0,71950.0,785.0,72735.0,3270.454545454545,35.68181818181818,3306.1363636363635,0.0,0.0,0.0
