grupo,termino,subgrupo,tipo_termino,familia_analitica,valor_trends_medio,valor_trends_mediana,n_obs,n_non_null
consciente_compra,ropa vintage,segunda_mano_vintage,comportamiento,segunda_mano_vintage,66.89458333333333,66.69999999999999,132,120
consciente_compra,comprar ropa online,canal_compra_online,comportamiento,consumo_online,62.85152671755725,65.4,132,131
marcas,shein,marca_ultra_fast_fashion,marca,marca,59.805,62.8,131,120
urbano,choni,estetica_urbana,estetica,estetica,59.25416666666667,59.0,132,120
sofisticado,pija,estetica_sofisticada,estetica,estetica,55.63061224489796,63.5,132,49
urbano,streetwear,estetica_urbana,estetica,estetica,55.58854961832061,62.5,132,131
marcas,hm,marca_fast_fashion,marca,marca,52.14393939393939,51.5,132,132
marcas,mango,marca_mainstream,marca,marca,50.976335877862596,50.0,131,131
marcas,zara,marca_fast_fashion,marca,marca,50.60343511450382,48.5,131,131
marcas,massimo_dutti,marca_premium_mainstream,marca,marca,44.97727272727273,43.0,132,132
consciente_compra,zara online,canal_compra_online,comportamiento,consumo_online,41.83053435114504,39.75,132,131
consciente_compra,moda sostenible,sostenibilidad,comportamiento,sostenibilidad,33.10076335877862,35.75,132,131
sofisticado,old money,estetica_sofisticada,estetica,estetica,22.096666666666668,10.4,132,120
sofisticado,cayetana,estetica_sofisticada,estetica,estetica,19.224999999999998,14.35,132,48
consciente_compra,slow fashion,sostenibilidad,comportamiento,sostenibilidad,7.8341666666666665,0.0,132,120
sofisticado,moda preppy,estetica_sofisticada,estetica,estetica,2.5,0.0,132,37
sofisticado,minimalista elegante,estetica_sofisticada,estetica,estetica,2.3155737704918034,0.0,132,61
urbano,trap style,estetica_urbana,estetica,estetica,2.013888888888889,0.0,132,36
urbano,y2k outfit,estetica_urbana,estetica,estetica,1.9230769230769231,0.0,132,13
