,fecha,anio,mes_num,marca,plataforma,n_posts,likes_totales,comentarios_totales,engagement_total,likes_medios_post,comentarios_medios_post,engagement_medio_post,n_posts_metricas_imputadas
count,65,65.0,65.0,65,65,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
unique,,,,5,1,,,,,,,,
top,,,,hm,instagram,,,,,,,,
freq,,,,15,65,,,,,,,,
mean,2025-08-12 22:09:13.846153,2025.2307692307693,5.615384615384615,,,36.44615384615385,387828.7076923077,8010.446153846154,395839.1538461539,11578.226148272477,150.08538913579267,11728.31153740827,0.0
min,2025-01-01 00:00:00,2025.0,1.0,,,9.0,49153.0,425.0,49848.0,2059.25,22.925925925925927,2109.25,0.0
25%,2025-05-01 00:00:00,2025.0,2.0,,,22.0,86456.0,1296.0,88919.0,3245.4827586206898,58.92307692307692,3271.9655172413795,0.0
50%,2025-09-01 00:00:00,2025.0,5.0,,,27.0,153781.0,2493.0,154706.0,6198.733333333334,101.32,6322.67175572519,0.0
75%,2025-12-01 00:00:00,2025.0,9.0,,,33.0,530820.0,6636.0,535584.0,14407.555555555557,220.57894736842104,14551.555555555557,0.0
max,2026-03-01 00:00:00,2026.0,12.0,,,173.0,1549713.0,134299.0,1601278.0,47933.392857142855,839.36875,48180.5,0.0
std,,0.4246038878042234,3.7194266514322627,,,36.920535769927035,455054.46163930214,19608.83387901258,467286.0477299755,12206.900986723183,136.03051131162897,12276.29329770264,0.0
