,fecha,termino,valor_trends,anio,mes_num,grupo,subgrupo,tipo_termino,familia_analitica,prioridad_analitica,decision_uso
count,1977,1977,1747.0,1977.0,1977.0,1977,1977,1977,1977,1977,1977
unique,,15,,,,4,9,3,5,2,2
top,,comprar ropa online,,,,consciente_compra,estetica_sofisticada,comportamiento,estetica,principal,usar_en_analisis_principal
freq,,132,,,,660,396,660,660,1581,1581
mean,2020-06-13 01:33:57.632777,,46.37289639381798,2019.9924127465858,6.49165402124431,,,,,,
min,2015-01-01 00:00:00,,0.0,2015.0,1.0,,,,,,
25%,2017-09-01 00:00:00,,32.0,2017.0,3.0,,,,,,
50%,2020-06-01 00:00:00,,49.25,2020.0,6.0,,,,,,
75%,2023-03-01 00:00:00,,64.0,2023.0,9.0,,,,,,
max,2025-12-01 00:00:00,,100.0,2025.0,12.0,,,,,,
std,,,24.05100993971805,3.1594667040254656,3.4488829597004025,,,,,,
