fecha,anio,mes_num,marca,plataforma,n_posts,likes_totales,comentarios_totales,engagement_total,likes_medios_post,comentarios_medios_post,engagement_medio_post
2025-01-01,2025,1,hm,instagram,9,129668,1296,130964,14407.555555555557,144.0,14551.555555555557
2025-02-01,2025,2,hm,instagram,11,120249,1320,121569,10931.727272727272,120.0,11051.727272727272
2025-03-01,2025,3,hm,instagram,9,172764,2962,175726,19196.0,329.1111111111111,19525.11111111111
2025-04-01,2025,4,hm,instagram,28,286062,7763,293825,10216.5,277.25,10493.75
2025-05-01,2025,5,hm,instagram,30,197494,2213,199707,6583.133333333333,73.76666666666667,6656.9
2025-06-01,2025,6,hm,instagram,24,140204,1914,142118,5841.833333333333,79.75,5921.583333333333
2025-07-01,2025,7,hm,instagram,19,120748,2142,122890,6355.1578947368425,112.73684210526316,6467.894736842105
2025-08-01,2025,8,hm,instagram,27,335821,6772,342593,12437.814814814816,250.8148148148148,12688.62962962963
2025-09-01,2025,9,hm,instagram,37,322381,6636,329017,8713.0,179.35135135135135,8892.351351351352
2025-10-01,2025,10,hm,instagram,38,268741,4084,272825,7072.131578947368,107.47368421052632,7179.605263157895
2025-11-01,2025,11,hm,instagram,25,144699,2533,147232,5787.96,101.32,5889.28
2025-12-01,2025,12,hm,instagram,23,163980,3993,167973,7129.565217391304,173.6086956521739,7303.173913043478
2026-01-01,2026,1,hm,instagram,18,86456,2463,88919,4803.111111111111,136.83333333333334,4939.944444444444
2026-02-01,2026,2,hm,instagram,24,193377,3532,196909,8057.375,147.16666666666666,8204.541666666666
2026-03-01,2026,3,hm,instagram,30,185962,2841,188803,6198.733333333334,94.7,6293.433333333333
