dataset,variable,n_nulls,pct_nulls
encuesta_fastfashion_clean,timestamp,0,0.0
encuesta_fastfashion_clean,grupo_edad,0,0.0
encuesta_fastfashion_clean,sexo,0,0.0
encuesta_fastfashion_clean,freq_compra_anual,0,0.0
encuesta_fastfashion_clean,canal_compra_moda,0,0.0
encuesta_fastfashion_clean,gasto_mensual_moda,0,0.0
encuesta_fastfashion_clean,rrss_habituales,0,0.0
encuesta_fastfashion_clean,marcas_ve_frecuencia_rrss,0,0.0
encuesta_fastfashion_clean,tiempo_rrss_dia,0,0.0
encuesta_fastfashion_clean,freq_contenido_moda_rrss,0,0.0
encuesta_fastfashion_clean,sigue_influencers_moda,0,0.0
encuesta_fastfashion_clean,rs_influyen_compra,0,0.0
encuesta_fastfashion_clean,ha_comprado_por_ver_en_rrss,0,0.0
encuesta_fastfashion_clean,descubre_marcas_por_rrss,0,0.0
encuesta_fastfashion_clean,contenido_moda_aumenta_ganas,0,0.0
encuesta_fastfashion_clean,compra_por_repeticion_rrss,0,0.0
encuesta_fastfashion_clean,rrss_mas_que_publicidad,0,0.0
encuesta_fastfashion_clean,atraen_prendas_de_moda,0,0.0
encuesta_fastfashion_clean,compra_impulso,0,0.0
encuesta_fastfashion_clean,influye_prueba_social,0,0.0
encuesta_fastfashion_clean,interes_productos_virales,0,0.0
encuesta_fastfashion_clean,rrss_aceleran_tendencias,0,0.0
encuesta_fastfashion_clean,rrss_favorecen_consumo_rapido,0,0.0
encuesta_fastfashion_clean,ha_comprado_y_apenas_usado,0,0.0
encuesta_fastfashion_clean,confia_influencers,0,0.0
encuesta_fastfashion_clean,autenticidad_influencer_compra,0,0.0
encuesta_fastfashion_clean,influencers_interes_comercial,0,0.0
encuesta_fastfashion_clean,compra_ult_6m_por_rrss,0,0.0
encuesta_fastfashion_clean,freq_compra_por_rrss_6m,141,44.34
encuesta_fastfashion_clean,marcas_que_mas_influyen_compra_rrss,0,0.0
encuesta_fastfashion_clean,satisfaccion_compra_rrss,0,0.0
encuesta_fastfashion_clean,arrepentimiento_compra_rrss,0,0.0
encuesta_fastfashion_clean,seguira_comprando_influido_rrss,0,0.0
encuesta_fastfashion_clean,recomendaria_productos_descubiertos_rrss,0,0.0
encuesta_fastfashion_clean,id_respuesta,0,0.0
encuesta_fastfashion_clean,compra_ult_6m_por_rrss_bin,0,0.0
encuesta_fastfashion_clean,indice_influencia_rrss,0,0.0
encuesta_fastfashion_clean,indice_impulso_tendencia,0,0.0
encuesta_fastfashion_clean,indice_confianza_influencers,0,0.0
encuesta_fastfashion_clean,indice_escepticismo_influencers,0,0.0
encuesta_fastfashion_clean,indice_difusion_fastfashion,0,0.0
encuesta_fastfashion_clean,indice_postcompra,0,0.0
encuesta_fastfashion_clean,indice_riesgo_arrepentimiento,0,0.0
