,indice_influencia_rrss,indice_impulso_tendencia,indice_confianza_influencers,indice_escepticismo_influencers,indice_difusion_fastfashion,indice_postcompra,indice_riesgo_arrepentimiento,compra_ult_6m_por_rrss_bin,target_recomendaria_bin,target_seguira_comprando_bin
indice_influencia_rrss,1.0,0.7574850848345235,0.7046595698954972,0.12979104513779227,0.39019548777254787,0.8269738276584073,0.5476854015333332,0.6073138757999945,0.5932479014931955,0.597179379788567
indice_impulso_tendencia,0.7574850848345235,1.0,0.6303585641788247,0.015437673095553455,0.24588107143701887,0.7086944905446366,0.6313518021636763,0.5779920522420403,0.523584359997386,0.582241277965077
indice_confianza_influencers,0.7046595698954972,0.6303585641788247,1.0,0.032567294643049256,0.34492443670909595,0.7683288894319803,0.4638564432421356,0.5042692836176629,0.6046473679916246,0.5530978754385198
indice_escepticismo_influencers,0.12979104513779227,0.015437673095553455,0.032567294643049256,1.0,0.3700156887614546,0.029893568845446,0.08792051118605686,-0.02833686071595758,-0.0038228848857538625,0.014995428935626652
indice_difusion_fastfashion,0.39019548777254787,0.24588107143701887,0.34492443670909595,0.3700156887614546,1.0,0.29471889114976735,0.1735568185798544,0.07985233588835566,0.2507536734597,0.21008952416922014
indice_postcompra,0.8269738276584073,0.7086944905446366,0.7683288894319803,0.029893568845446,0.29471889114976735,1.0,0.47570950741597506,0.6289773484887332,0.7288101415356955,0.6892091531864116
indice_riesgo_arrepentimiento,0.5476854015333332,0.6313518021636763,0.4638564432421356,0.08792051118605686,0.1735568185798544,0.47570950741597506,1.0,0.4033968198131735,0.35730248205869314,0.36152298483057554
compra_ult_6m_por_rrss_bin,0.6073138757999945,0.5779920522420403,0.5042692836176629,-0.02833686071595758,0.07985233588835566,0.6289773484887332,0.4033968198131735,1.0,0.4451349860604744,0.5365308532861554
target_recomendaria_bin,0.5932479014931955,0.523584359997386,0.6046473679916246,-0.0038228848857538625,0.2507536734597,0.7288101415356955,0.35730248205869314,0.4451349860604744,1.0,0.6477031091607725
target_seguira_comprando_bin,0.597179379788567,0.582241277965077,0.5530978754385198,0.014995428935626652,0.21008952416922014,0.6892091531864116,0.36152298483057554,0.5365308532861554,0.6477031091607725,1.0
