grupo_edad,marca_influye_compra_rrss,n
18 - 28 años,Zara,83
18 - 28 años,Otra,53
18 - 28 años,Shein,51
18 - 28 años,Ninguna,29
18 - 28 años,Mango,24
18 - 28 años,H&M,13
18 - 28 años,Massimo Dutti,8
29 - 44 años,Zara,28
29 - 44 años,Otra,17
29 - 44 años,Mango,16
29 - 44 años,Ninguna,12
29 - 44 años,Shein,10
29 - 44 años,Massimo Dutti,7
29 - 44 años,H&M,6
45 - 55 años,Zara,29
45 - 55 años,Otra,23
45 - 55 años,Ninguna,18
45 - 55 años,Mango,11
45 - 55 años,Massimo Dutti,9
45 - 55 años,Shein,9
45 - 55 años,H&M,3
56 años o más,Ninguna,23
56 años o más,Zara,19
56 años o más,Otra,16
56 años o más,Massimo Dutti,14
56 años o más,Mango,13
56 años o más,H&M,3
56 años o más,Shein,1
