,timestamp,grupo_edad,sexo,freq_compra_anual,canal_compra_moda,gasto_mensual_moda,rrss_habituales,marcas_ve_frecuencia_rrss,tiempo_rrss_dia,freq_contenido_moda_rrss,sigue_influencers_moda,rs_influyen_compra,ha_comprado_por_ver_en_rrss,descubre_marcas_por_rrss,contenido_moda_aumenta_ganas,compra_por_repeticion_rrss,rrss_mas_que_publicidad,atraen_prendas_de_moda,compra_impulso,influye_prueba_social,interes_productos_virales,rrss_aceleran_tendencias,rrss_favorecen_consumo_rapido,ha_comprado_y_apenas_usado,confia_influencers,autenticidad_influencer_compra,influencers_interes_comercial,compra_ult_6m_por_rrss,freq_compra_por_rrss_6m,marcas_que_mas_influyen_compra_rrss,satisfaccion_compra_rrss,arrepentimiento_compra_rrss,seguira_comprando_influido_rrss,recomendaria_productos_descubiertos_rrss,id_respuesta,compra_ult_6m_por_rrss_bin,indice_influencia_rrss,indice_impulso_tendencia,indice_confianza_influencers,indice_escepticismo_influencers,indice_difusion_fastfashion,indice_postcompra,indice_riesgo_arrepentimiento,target_recomendaria_bin,target_seguira_comprando_bin
count,318,318,318,318.0,318.0,318,318,318,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318,177.0,318,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0
unique,317,4,3,,,5,57,37,,,,,,,,,,,,,,,,,,,,2,,31,,,,,,,,,,,,,,,
top,2026-03-15 23:09:03,18 - 28 años,Mujer,,,30 - 60€,Instagram;TikTok,No me fijo en marcas concretas,,,,,,,,,,,,,,,,,,,,No,,Ninguna,,,,,,,,,,,,,,,
freq,2,148,218,,,109,31,63,,,,,,,,,,,,,,,,,,,,175,,80,,,,,,,,,,,,,,,
mean,,,,3.1949685534591197,3.408805031446541,,,,2.619496855345912,2.5817610062893084,2.3459119496855347,2.808176100628931,2.943396226415094,3.3459119496855347,3.1666666666666665,2.3364779874213837,3.1446540880503147,3.1037735849056602,2.5314465408805034,2.6761006289308176,2.4245283018867925,4.336477987421383,4.339622641509434,2.361635220125786,2.308176100628931,3.1635220125786163,4.317610062893082,,2.3502824858757063,,3.0628930817610063,2.5723270440251573,2.6635220125786163,2.940251572327044,159.5,0.449685534591195,3.081761006289308,2.614465408805031,2.7358490566037736,4.317610062893082,4.338050314465409,2.8888888888888893,2.4669811320754715,0.3522012578616352,0.29559748427672955
std,,,,1.1509315246365952,1.3110250112655668,,,,1.2214682165701352,1.2824638818761975,1.3641994053140758,1.3235297683675626,1.4108425700041352,1.4602511403363465,1.4299265016812246,1.2991101727100898,1.4979964663144205,1.2827113826427363,1.2969091314507593,1.2093723960656344,1.2680105374843065,0.9038942306879802,0.9217333053402389,1.321279312291695,1.1452807325160255,1.38661566906966,0.9871754686118461,,0.9602393341450037,,1.1299509192947623,1.3454403404608841,1.2991101727100898,1.2532164043253164,91.9429170735843,0.49824603576548654,1.254234737004758,1.0223580387356954,1.1459864412445975,0.9871754686118461,0.8451188317223574,1.0927326878920367,1.1570702994530266,0.4784090983260966,0.4570300381446737
min,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
25%,,,,2.0,2.0,,,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,2.0,4.0,,2.0,,2.0,1.0,1.0,2.0,80.25,0.0,2.0,1.8,1.5,4.0,4.0,2.0,1.5,0.0,0.0
50%,,,,3.0,3.0,,,,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,5.0,5.0,2.0,2.0,4.0,5.0,,2.0,,3.0,2.5,3.0,3.0,159.5,0.0,3.3,2.6,3.0,5.0,4.5,3.0,2.5,0.0,0.0
75%,,,,4.0,5.0,,,,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,,3.0,,4.0,3.75,4.0,4.0,238.75,1.0,4.2,3.4,3.5,5.0,5.0,3.6666666666666665,3.0,1.0,1.0
max,,,,5.0,5.0,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,,5.0,5.0,5.0,5.0,318.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0
