,count,mean,std,min,25%,50%,75%,max
freq_compra_anual,318.0,3.1949685534591197,1.1509315246365952,1.0,2.0,3.0,4.0,5.0
canal_compra_moda,318.0,3.408805031446541,1.3110250112655668,1.0,2.0,3.0,5.0,5.0
tiempo_rrss_dia,318.0,2.619496855345912,1.2214682165701352,1.0,2.0,2.0,4.0,5.0
freq_contenido_moda_rrss,318.0,2.5817610062893084,1.2824638818761975,1.0,1.0,2.0,4.0,5.0
sigue_influencers_moda,318.0,2.3459119496855347,1.3641994053140758,1.0,1.0,2.0,3.0,5.0
compra_ult_6m_por_rrss_bin,318.0,0.449685534591195,0.49824603576548654,0.0,0.0,0.0,1.0,1.0
indice_influencia_rrss,318.0,3.081761006289308,1.254234737004758,1.0,2.0,3.3,4.2,5.0
indice_impulso_tendencia,318.0,2.614465408805031,1.0223580387356954,1.0,1.8,2.6,3.4,5.0
indice_confianza_influencers,318.0,2.7358490566037736,1.1459864412445975,1.0,1.5,3.0,3.5,5.0
indice_escepticismo_influencers,318.0,4.317610062893082,0.9871754686118461,1.0,4.0,5.0,5.0,5.0
indice_difusion_fastfashion,318.0,4.338050314465409,0.8451188317223574,1.0,4.0,4.5,5.0,5.0
indice_riesgo_arrepentimiento,318.0,2.4669811320754715,1.1570702994530266,1.0,1.5,2.5,3.0,5.0
target_recomendaria_bin,318.0,0.3522012578616352,0.4784090983260966,0.0,0.0,0.0,1.0,1.0
target_seguira_comprando_bin,318.0,0.29559748427672955,0.4570300381446737,0.0,0.0,0.0,1.0,1.0
